symbol,quarter_end_date,submission_date,window_label,promoter_pct,fii_pct,dii_pct,public_pct,source
ANTELOPUS,30-JUN-2025,17-JUL-2025,Q1FY26,30.46,3.91,0.01,69.54,nse_xbrl
ANTGRAPHIC,30-JUN-2025,25-JUL-2025,Q1FY26,0.96,0.46,0.21,99.04,nse_xbrl
ANUHPHR,30-JUN-2025,18-JUL-2025,Q1FY26,69.92,0.04,0.0,30.08,nse_xbrl
ANUP,30-JUN-2025,21-JUL-2025,Q1FY26,40.98,4.73,15.2,59.02,nse_xbrl
ANURAS,30-JUN-2025,19-JUL-2025,Q1FY26,61.18,4.94,2.24,38.82,nse_xbrl
APARINDS,30-JUN-2025,21-JUL-2025,Q1FY26,57.769999999999996,9.07,21.790000000000003,42.230000000000004,nse_xbrl
APCL,30-JUN-2025,08-JUL-2025,Q1FY26,75.0,0.02,0.11,25.0,nse_xbrl
APCOTEXIND,30-JUN-2025,15-JUL-2025,Q1FY26,58.23,0.49,1.0,41.77,nse_xbrl
APEX,30-JUN-2025,21-JUL-2025,Q1FY26,72.62,4.18,0.55,27.38,nse_xbrl
APLAPOLLO,30-JUN-2025,21-JUL-2025,Q1FY26,28.31,33.05,16.83,71.69,nse_xbrl
APLLTD,30-JUN-2025,16-JUL-2025,Q1FY26,69.67,3.96,16.46,30.33,nse_xbrl
APOLLOHOSP,30-JUN-2025,08-JUL-2025,Q1FY26,29.34,43.49,21.34,70.66,nse_xbrl
APOLLOPIPE,30-JUN-2025,14-JUL-2025,Q1FY26,46.84,4.28,15.26,52.86,nse_xbrl
APOLLOTYRE,30-JUN-2025,21-JUL-2025,Q1FY26,36.95,12.27,27.53,62.83,nse_xbrl
APOLSINHOT,30-JUN-2025,11-JUL-2025,Q1FY26,64.68,0.04,,35.32,nse_xbrl
APTUS,30-JUN-2025,19-JUL-2025,Q1FY26,40.37,30.4,16.04,59.63,nse_xbrl
AQYLON,30-JUN-2025,21-JUL-2025,Q1FY26,58.33,1.56,29.94,40.78,screener
ARCHIDPLY,30-JUN-2025,21-JUL-2025,Q1FY26,69.89,0.0,0.0,30.11,screener
ARCHIES,30-JUN-2025,14-JUL-2025,Q1FY26,62.14,0.0,0.22,37.86,nse_xbrl
ARE&M,30-JUN-2025,18-JUL-2025,Q1FY26,32.86,19.39,14.0,67.14,nse_xbrl
ARENTERP,30-JUN-2025,16-JUL-2025,Q1FY26,63.66,,0.68,36.34,screener
ARIES,30-JUN-2025,15-JUL-2025,Q1FY26,52.66,4.29,0.26,47.34,nse_xbrl
ARIHANTCAP,30-JUN-2025,17-JUL-2025,Q1FY26,69.81,0.03,,30.19,nse_xbrl
ARKADE,30-JUN-2025,12-JUL-2025,Q1FY26,71.09,1.22,0.05,28.91,nse_xbrl
ARMANFIN,30-JUN-2025,21-JUL-2025,Q1FY26,22.05,1.42,5.08,77.95,nse_xbrl
AROGRANITE,30-JUN-2025,09-JUL-2025,Q1FY26,41.08,0.0,0.0,58.92,screener
ARTEMISMED,30-JUN-2025,21-JUL-2025,Q1FY26,66.53,0.24,4.76,33.47,nse_xbrl
ARTNIRMAN,30-JUN-2025,17-JUL-2025,Q1FY26,73.75,,,26.25,screener
ARVEE,30-JUN-2025,16-JUL-2025,Q1FY26,73.5,,,26.5,screener
ARVIND,30-JUN-2025,21-JUL-2025,Q1FY26,39.56,17.58,18.1,60.44,nse_xbrl
ARVINDFASN,30-JUN-2025,21-JUL-2025,Q1FY26,35.14,9.39,23.61,64.86,nse_xbrl
ARVSMART,30-JUN-2025,21-JUL-2025,Q1FY26,49.96,1.6,13.89,50.04,nse_xbrl
ASAHIINDIA,30-JUN-2025,15-JUL-2025,Q1FY26,54.09,3.73,1.78,45.91,nse_xbrl
ASAHISONG,30-JUN-2025,15-JUL-2025,Q1FY26,67.0,0.05,0.31,33.17,screener
ASAL,30-JUN-2025,16-JUL-2025,Q1FY26,75.0,0.0,0.01,25.0,nse_xbrl
ASALCBR,30-JUN-2025,17-JUL-2025,Q1FY26,59.29,0.63,0.03,40.71,nse_xbrl
ASHAPURMIN,30-JUN-2025,17-JUL-2025,Q1FY26,47.75,16.42,0.26,52.25,nse_xbrl
ASHIANA,30-JUN-2025,21-JUL-2025,Q1FY26,61.11,7.87,8.06,38.89,nse_xbrl
ASHIMASYN,30-JUN-2025,19-JUL-2025,Q1FY26,73.49,0.05,0.0,26.51,nse_xbrl
ASHOKA,30-JUN-2025,10-JUL-2025,Q1FY26,54.48,7.29,14.16,45.52,nse_xbrl
ASHOKAMET,30-JUN-2025,19-JUL-2025,Q1FY26,53.64,,,46.35,screener
ASHOKLEY,30-JUN-2025,20-JUL-2025,Q1FY26,51.52,23.85,13.88,48.48,nse_xbrl
ASIANENE,30-JUN-2025,21-JUL-2025,Q1FY26,60.97,2.33,0.25,38.96,nse_xbrl
ASIANHOTNR,30-JUN-2025,18-JUL-2025,Q1FY26,0.0,5.26,3.71,100.0,nse_xbrl
ASIANPAINT,30-JUN-2025,21-JUL-2025,Q1FY26,52.63,11.85,21.04,47.31,nse_xbrl
ASIANTILES,30-JUN-2025,07-JUL-2025,Q1FY26,33.52,1.43,0.22,66.47999999999999,nse_xbrl
ASKAUTOLTD,30-JUN-2025,19-JUL-2025,Q1FY26,78.95,10.24,4.99,21.05,nse_xbrl
ASPINWALL,30-JUN-2025,21-JUL-2025,Q1FY26,64.46,0.01,,35.54,nse_xbrl
ASTEC,30-JUN-2025,18-JUL-2025,Q1FY26,70.87,0.02,4.26,29.13,nse_xbrl
ASTRAL,30-JUN-2025,21-JUL-2025,Q1FY26,54.1,20.14,14.9,45.9,nse_xbrl
ASTRAMICRO,30-JUN-2025,17-JUL-2025,Q1FY26,6.54,6.46,14.37,93.46,nse_xbrl
ASTRAZEN,30-JUN-2025,21-JUL-2025,Q1FY26,75.0,3.03,4.56,25.0,nse_xbrl
ATALREAL,30-JUN-2025,17-JUL-2025,Q1FY26,32.83,3.0,,67.17,nse_xbrl
ATAM,30-JUN-2025,19-JUL-2025,Q1FY26,52.29,0.21,,47.71,nse_xbrl
ATGL,30-JUN-2025,21-JUL-2025,Q1FY26,74.8,13.01,6.31,25.2,nse_xbrl
ATLANTAA,30-JUN-2025,19-JUL-2025,Q1FY26,74.67,0.0,0.0,25.33,screener
ATLASCYCLE,30-JUN-2025,18-JUL-2025,Q1FY26,41.92,,0.01,58.08,screener
ATUL,30-JUN-2025,10-JUL-2025,Q1FY26,45.18,8.78,24.97,54.82,nse_xbrl
ATULAUTO,30-JUN-2025,16-JUL-2025,Q1FY26,42.73,0.38,0.13,57.27,nse_xbrl
AUBANK,30-JUN-2025,21-JUL-2025,Q1FY26,22.85,37.68,28.87,77.15,nse_xbrl
AURIGROW,30-JUN-2025,17-JUL-2025,Q1FY26,0.0,0.07,,100.0,nse_xbrl
AURIONPRO,30-JUN-2025,16-JUL-2025,Q1FY26,26.88,16.29,1.25,73.12,screener
AUROPHARMA,30-JUN-2025,15-JUL-2025,Q1FY26,51.82,14.37,26.93,48.18,nse_xbrl
AUTOAXLES,30-JUN-2025,10-JUL-2025,Q1FY26,71.04,0.65,13.82,28.96,nse_xbrl
AVALON,30-JUN-2025,19-JUL-2025,Q1FY26,44.6,8.67,22.01,55.4,nse_xbrl
AVANTIFEED,30-JUN-2025,09-JUL-2025,Q1FY26,43.23,7.59,4.0,56.77,nse_xbrl
AVG,30-JUN-2025,10-JUL-2025,Q1FY26,52.51,8.59,1.59,47.49,nse_xbrl
AVL,30-JUN-2025,19-JUL-2025,Q1FY26,53.23,17.67,9.85,46.77,nse_xbrl
AVONMORE,30-JUN-2025,16-JUL-2025,Q1FY26,58.38,0.04,0.01,41.62,nse_xbrl
AVROIND,30-JUN-2025,21-JUL-2025,Q1FY26,54.07,6.15,0.2,45.93,nse_xbrl
AVTNPL,30-JUN-2025,18-JUL-2025,Q1FY26,75.0,0.07,0.11,25.0,nse_xbrl
AWFIS,30-JUN-2025,21-JUL-2025,Q1FY26,20.31,21.45,37.63,79.69,nse_xbrl
AWHCL,30-JUN-2025,18-JUL-2025,Q1FY26,46.09,13.09,3.68,53.85,nse_xbrl
AWL,30-JUN-2025,20-JUL-2025,Q1FY26,74.36,4.61,8.62,25.3,nse_xbrl
