SYMBOL,COMPANY_NAME,SECTOR,SOURCE,LAST_UPDATED
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,IT,AUTO_V2,2026-06-06
KEI,KEI Industries Limited,ELECTRICAL_EQUIPMENT,AUTO_V2,2026-06-06
KELLTONTEC,Kellton Tech Solutions Limited,IT,AUTO_V2,2026-06-06
KERNEX,Kernex Microsystems (India) Limited,RAILWAY,AUTO_V2,2026-06-06
KEYFINSERV,Keynote Financial Services Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
KFINTECH,Kfin Technologies Limited,IT,AUTO_V2,2026-06-06
KHANDSE,Khandwala Securities Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
KIRIINDUS,Kiri Industries Limited,CHEMICALS,AUTO_V2,2026-06-06
KIRLFER,Kirloskar Ferrous Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
KIRLOSIND,Kirloskar Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
KLBRENG-B,Kilburn Engineering Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
KNRCON,KNR Constructions Limited,CONSTRUCTION,AUTO_V2,2026-06-06
KOHINOOR,Kohinoor Foods Limited,FMCG,AUTO_V2,2026-06-06
KOTAKBANK,Kotak Mahindra Bank Limited,BANKING,AUTO_V2,2026-06-06
KOTARISUG,Kothari Sugars And Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
KOTHARIPET,Kothari Petrochemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
KOTYARK,Kotyark Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
KPEL,K.P. Energy Limited,POWER,AUTO_V2,2026-06-06
KPIGREEN,KPI Green Energy Limited,RENEWABLE_ENERGY,AUTO_V2,2026-06-06
KPITTECH,KPIT Technologies Limited,IT,AUTO_V2,2026-06-06
KPL,Kwality Pharmaceuticals Limited,PHARMA,AUTO_V2,2026-06-06
KREBSBIO,Krebs Biochemicals and Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
KRISHIVAL,Krishival Foods Limited,FMCG,AUTO_V2,2026-06-06
KRISHNADEF,Krishna Defence And Allied Industries Limited,DEFENCE,AUTO_V2,2026-06-06
KRITIKA,Kritika Wires Limited,ELECTRICAL_EQUIPMENT,AUTO_V2,2026-06-06
KRSNAA,Krsnaa Diagnostics Limited,DIAGNOSTICS,AUTO_V2,2026-06-06
KSCL,Kaveri Seed Company Limited,AGRI,AUTO_V2,2026-06-06
KSL,Kalyani Steels Limited,CONSUMER_DURABLES,AUTO_V2,2026-06-06
KTKBANK,The Karnataka Bank Limited,BANKING,AUTO_V2,2026-06-06
LAURUSLABS,Laurus Labs Limited,PHARMA,AUTO_V2,2026-06-06
LEMONTREE,Lemon Tree Hotels Limited,HOSPITALITY,AUTO_V2,2026-06-06
LICHSGFIN,LIC Housing Finance Limited,NBFC,AUTO_V2,2026-06-06
LICI,Life Insurance Corporation Of India,INSURANCE,AUTO_V2,2026-06-06
LINCOLN,Lincoln Pharmaceuticals Limited,PHARMA,AUTO_V2,2026-06-06
LLOYDSME,Lloyds Metals And Energy Limited,POWER,AUTO_V2,2026-06-06
LODHA,Lodha Developers Limited,REALTY,AUTO_V2,2026-06-06
LOTUSDEV,Sri Lotus Developers and Realty Limited,REALTY,AUTO_V2,2026-06-06
LT,Larsen & Toubro Limited,CONSTRUCTION,AUTO_V2,2026-06-06
LTFOODS,LT Foods Limited,FMCG,AUTO_V2,2026-06-06
