SYMBOL,COMPANY_NAME,STATUS
BIRLANU,BirlaNu Limited,PENDING
BLACKBUCK,BLACKBUCK LIMITED,PENDING
BLACKROSE,Black Rose Inds. Limited,PENDING
BLAL,BEML Land Assets Limited,PENDING
BLBLIMITED,BLB Limited,PENDING
BLIL,Balmer Lawrie Investments Limited,PENDING
BLKASHYAP,B. L. Kashyap and Sons Limited,PENDING
BLS,BLS International Services Limited,PENDING
BLSE,BLS E-Services Limited,PENDING
BLUECHIP,Blue Chip India Limited,PENDING
BLUEDART,Blue Dart Express Limited,PENDING
BLUESTARCO,Blue Star Limited,PENDING
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,PENDING
BLUSPRING,Bluspring Enterprises Limited,PENDING
BMWVENTLTD,BMW Ventures Limited,PENDING
BNALTD,B & A Limited,PENDING
BOMDYEING,Bombay Dyeing & Mfg Company Limited,PENDING
BORANA,Borana Weaves Limited,PENDING
BOROLTD,Borosil Limited,PENDING
BOROSCI,Borosil Scientific Limited,PENDING
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,PENDING
BPL,BPL Limited,PENDING
BRIGHOTEL,Brigade Hotel Ventures Limited,PENDING
BRNL,Bharat Road Network Limited,PENDING
BSE,BSE Limited,PENDING
BSL,BSL Limited,PENDING
BTML,Bodhi Tree Multimedia Limited,PENDING
BTTL,Bhilwara Technical Textiles Limited,PENDING
BUILDPRO,Shankara Buildpro Limited,PENDING
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,PENDING
BVCL,Barak Valley Cements Limited,PENDING
CAMLINFINE,Camlin Fine Sciences Limited,PENDING
CAMPUS,Campus Activewear Limited,PENDING
CAMS,Computer Age Management Services Limited,PENDING
CANFINHOME,Can Fin Homes Limited,PENDING
CANTABIL,Cantabil Retail India Limited,PENDING
CAPACITE,Capacit'e Infraprojects Limited,PENDING
CAPILLARY,Capillary Technologies India Limited,PENDING
CARBORUNIV,Carborundum Universal Limited,PENDING
CARERATING,CARE Ratings Limited,PENDING
CARRARO,Carraro India Limited,PENDING
CARTRADE,Cartrade Tech Limited,PENDING
CARYSIL,CARYSIL LIMITED,PENDING
CASTROLIND,Castrol India Limited,PENDING
CCAVENUE,AvenuesAI Limited,PENDING
CCCL,Consolidated Construction Consortium Limited,PENDING
CCHHL,Country Club Hospitality & Holidays Limited,PENDING
CCL,CCL Products (India) Limited,PENDING
CDSL,Central Depository Services (India) Limited,PENDING
CEATLTD,CEAT Limited,PENDING
CEIGALL,Ceigall India Limited,PENDING
CEINSYS,Ceinsys Tech Limited,PENDING
CELEBRITY,Celebrity Fashions Limited,PENDING
CELLO,Cello World Limited,PENDING
CEMPRO,Cemindia Projects Limited,PENDING
CENTENKA,Century Enka Limited,PENDING
CENTEXT,Century Extrusions Limited,PENDING
CENTRUM,Centrum Capital Limited,PENDING
CENTUM,Centum Electronics Limited,PENDING
CENTURYPLY,Century Plyboards (India) Limited,PENDING
CERA,Cera Sanitaryware Limited,PENDING
CESC,CESC Limited,PENDING
CEWATER,Concord Enviro Systems Limited,PENDING
CGCL,Capri Global Capital Limited,PENDING
CGPOWER,CG Power and Industrial Solutions Limited,PENDING
CHEMPLASTS,Chemplast Sanmar Limited,PENDING
CHEVIOT,Cheviot Company Limited,PENDING
CHOICEIN,Choice International Limited,PENDING
CIEINDIA,CIE Automotive India Limited,PENDING
CIFL,Capital India Finance Limited,PENDING
CINELINE,Cineline India Limited,PENDING
CINEVISTA,Cinevista Limited,PENDING
CIPLA,Cipla Limited,PENDING
CLEANMAX,Clean Max Enviro Energy Solutions Limited,PENDING
CLSEL,Chaman Lal Setia Exports Limited,PENDING
CMPDI,Central Mine Planning & Design Institute Limited,PENDING
CMSINFO,CMS Info Systems Limited,PENDING
CNL,Creative Newtech Limited,PENDING
COALINDIA,Coal India Limited,PENDING
COASTCORP,Coastal Corporation Limited,PENDING
COCKERILL,John Cockerill India Limited,PENDING
COHANCE,Cohance Lifesciences Limited,PENDING
COMFINTE,Comfort Intech Limited,PENDING
COMSYN,Commercial Syn Bags Limited,PENDING
CONCORDBIO,Concord Biotech Limited,PENDING
CONFIPET,Confidence Petroleum India Limited,PENDING
CONSOFINVT,Consolidated Finvest & Holdings Limited,PENDING
CONTROLPR,Control Print Limited,PENDING
CORALFINAC,Coral India Finance & Housing Limited,PENDING
CORONA,CORONA Remedies Limited,PENDING
COSMOFIRST,COSMO FIRST LIMITED,PENDING
COUNCODOS,Country Condo's Limited,PENDING
CPEDU,Career Point Edutech Limited,PENDING
CREATIVEYE,Creative Eye Limited,PENDING
CREDITACC,CREDITACCESS GRAMEEN LIMITED,PENDING
CREST,Crest Ventures Limited,PENDING
CRISIL,CRISIL Limited,PENDING
CRIZAC,Crizac Limited,PENDING
CROWN,Crown Lifters Limited,PENDING
CSLFINANCE,CSL Finance Limited,PENDING
CTE,Cambridge Technology Enterprises Limited,PENDING
CUBEXTUB,Cubex Tubings Limited,PENDING
CUPID,Cupid Limited,PENDING
DAICHI,Dai-Ichi Karkaria Limited,PENDING
DAMCAPITAL,Dam Capital Advisors Limited,PENDING
DANGEE,Dangee Dums Limited,PENDING
DATAMATICS,Datamatics Global Services Limited,PENDING
DAVANGERE,Davangere Sugar Company Limited,PENDING
DBCORP,D.B.Corp Limited,PENDING
DBL,Dilip Buildcon Limited,PENDING
DCAL,Dishman Carbogen Amcis Limited,PENDING
DCM,DCM  Limited,PENDING
DCMSHRIRAM,DCM Shriram Limited,PENDING
DCW,DCW Limited,PENDING
DCXINDIA,DCX Systems Limited,PENDING
DECCANCE,Deccan Cements Limited,PENDING
DECNGOLD,Deccan Gold Mines Limited,PENDING
DELHIVERY,Delhivery Limited,PENDING
DELPHIFX,DELPHI WORLD MONEY LIMITED,PENDING
DELTACORP,Delta Corp Limited,PENDING
DEN,Den Networks Limited,PENDING
DENORA,De Nora India Limited,PENDING
DENTA,Denta Water and Infra Solutions Limited,PENDING
DEVX,Dev Accelerator Limited,PENDING
DGCONTENT,Digicontent Limited,PENDING
DHAMPURSUG,Dhampur Sugar Mills Limited,PENDING
DHARMAJ,Dharmaj Crop Guard Limited,PENDING
DHUNINV,Dhunseri Investments Limited,PENDING
DIAMONDYD,Prataap Snacks Limited,PENDING
DICIND,DIC India Limited,PENDING
DIGIDRIVE,Digidrive Distributors Limited,PENDING
DIGITIDE,Digitide Solutions Limited,PENDING
DIGJAMLMTD,Digjam Limited,PENDING
DISAQ,Disa India Limited,PENDING
DIVGIITTS,Divgi Torqtransfer Systems Limited,PENDING
DLF,DLF Limited,PENDING
DLINKINDIA,D-Link (India) Limited,PENDING
DNAMEDIA,Diligent Media Corporation Limited,PENDING
DODLA,Dodla Dairy Limited,PENDING
DOLATALGO,Dolat Algotech Limited,PENDING
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,PENDING
DPABHUSHAN,D. P. Abhushan Limited,PENDING
DRAGARWQ,Dr Agarwals Eye Hospital Limited,PENDING
DRCSYSTEMS,DRC Systems India Limited,PENDING
DREAMFOLKS,Dreamfolks Services Limited,PENDING
DSSL,Dynacons Systems & Solutions Limited,PENDING
DVL,Dhunseri Ventures Limited,PENDING
DYNPRO,Dynemic Products Limited,PENDING
E2E,E2E Networks Limited,PENDING
EASEMYTRIP,Easy Trip Planners Limited,PENDING
EBGNG,GNG Electronics Limited,PENDING
ECLERX,eClerx Services Limited,PENDING
EFCIL,EFC (I) Limited,PENDING
EIDPARRY,EID Parry India Limited,PENDING
EIHOTEL,EIH Limited,PENDING
EIMCOELECO,Eimco Elecon (India) Limited,PENDING
EKC,Everest Kanto Cylinder Limited,PENDING
ELANTAS,Elantas Beck India Limited,PENDING
ELCIDIN,EL CID Investments Limited,PENDING
ELECON,Elecon Engineering Company Limited,PENDING
ELECTCAST,Electrosteel Castings Limited,PENDING
ELECTHERM,Electrotherm (India) Limited,PENDING
ELGIEQUIP,Elgi Equipments Limited,PENDING
ELGIRUBCO,Elgi Rubber Company Limited,PENDING
ELIN,Elin Electronics Limited,PENDING
ELITECON,Elitecon International Limited,PENDING
ELLEN,Ellenbarrie Industrial Gases Limited,PENDING
ELPROINTL,Elpro International Limited,PENDING
EMAMILTD,Emami Limited,PENDING
EMAMIPAP,Emami Paper Mills Limited,PENDING
EMBDL,Embassy Developments Limited,PENDING
EMIL,Electronics Mart India Limited,PENDING
EMSLIMITED,EMS Limited,PENDING
EMUDHRA,eMudhra Limited,PENDING
ENERGYDEV,Energy Development Company Limited,PENDING
ENGINERSIN,Engineers India Limited,PENDING
ENIL,Entertainment Network (India) Limited,PENDING
ENRIN,Siemens Energy India Limited,PENDING
ENTERO,Entero Healthcare Solutions Limited,PENDING
EPACK,EPACK Durable Limited,PENDING
EPIGRAL,Epigral Limited,PENDING
EPL,EPL Limited,PENDING
ERIS,Eris Lifesciences Limited,PENDING
ESABINDIA,Esab India Limited,PENDING
ESSARSHPNG,Essar Shipping Limited,PENDING
ETERNAL,ETERNAL LIMITED,PENDING
ETHOSLTD,Ethos Limited,PENDING
EUREKAFORB,Eureka Forbes Limited,PENDING
EUROBOND,Euro Panel Products Limited,PENDING
EUROPRATIK,Euro Pratik Sales Limited,PENDING
EUROTEXIND,Eurotex Industries and Exports Limited,PENDING
EVEREADY,Eveready Industries India Limited,PENDING
EXICOM,Exicom Tele-Systems Limited,PENDING
EXPLEOSOL,Expleo Solutions Limited,PENDING
EXXARO,Exxaro Tiles Limited,PENDING
FAZE3Q,Faze Three Limited,PENDING
FCL,Fineotex Chemical Limited,PENDING
FDC,FDC Limited,PENDING
