symbol,opm_pct,roce_pct,book_value_per_share,total_equity_cr,equity_share_capital_cr,capital_employed_cr,ebitda_cr_latest,ebit_cr_latest,sales_growth_cagr_pct,sales_growth_years,as_of_date,data_quarters
TEMBO,19.26,16.79,,452.27,,737.85,31.6807,30.9669,50.74,3.5,2024-12-31,15
TERASOFT,16.61,10.11,116.66,145.96,,155.9,3.9669,3.9387,-17.86,4.3,2024-12-31,18
TEXINFRA,56.06,0.57,83.71,1066.72,,1144.31,2.229,1.6249,-0.85,4.0,2024-12-31,17
TEXMOPIPES,9.46,10.25,78.95,230.5,,270.52,10.3931,6.9328,7.33,4.3,2024-12-31,18
TEXRAIL,10.46,18.15,58.35,2374.14,,2818.28,138.6556,127.8541,30.42,4.0,2024-12-31,17
TFCILTD,94.06,,28.41,1315.14,,,53.8158,53.6442,-2.88,4.3,2024-12-31,18
TFL,-45.5,-5.34,5.2,28.66,,63.52,-0.7892,-0.8477,98.49,4.3,2024-12-31,18
TGBHOTELS,23.77,5.43,26.48,77.56,,83.76,2.4306,1.1376,32.47,4.3,2024-12-31,17
THANGAMAYL,7.35,20.13,455.57,1416.0,,1545.8,83.17,77.81,32.53,4.3,2024-12-31,18
THEINVEST,35.59,0.06,140.81,735.61,,744.27,0.8958,0.1107,1.37,4.3,2024-12-31,18
THEJO,19.74,17.64,326.77,354.42,,415.79,22.049,18.3414,-21.01,2.3,2024-12-31,7
THEMISMED,10.18,6.49,43.28,398.58,,431.75,9.5508,7.0105,13.43,4.3,2024-12-31,18
THERMAX,8.79,9.94,492.68,5549.97,,7461.75,220.5,185.43,34.34,4.3,2024-12-31,18
THOMASCOOK,6.51,11.06,53.89,2546.34,,3516.84,134.12,97.21,71.82,4.0,2024-12-31,18
THOMASCOTT,12.63,14.47,93.6,137.31,,139.41,5.7342,5.0445,147.33,4.3,2024-12-31,19
THYROCARE,27.57,18.0,36.79,585.5,,637.31,45.74,28.68,1.89,4.3,2024-12-31,19
TI,7.97,4.3,120.63,2981.71,,5282.66,64.1721,56.8116,20.86,4.3,2024-12-31,18
TICL,21.23,2.94,20.09,311.4,,369.93,3.2,2.72,,,2024-12-31,1
TIDEWATER,10.05,,,,,,38.02,34.4,10.76,3.7,2024-06-30,16
TIIL,15.31,12.07,891.92,2022.24,,2315.47,98.6781,69.8882,19.72,4.3,2024-12-31,18
TIINDIA,11.81,11.83,400.48,7751.41,,14930.44,568.25,441.59,29.71,4.0,2024-12-31,18
TIJARIA,-9.19,-14.36,,,,19.77,-0.0098,-0.7099,-72.23,3.5,2024-12-31,18
