symbol,opm_pct,roce_pct,book_value_per_share,total_equity_cr,equity_share_capital_cr,capital_employed_cr,ebitda_cr_latest,ebit_cr_latest,sales_growth_cagr_pct,sales_growth_years,as_of_date,data_quarters
20MICRONS,12.46,16.34,137.05,483.62,,539.12,26.7478,22.02,12.8,4.3,2024-12-31,19
21STCENMGM,29.62,49.93,31.49,33.06,,33.2,4.1517,4.1438,23.44,3.7,2024-12-31,20
360ONE,544.3,2.04,242.17,9835.55,,26142.37,137.6,133.21,29.93,1.8,2024-12-31,9
3IINFOLTD,25.2,14.89,18.38,381.18,,415.9,21.61,15.48,12.4,3.3,2024-12-31,14
3IINFOTECH,-1.44,,,,,,-2.3,-5.2,128.03,0.7,2021-06-30,4
3MINDIA,15.68,31.82,1569.6,1768.15,,1972.22,170.9112,156.8972,11.35,4.3,2024-12-31,18
3PLAND,56.38,,58.14,104.66,,,0.5252,0.5143,28.01,4.0,2024-12-31,18
4THDIM,15.29,,,,,,1.5061,1.4235,,,2023-03-31,3
5PAISA,35.25,5.84,207.74,649.22,,1847.57,30.0592,26.9593,14.52,4.0,2024-12-31,18
63MOONS,-12.71,-0.4,770.81,3551.83,,3680.59,-0.8439,-3.6731,-25.95,4.3,2024-12-31,18
8KMILES,13.22,,,,,,11.768,6.4,,,2020-09-30,1
A2ZINFRA,1.99,2.96,2.51,44.18,,70.85,1.6804,0.5246,-7.95,4.3,2024-12-31,18
AAATECH,12.45,9.68,24.14,30.96,,30.96,0.8635,0.7493,26.3,2.0,2024-12-31,9
AADHARHFC,76.61,8.88,173.07,7540.89,,27231.8,611.03,604.55,20.81,0.8,2024-12-31,4
AAKASH,10.74,4.11,6.31,63.88,,70.54,2.508,0.7252,8.98,4.3,2024-12-31,17
AAREYDRUGS,2.15,6.05,52.86,150.42,,152.17,2.8805,2.3,9.44,3.5,2024-12-31,15
AARON,18.09,17.5,,48.61,,65.23,3.3171,2.8542,29.34,4.0,2024-12-31,16
AARTECH,17.56,17.8,11.05,35.1,,35.72,1.7184,1.5894,32.9,1.5,2024-12-31,7
AARTIDRUGS,13.23,12.64,169.7,1548.86,,1893.0,73.63,59.83,-0.89,4.3,2024-12-31,20
AARTIIND,12.83,6.07,164.23,5955.0,,8261.0,236.08,125.43,11.18,4.3,2024-12-31,17
AARTIPHARM,26.95,16.65,234.35,2124.6,,2544.14,126.926,105.8828,6.06,1.8,2024-12-31,8
AARTISURF,5.39,5.56,289.34,244.93,,319.11,8.7788,4.4347,9.22,4.3,2024-12-31,19
AARVEEDEN,0.4,,,,,,0.0237,-0.9415,-37.42,4.3,2024-12-31,18
AARVI,2.57,6.9,95.92,142.07,,151.37,3.0807,2.6116,24.91,4.3,2024-12-31,18
AAVAS,76.47,8.44,637.07,5050.85,,21199.89,456.3241,447.1018,17.79,4.0,2024-12-31,19
ABAN,14.46,,,,,,16.823,9.621,-19.57,4.3,2024-12-31,19
ABB,22.11,35.94,369.78,7835.99,,7905.03,743.96,710.26,18.89,4.3,2024-12-31,19
ABCAPITAL,62.58,,131.41,34423.11,,,20.54,20.33,338.48,4.3,2024-12-31,17
ABCOTS,,,69.76,153.22,,217.2,,,,,2022-09-30,1
ABDL,5.12,21.8,59.44,1662.67,,1973.26,120.0403,107.5351,46.46,0.8,2024-12-31,5
ABFRL,15.87,6.46,47.99,5839.06,,13043.46,683.02,210.76,40.04,4.3,2024-12-31,19
ABHISHEK,114.57,,,,,,1.4186,0.8229,-29.4,4.3,2024-12-31,18
ABINFRA,13.35,16.9,2.65,169.28,,203.52,10.0187,8.5983,,,2024-12-31,2
ABMINTLLTD,-11.69,-59.05,13.85,13.03,,13.28,-1.9505,-1.9605,-17.79,3.3,2024-12-31,14
ABMINTLTD,-2.86,,,,,,-1.3099,-1.351,251.05,0.7,2021-06-30,4
ABREL,1.82,-1.93,334.68,3700.81,,7947.74,17.39,-38.35,,,2024-12-31,2
ABSLAMC,70.8,27.6,139.94,4041.66,,4340.1,310.39,299.52,9.44,3.3,2024-12-31,15
ACC,29.74,27.63,1094.35,20550.54,,21763.74,1753.26,1503.51,9.36,4.0,2024-12-31,18
ACCELYA,39.28,53.37,176.09,262.83,,317.3,48.8148,42.3327,22.84,4.3,2024-12-31,18
ACCURACY,2.97,10.45,8.28,124.71,,177.66,7.5482,4.6434,22.3,4.0,2024-12-31,18
ACE,18.86,31.06,168.96,2010.99,,2033.63,165.06,157.89,32.05,4.3,2024-12-31,19
ACEINTEG,-16.08,-6.44,16.36,16.69,,16.76,-0.23,-0.27,-32.39,2.3,2024-12-31,11
ACI,36.65,12.33,156.68,1934.39,,2226.43,88.7998,68.6551,-18.5,2.0,2024-12-31,9
ACL,-9.59,-8.71,8.76,80.74,,1135.52,-6.36,-24.72,192.16,1.5,2024-12-31,8
ACLGATI,5.53,,,,,,24.37,6.03,3.78,1.0,2024-12-31,5
ACMESOLAR,100.89,4.46,83.61,5061.48,,25320.15,352.111,282.449,,,2024-12-31,2
ACRYSIL,17.69,,,,,,14.5728,9.2774,-3.38,1.7,2022-09-30,8
ADANIENSOL,39.37,9.47,211.67,25427.54,,77388.64,2295.3,1832.92,999.0,1.3,2024-12-31,7
ADANIENT,16.29,5.36,626.03,80925.95,,202688.1,3722.53,2716.88,67.08,4.3,2024-12-31,18
ADANIGAS,47.05,,,,,,207.58,192.56,,,2020-09-30,1
ADANIGREEN,78.22,3.99,121.21,19965.0,,123865.0,1850.0,1235.0,37.43,4.3,2024-12-31,19
ADANIPORTS,99.21,4.72,417.22,96125.3,,169554.41,2164.87,2001.52,-6.49,4.3,2024-12-31,18
ADANIPOWER,45.24,16.45,33.67,64936.88,,121951.71,6185.18,5015.17,14.28,4.3,2024-12-31,19
ADANITRANS,45.89,,,,,,1681.46,1262.58,999.0,2.7,2023-06-30,12
ADFFOODS,20.57,16.07,52.06,571.93,,639.67,30.3334,25.7005,11.1,4.3,2024-12-31,19
ADHUNIKIND,2.32,,,,,,3.4501,2.0265,,,2020-12-31,2
ADL,8.73,4.42,91.32,50.83,,52.92,1.0474,0.5843,14.17,4.3,2024-12-31,18
ADORWELD,9.85,,,,,,26.98,22.35,27.99,4.3,2024-12-31,18
ADROITINFO,15.96,3.52,13.54,77.55,,83.89,1.2256,0.7381,41.02,4.0,2024-12-31,18
ADSL,12.4,12.04,108.58,613.61,,747.09,27.34,22.49,23.98,4.3,2024-12-31,20
ADVANIHOTR,47.79,12.27,55.73,515.16,,523.64,16.7926,16.065,741.39,4.3,2024-12-31,18
ADVENZYMES,23.29,4.76,145.81,1631.96,,1732.04,23.491,20.603,8.14,4.3,2024-12-31,18
AEGISCHEM,22.88,,,,,,165.05,161.78,101.78,3.5,2024-03-31,16
AEGISLOG,17.16,9.27,172.51,6055.02,,11022.36,292.86,255.53,13.52,0.5,2024-12-31,4
AEROFLEX,22.31,17.39,33.8,447.27,,454.31,22.2657,19.7528,13.08,1.5,2024-12-31,7
AETHER,34.44,10.16,185.1,2455.89,,2544.09,75.66,64.604,22.08,2.3,2024-12-31,11
AFCONS,15.12,16.17,148.18,5449.8,,9119.45,485.62,368.55,,,2024-12-31,2
AFFLE,25.31,13.73,259.76,3652.21,,3686.83,152.291,126.53,42.13,4.3,2024-12-31,18
AFFORDABLE,16.78,15.39,98.12,110.35,,141.97,5.8319,5.463,,,2024-12-31,1
AFIL,74.12,8.86,9.93,423.87,,933.18,20.8071,20.6603,56.32,0.8,2024-12-31,6
AGARIND,10.29,19.89,460.63,689.01,,818.91,55.7574,40.7273,50.57,4.3,2024-12-31,18
AGARWALEYE,27.8,4.08,63.93,2025.46,,3480.27,74.48,35.48,,,2024-12-31,1
AGCNET,3.9,,,,,,52.517,27.847,999.0,1.0,2021-09-30,5
AGI,28.03,19.92,372.1,2407.35,,2818.04,184.59,140.34,16.55,2.8,2024-12-31,13
AGIIL,34.14,16.95,37.18,464.8,,611.27,31.2092,25.9056,57.87,0.5,2024-12-31,3
AGRITECH,-385.31,-0.44,167.14,99.28,,99.34,-0.1102,-0.1102,80.9,4.3,2024-12-31,17
AGROPHOS,18.46,20.11,34.8,70.55,,74.02,4.2102,3.7218,19.75,4.3,2024-12-31,18
AGSTRA,-81.2,,,,,,-170.185,-213.975,-24.38,3.0,2024-12-31,14
AHL,89.9,,,,,,18.8298,18.8298,122.41,2.0,2024-12-31,9
AHLADA,19.14,6.43,106.87,138.09,,146.45,4.9875,2.3553,-9.43,4.0,2024-12-31,18
AHLEAST,49.33,15.81,132.07,228.38,,381.6,16.0569,15.0851,49.4,4.3,2024-12-31,18
AHLUCONT,10.43,12.58,307.35,2058.9,,2585.55,99.2867,81.3024,20.26,4.3,2024-12-31,18
AHLWEST,29.41,17.71,,,,444.97,32.3684,19.7041,31.23,4.3,2024-12-31,20
AIAENG,32.86,15.88,859.98,8025.35,,8166.18,350.3889,324.1996,8.89,4.3,2024-12-31,18
AIIL,101.65,13.33,173.43,14727.84,,18849.85,627.878,628.189,-64.2,0.8,2024-12-31,4
AIRAN,10.04,2.68,12.48,156.08,,174.7,2.6914,1.1725,15.66,4.3,2024-12-31,18
AIROLAM,6.69,9.58,48.87,73.31,,100.07,3.6143,2.397,0.15,2.5,2024-12-31,11
AJANTPHARM,33.54,28.24,362.35,4527.09,,4739.09,369.56,334.63,10.67,4.3,2024-12-31,20
AJAXENGG,17.32,26.17,121.69,1392.22,,1408.13,94.96,92.134,,,2024-12-31,1
AJMERA,35.69,12.18,71.06,1398.47,,2237.18,68.83,68.13,14.69,4.3,2024-12-31,18
AJOONI,3.87,4.78,5.11,88.08,,90.23,1.3156,1.0781,21.89,3.8,2024-12-31,16
AJRINFRA,53.2,,,,,,8.0151,-1.5288,-32.15,3.0,2024-12-31,14
AKASH,9.84,4.32,50.57,85.27,,99.55,1.3644,1.0759,-3.27,4.3,2024-12-31,19
AKG,1.63,3.29,16.84,53.5,,53.93,0.483,0.4432,7.45,3.5,2024-12-31,15
AKI,8.71,5.85,9.72,100.32,,104.75,1.9701,1.5325,34.93,1.5,2024-12-31,7
AKSHAR,-7.15,-14.33,1.03,80.86,,84.19,-1.8563,-3.0159,-21.96,2.5,2024-12-31,12
AKSHARCHEM,7.05,3.86,325.57,261.53,,298.14,6.3899,2.8764,15.01,4.3,2024-12-31,18
AKSHOPTFBR,-1.1,-155.61,,,,8.19,-0.3189,-3.1862,-23.53,4.3,2024-12-31,18
AKUMS,13.93,8.84,216.41,3313.35,,4352.21,140.707,96.187,-1.69,0.5,2024-12-31,3
AKZOINDIA,16.46,,,,,,172.9267,149.5204,13.77,4.3,2024-12-31,18
ALANKIT,11.8,6.58,11.7,317.2,,353.11,8.5848,5.8115,26.17,4.3,2024-12-31,18
ALBERTDAVD,-10.03,-9.94,686.07,391.54,,403.7,-8.3363,-10.0331,3.53,4.3,2024-12-31,18
ALCHEM,-21214.7,,,,,,-248.3605,-249.912,,,2020-09-30,1
ALEMBICLTD,53.12,4.51,95.22,2445.09,,2488.21,30.7673,28.0774,33.87,4.3,2024-12-31,18
ALICON,8.57,4.55,384.59,628.3,,766.09,30.3703,8.7142,17.37,4.3,2024-12-31,18
ALIVUS,31.28,21.37,271.49,3332.13,,3474.86,200.764,185.605,,,2024-12-31,1
ALKALI,-14.16,-34.91,43.89,44.69,,48.57,-3.163,-4.2384,16.32,4.3,2024-12-31,19
ALKEM,36.16,18.88,1155.87,13820.1,,16090.27,827.01,759.4,3.4,4.3,2024-12-31,18
ALKYLAMINE,20.97,14.27,299.81,1533.37,,1679.56,77.83,59.9,5.87,4.3,2024-12-31,18
ALLCARGO,3.64,15.67,3.83,574.0,,1072.0,149.33,42.0,14.18,4.3,2024-12-31,18
ALLDIGI,24.64,12.73,164.71,250.98,,412.2,20.32,13.12,,,2024-12-31,2
ALLSEC,46.76,,,,,,36.86,30.29,4.19,3.7,2024-06-30,18
ALMONDZ,13.0,3.52,15.5,269.22,,360.35,4.32,3.17,20.18,4.3,2024-12-31,18
ALOKINDS,-4.04,-10.61,,,,4125.29,-34.89,-109.45,2.19,4.3,2024-12-31,20
ALPA,36.5,18.97,88.53,186.28,,189.62,9.5447,8.9941,2.95,4.3,2024-12-31,19
ALPHAGEO,-56.29,-14.99,398.07,253.37,,255.59,-6.2807,-9.5751,84.69,4.3,2024-12-31,18
ALPSINDUS,72.43,94.69,,,,3.03,0.7173,0.7173,-76.74,3.0,2024-12-31,19
AMARAJABAT,13.42,,,,,,375.23,263.81,14.32,2.7,2023-06-30,12
AMBER,7.67,3.48,1242.36,4372.12,,8065.58,108.3385,70.0725,47.56,4.3,2024-12-31,19
AMBICAAGAR,10.71,6.66,65.63,112.73,,206.44,3.8603,3.4379,-0.82,4.3,2024-12-31,19
AMBIKCO,18.41,9.39,1666.92,954.31,,983.28,28.76,23.08,1.67,4.3,2024-12-31,18
AMBUJACEM,32.85,12.55,240.1,59347.32,,76510.36,3064.09,2400.11,10.21,4.3,2024-12-31,19
AMDIND,7.05,-1.31,79.77,152.89,,175.43,3.1682,-0.5731,16.8,4.3,2024-12-31,16
AMIORG,25.58,,,,,,70.3387,64.02,28.29,3.3,2024-12-31,14
AMJLAND,27.1,6.58,52.1,213.61,,224.33,4.1618,3.6905,39.69,4.3,2024-12-31,18
AMNPLST,9.0,20.18,53.12,292.26,,312.69,17.1804,15.7724,8.84,1.0,2024-12-31,5
AMRUTANJAN,22.57,27.22,128.11,370.23,,382.71,27.709,26.0451,6.99,4.3,2024-12-31,18
AMTEKAUTO,1.62,,,,,,2.03,-80.14,-17.18,0.8,2020-12-31,4
ANANDRATHI,48.19,39.07,60.11,998.15,,1102.63,114.2302,107.7034,30.89,3.0,2024-12-31,14
ANANTRAJ,22.54,4.31,160.85,5788.71,,6492.76,73.91,69.98,81.72,4.3,2024-12-31,20
ANDHRACEMT,-27900.0,,,,,,-5.58,-17.52,,,2023-03-31,9
ANDHRAPAP,11.31,3.96,97.53,1939.35,,2184.95,43.6075,21.6055,23.99,4.3,2024-12-31,19
ANDHRSUGAR,9.69,1.93,123.33,1671.55,,1970.18,28.5908,9.4959,19.85,4.3,2024-12-31,17
ANGELBRKG,38.12,,,,,,199.225,194.945,103.96,0.7,2021-09-30,5
ANGELONE,39.42,30.2,67.17,6117.79,,6236.96,497.515,470.852,28.32,3.0,2024-12-31,14
ANIKINDS,4.28,1.02,139.17,386.24,,435.72,1.2498,1.1121,10.14,4.3,2024-12-31,19
ANKITMETAL,-45.29,,,,,,-66.5223,-76.0562,25.01,3.2,2023-12-31,15
ANMOL,1.89,11.74,20.9,118.96,,159.81,4.79,4.69,-5.41,3.5,2024-12-31,15
ANSALAPI,-107.11,,,,,,-209.3,-209.48,0.38,4.0,2024-09-30,17
ANSALHSG,25.12,,,,,,10.7447,10.3646,20.86,1.5,2022-06-30,8
ANTGRAPHIC,-46.11,,,,,,-0.1833,-0.2026,13.41,4.0,2024-09-30,15
ANUHPHR,9.86,15.29,35.14,352.22,,354.36,15.7271,13.5458,,,2024-12-31,1
ANUP,23.15,18.07,344.97,691.01,,742.49,39.7258,33.5417,17.4,4.3,2024-12-31,20
ANURAS,30.95,10.57,259.28,2850.31,,3460.68,120.7581,91.4631,10.12,3.8,2024-12-31,16
APARINDS,8.27,23.87,1342.71,5393.38,,5980.91,390.28,356.91,31.32,4.3,2024-12-31,20
APCL,1.65,-1.39,125.63,369.04,,799.16,1.37,-2.78,3.13,4.3,2024-12-31,18
APCOTEXIND,8.93,12.24,119.78,620.99,,688.39,31.7303,21.0725,26.84,4.3,2024-12-31,20
APEX,2.73,1.91,168.96,527.99,,539.26,6.2874,2.5756,-2.97,4.3,2024-12-31,18
APLAPOLLO,6.76,21.25,190.76,5296.53,,5964.35,367.23,316.89,33.67,4.3,2024-12-31,18
APLLTD,13.89,8.14,288.7,5674.81,,6168.75,195.287,125.598,1.7,4.0,2024-12-31,17
APOLLO,26.42,9.43,36.75,1313.1,,1494.12,39.2101,35.2346,20.86,4.3,2024-12-31,18
APOLLOHOSP,30.16,13.01,659.32,9480.1,,15715.6,619.7,511.3,17.73,4.3,2024-12-31,18
APOLLOPIPE,7.65,5.0,186.51,819.13,,941.16,23.5487,11.7679,24.02,4.3,2024-12-31,19
APOLLOTYRE,11.51,5.47,264.24,16715.17,,21155.97,522.611,289.413,1.38,4.3,2024-12-31,18
APOLSINHOT,5.21,9.13,604.15,157.08,,213.4,7.3515,4.8706,32.89,4.3,2024-12-31,18
APTECHT,10.05,13.48,42.86,248.62,,264.36,11.0719,8.9081,31.67,4.3,2024-12-31,17
APTUS,87.04,,101.05,5060.04,,,391.7264,388.4459,28.97,3.3,2024-12-31,13
ARCHIDPLY,4.03,5.72,56.32,111.88,,181.7,6.0777,2.6002,27.61,4.3,2024-12-31,18
ARCHIES,18.74,3.99,37.05,125.17,,140.91,3.3389,1.404,8.23,4.3,2024-12-31,19
ARCOTECH,-175.05,,,,,,-49.5806,-52.3408,151.21,1.5,2024-12-31,18
ARE&M,16.85,19.32,442.51,8098.96,,8694.28,551.55,420.02,12.9,1.3,2024-12-31,6
ARENTERP,59.0,4.26,65.77,20.44,,20.44,0.2241,0.2175,-5.37,2.5,2024-12-31,19
ARIES,13.32,19.78,257.13,334.37,,392.11,21.2412,19.3898,8.52,4.3,2024-12-31,18
ARIHANT,-17.98,-2.12,372.64,371.37,,716.6,-3.72,-3.8,999.0,1.0,2021-09-30,6
ARIHANTCAP,38.85,10.52,40.23,440.97,,721.68,19.7738,18.9812,7.8,3.8,2024-12-31,18
ARIHANTSUP,29.76,6.05,84.03,363.45,,1209.07,18.4232,18.2917,-4.05,4.0,2024-12-31,18
ARKADE,30.41,27.27,47.51,882.16,,980.85,68.3041,66.8572,218.17,0.5,2024-12-31,3
ARMANFIN,30.68,7.17,887.79,933.33,,2795.9,50.5513,50.096,71.97,4.3,2024-12-31,18
AROGRANITE,19.42,6.22,113.69,173.94,,215.21,5.8476,3.3469,-9.82,4.3,2024-12-31,19
ARROWGREEN,35.35,29.14,155.35,234.39,,241.31,19.48,17.58,84.85,4.3,2024-12-31,18
ARSHIYA,-6475.56,,,,,,-2202.9073,-2236.69,-17.18,3.5,2024-03-31,16
ARSSINFRA,1.86,0.04,106.01,955.37,,1121.48,0.363,0.115,-19.02,4.3,2024-12-31,19
ARTEMISMED,19.91,,,,,,46.2611,34.8107,24.25,4.3,2024-12-31,18
ARTNIRMAN,10.22,2.05,15.09,37.65,,58.01,0.4601,0.2971,20.63,3.0,2024-12-31,13
ARVEE,6.01,3.08,28.53,31.44,,33.74,0.5352,0.2602,0.18,3.8,2024-12-31,16
ARVIND,11.59,13.7,154.29,4044.19,,4943.36,223.36,169.37,11.7,4.3,2024-12-31,19
ARVINDFASN,14.48,21.63,70.6,943.64,,2012.04,174.18,108.82,26.9,4.3,2024-12-31,18
ARVSMART,30.81,18.06,141.54,649.19,,1406.97,64.7537,63.51,67.29,4.3,2024-12-31,19
ASAHIINDIA,19.71,11.27,154.24,3932.09,,6140.7,221.64,172.96,14.22,4.3,2024-12-31,18
ASAHISONG,10.1,9.61,230.25,271.39,,363.03,13.511,8.7257,19.69,4.3,2024-12-31,19
ASAL,6.29,33.37,22.79,36.16,,89.81,12.4619,7.4927,24.82,4.3,2024-12-31,19
ASALCBR,12.15,19.97,345.94,694.61,,729.66,40.6225,36.434,31.79,4.3,2024-12-31,19
ASHAPURMIN,17.14,19.49,172.65,1649.29,,2795.81,148.3217,136.2542,42.45,4.3,2024-12-31,18
ASHIANA,16.69,6.1,85.5,859.47,,1212.14,19.02,18.49,27.62,4.3,2024-12-31,18
ASHIMASYN,-137.33,-2.89,14.45,276.91,,440.77,-2.98,-3.18,-48.3,4.3,2024-12-31,18
ASHOKA,10.44,7.62,234.37,6579.28,,8492.95,187.0818,161.8093,17.81,4.3,2024-12-31,18
ASHOKAMET,39.42,5.5,48.8,121.97,,177.99,2.7122,2.448,-38.25,1.5,2024-12-31,7
ASHOKLEY,20.04,12.58,24.25,14241.69,,67923.06,2403.62,2135.92,40.37,4.3,2024-12-31,18
ASIANENE,15.96,7.03,101.71,494.15,,579.6,14.6342,10.1828,9.42,3.0,2024-12-31,13
ASIANHOTNR,159.66,41.05,215.93,920.59,,1296.75,138.0548,133.0678,62.36,4.3,2024-12-31,19
ASIANPAINT,20.82,24.01,222.94,21371.59,,25397.46,1779.73,1524.18,5.94,4.0,2024-12-31,19
ASIANTILES,4.63,0.88,51.36,1522.58,,1731.93,16.6717,3.8092,1.06,4.3,2024-12-31,18
ASIL,-0.21,-3.29,11.2,46.13,,68.38,-0.0506,-0.5631,17.13,4.3,2024-12-31,18
ASKAUTOLTD,12.55,19.99,66.51,1311.1,,1846.39,114.837,92.257,12.0,1.3,2024-12-31,7
ASMS,-3.55,-3.04,1.12,34.18,,42.39,-0.3094,-0.322,-16.92,1.8,2024-12-31,8
ASPINWALL,8.54,12.29,256.97,200.9,,208.28,7.67,6.4,10.92,4.3,2024-12-31,18
ASTEC,-4.08,-13.77,175.3,390.61,,442.25,-3.8262,-15.2284,-11.13,4.3,2024-12-31,19
ASTERDM,18.9,9.52,68.81,3428.07,,5727.17,198.45,136.24,-16.57,4.3,2024-12-31,18
ASTRAL,18.13,16.74,151.05,4057.9,,4314.1,230.3,180.5,15.86,4.3,2024-12-31,18
ASTRAMICRO,30.35,18.76,138.46,1314.57,,1469.67,78.4631,68.935,22.35,4.3,2024-12-31,18
ASTRAZEN,11.68,16.82,349.12,872.79,,1007.29,51.421,42.347,19.09,4.3,2024-12-31,18
ASTRON,-1112.17,-75.59,14.65,68.1,,88.32,-15.1311,-16.6895,-63.58,4.3,2024-12-31,19
ATALREAL,10.06,7.3,7.74,95.87,,100.58,2.0239,1.8361,177.37,1.5,2024-12-31,7
ATAM,14.63,24.44,33.2,38.06,,39.02,2.5425,2.3837,-7.16,1.8,2024-12-31,9
ATCOM,46.67,-4.25,,,,4.16,0.0007,-0.0442,,,2024-12-31,19
ATFL,5.28,,,,,,10.99,5.46,-4.13,4.0,2024-12-31,18
ATGL,19.39,11.94,44.23,4864.81,,7318.04,271.65,218.46,27.98,4.0,2024-12-31,18
ATL,22.66,6.86,12.08,352.53,,1087.22,28.4786,18.6538,0.84,1.3,2024-12-31,6
ATLANTA,2476.33,,,,,,322.1683,313.1107,12.29,3.0,2023-09-30,13
ATLANTAA,89.09,13.88,26.08,212.58,,331.38,12.4762,11.502,760.23,1.0,2024-12-31,5
ATLASCYCLE,38.42,0.32,583.5,379.51,,429.27,0.8456,0.3469,-41.96,4.8,2024-12-31,21
ATNINTER,-772.48,,,,,,-0.1151,-0.1157,54.47,2.3,2024-12-31,18
ATUL,14.77,7.85,2113.29,6221.96,,6778.44,188.18,132.96,9.67,4.3,2024-12-31,16
ATULAUTO,8.91,9.36,174.24,483.53,,548.52,17.37,12.84,24.63,4.3,2024-12-31,18
AURIONPRO,22.27,13.4,314.69,1737.54,,1812.15,68.1715,60.7198,33.94,4.3,2024-12-31,20
AUROPHARMA,26.31,6.91,652.39,37890.97,,40463.14,767.41,699.13,5.0,4.3,2024-12-31,18
AURUM,26.79,-1.91,66.4,506.25,,732.39,17.3,-3.49,104.66,3.0,2024-12-31,13
AUSOMENT,443.29,1.97,118.3,161.17,,169.25,0.8817,0.8324,-77.74,4.3,2024-12-31,18
AUTOAXLES,11.96,19.62,727.08,1098.77,,1114.94,63.495,54.679,30.85,4.3,2024-12-31,18
AUTOIND,9.19,11.45,43.44,197.12,,342.25,14.35,9.8,24.49,4.3,2024-12-31,18
AUTOLITIND,-177.31,,,,,,-7.2261,-8.1291,93.11,0.5,2020-12-31,4
AUTORIDFIN,,,,,,,,,,,2020-12-31,2
AVADHSUGAR,6.11,5.84,561.72,1124.46,,1570.42,37.6602,22.9443,-0.12,4.3,2024-12-31,16
AVALON,15.88,19.38,108.1,721.71,,768.48,44.593,37.231,1.88,1.8,2024-12-31,8
AVANTEL,46.07,33.61,12.73,338.23,,351.23,32.5612,29.5085,,,2024-12-31,2
AVANTIFEED,14.61,19.67,241.19,3286.05,,3752.53,199.4743,184.5188,4.52,4.3,2024-12-31,18
AVG,18.55,14.1,174.78,271.17,,406.15,26.4036,14.3192,26.12,1.5,2024-12-31,7
AVL,9.51,17.67,53.31,688.42,,902.11,48.37,39.86,,,2024-12-31,2
AVONMORE,-127.27,-0.22,13.7,386.59,,558.0,-0.28,-0.31,28.26,2.0,2024-12-31,9
AVROIND,12.11,7.72,6.56,87.28,,94.82,2.9153,1.8295,7.14,2.5,2024-12-31,11
AVTNPL,19.71,21.68,36.73,559.33,,566.6,34.0794,30.7037,7.84,4.3,2024-12-31,19
AWFIS,38.37,10.44,77.22,552.45,,1919.82,121.909,50.118,51.56,0.8,2024-12-31,4
AWHCL,24.08,12.35,260.43,738.88,,1307.46,58.4628,40.3833,18.41,4.0,2024-12-31,17
AWL,5.14,24.28,80.73,10440.72,,12330.32,846.8,748.46,4.67,3.0,2024-12-31,14
AXISCADES,15.05,13.18,171.12,727.54,,923.63,41.2559,30.4339,16.51,4.3,2024-12-31,17
AXITA,-0.47,-8.31,1.7,64.91,,66.08,-1.0817,-1.3724,4.42,2.5,2024-12-31,11
AYMSYNTEX,8.03,9.16,100.41,588.55,,656.04,30.34,15.03,14.5,4.3,2024-12-31,18
AZAD,39.75,8.53,236.74,1528.9,,1897.37,47.894,40.456,34.95,1.0,2024-12-31,5
BAFNAPH,9.76,5.35,40.65,96.15,,118.34,3.2388,1.5831,20.16,4.3,2024-12-31,18
BAGFILMS,15.16,5.04,8.25,171.43,,289.7,4.7171,3.6524,12.3,4.3,2024-12-31,18
BAIDFIN,64.42,10.24,15.03,232.79,,530.66,13.7473,13.5786,25.9,2.0,2024-12-31,9
BAJAJ-AUTO,22.76,19.46,1390.47,38831.99,,57884.83,2915.43,2815.76,9.49,4.0,2024-12-31,18
BAJAJCON,14.43,16.2,57.8,754.98,,771.15,33.8198,31.2341,-1.44,4.0,2024-12-31,17
BAJAJELEC,7.77,14.17,138.15,1594.18,,1810.0,100.21,64.13,1.43,4.3,2024-12-31,18
BAJAJFINSV,38.62,,487.42,77914.53,,,12373.18,12084.68,534.82,4.0,2024-12-31,19
BAJAJHCARE,19.55,11.62,158.33,533.0,,590.73,24.0119,17.1614,-9.84,3.0,2024-12-31,12
BAJAJHFL,91.43,7.05,27.04,22522.79,,126424.68,2239.07,2228.94,,,2024-12-31,2
BAJAJHIND,-1.58,-3.78,16.28,3810.72,,8220.21,-23.34,-77.66,-1.46,4.3,2024-12-31,18
BAJAJHLDNG,100.98,,6572.73,73150.58,,,127.57,119.13,5.93,4.0,2024-12-31,19
BAJAJINDEF,24.08,13.64,84.3,269.77,,276.88,10.7722,9.4423,,,2024-12-31,1
BAJEL,3.55,9.72,64.61,747.57,,777.02,22.0895,18.8796,147.32,1.3,2024-12-31,6
BAJFINANCE,68.57,,183.34,113999.02,,,12367.16,12148.03,28.3,4.0,2024-12-31,19
BALAJEE,12.74,17.62,37.34,304.58,,369.04,18.1688,16.2537,-1.19,0.5,2024-12-31,3
BALAJITELE,-10.64,-7.48,51.22,623.94,,625.58,-9.9191,-11.6968,4.21,4.3,2024-12-31,18
BALAMINES,17.13,7.12,610.0,1976.46,,2340.5,53.5666,41.688,2.43,4.3,2024-12-31,18
BALAXI,10.81,10.84,45.12,249.08,,274.87,7.9254,7.4465,2.66,4.0,2024-12-31,18
BALKRISHNA,-27.2,,,,,,-0.1777,-0.1822,-58.72,4.3,2024-12-31,18
BALKRISIND,30.78,19.42,566.7,10955.29,,12677.34,787.98,615.39,12.04,4.3,2024-12-31,18
BALLARPUR,319.05,,,,,,3.2419,0.7736,-75.14,4.8,2024-12-31,12
BALMLAWRIE,14.68,12.06,120.99,2069.03,,2560.26,92.5454,77.2141,13.68,4.3,2024-12-31,17
