symbol,index_names,index_slugs,sector_hints,index_count,dominant_sector_hint,last_updated
NUVAMA,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
NUVOCO,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
NYKAA,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDCAP 50|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midcap_50|nifty_midsmallcap_400,,7,,2026-06-30
OBEROIRLTY,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400|NIFTY REALTY,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400|nifty_realty,REALTY,7,REALTY,2026-06-30
OFSS,NIFTY 200|NIFTY 500|NIFTY IT|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400|NIFTY MNC,nifty_200|nifty_500|nifty_it|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400|nifty_mnc,IT,8,IT,2026-06-30
OIL,NIFTY 200|NIFTY 500|NIFTY COMMODITIES|NIFTY CPSE|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDCAP 50|NIFTY MIDSMALLCAP 400|NIFTY OIL & GAS|NIFTY PSE,nifty_200|nifty_500|nifty_commodities|nifty_cpse|nifty_energy|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midcap_50|nifty_midsmallcap_400|nifty_oil_gas|nifty_pse,ENERGY,12,ENERGY,2026-06-30
OLAELEC,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
OLECTRA,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ONESOURCE,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ONGC,NIFTY 100|NIFTY 200|NIFTY 50|NIFTY 500|NIFTY COMMODITIES|NIFTY CPSE|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY OIL & GAS|NIFTY PSE,nifty_100|nifty_200|nifty_50|nifty_500|nifty_commodities|nifty_cpse|nifty_energy|nifty_largemidcap_250|nifty_oil_gas|nifty_pse,ENERGY,10,ENERGY,2026-06-30
PAGEIND,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400,,6,,2026-06-30
PARADEEP,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
PATANJALI,NIFTY 200|NIFTY 500|NIFTY FMCG|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_fmcg|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400,FMCG,7,FMCG,2026-06-30
PAYTM,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDCAP 50|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midcap_50|nifty_midsmallcap_400,,7,,2026-06-30
PCBL,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
PERSISTENT,NIFTY 200|NIFTY 500|NIFTY IT|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDCAP 50|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_it|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midcap_50|nifty_midsmallcap_400,IT,8,IT,2026-06-30
PETRONET,NIFTY 500|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400|NIFTY OIL & GAS,nifty_500|nifty_energy|nifty_largemidcap_250|nifty_midcap_150|nifty_midsmallcap_400|nifty_oil_gas,ENERGY,6,ENERGY,2026-06-30
PFC,NIFTY 100|NIFTY 200|NIFTY 500|NIFTY FINANCIAL SERVICES 25/50|NIFTY LARGEMIDCAP 250|NIFTY NEXT 50|NIFTY PSE,nifty_100|nifty_200|nifty_500|nifty_financial_services_25_50|nifty_largemidcap_250|nifty_next_50|nifty_pse,FINANCIAL_SERVICES,7,FINANCIAL_SERVICES,2026-06-30
PFIZER,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
PGEL,NIFTY 500|NIFTY CONSUMER DURABLES|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_consumer_durables|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,FMCG,5,FMCG,2026-06-30
PHOENIXLTD,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDCAP 50|NIFTY MIDSMALLCAP 400|NIFTY REALTY,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midcap_50|nifty_midsmallcap_400|nifty_realty,REALTY,8,REALTY,2026-06-30
PIDILITIND,NIFTY 100|NIFTY 200|NIFTY 500|NIFTY COMMODITIES|NIFTY LARGEMIDCAP 250|NIFTY NEXT 50,nifty_100|nifty_200|nifty_500|nifty_commodities|nifty_largemidcap_250|nifty_next_50,,6,,2026-06-30
PIIND,NIFTY 200|NIFTY 500|NIFTY COMMODITIES|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_commodities|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400,,7,,2026-06-30
PINELABS,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
PIRAMALFIN,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
PNB,NIFTY 100|NIFTY 200|NIFTY 500|NIFTY BANK|NIFTY LARGEMIDCAP 250|NIFTY NEXT 50|NIFTY PSU BANK,nifty_100|nifty_200|nifty_500|nifty_bank|nifty_largemidcap_250|nifty_next_50|nifty_psu_bank,BANKING,7,BANKING,2026-06-30
PNBHOUSING,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
POLICYBZR,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDCAP 50|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midcap_50|nifty_midsmallcap_400,,7,,2026-06-30
POLYCAB,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDCAP 50|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midcap_50|nifty_midsmallcap_400,,7,,2026-06-30
POLYMED,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
POONAWALLA,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
POWERGRID,NIFTY 100|NIFTY 200|NIFTY 50|NIFTY 500|NIFTY CPSE|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY PSE,nifty_100|nifty_200|nifty_50|nifty_500|nifty_cpse|nifty_energy|nifty_largemidcap_250|nifty_pse,ENERGY,8,ENERGY,2026-06-30
POWERINDIA,NIFTY 200|NIFTY 500|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400|NIFTY MNC,nifty_200|nifty_500|nifty_energy|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400|nifty_mnc,ENERGY,8,ENERGY,2026-06-30
PPLPHARMA,NIFTY 500|NIFTY HEALTHCARE INDEX|NIFTY MIDSMALLCAP 400|NIFTY PHARMA|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_healthcare_index|nifty_midsmallcap_400|nifty_pharma|nifty_smallcap_100|nifty_smallcap_250,HEALTHCARE|PHARMA,6,HEALTHCARE,2026-06-30
PREMIERENE,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400,,6,,2026-06-30
PRESTIGE,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDCAP 50|NIFTY MIDSMALLCAP 400|NIFTY REALTY,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midcap_50|nifty_midsmallcap_400|nifty_realty,REALTY,8,REALTY,2026-06-30
PSB,NIFTY PSU BANK,nifty_psu_bank,BANKING,1,BANKING,2026-06-30
PTCIL,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
PVRINOX,NIFTY 500|NIFTY MEDIA|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_media|nifty_midsmallcap_400|nifty_smallcap_250,MEDIA,4,MEDIA,2026-06-30
PWL,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
RADICO,NIFTY 200|NIFTY 500|NIFTY FMCG|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_fmcg|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400,FMCG,7,FMCG,2026-06-30
RAILTEL,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
