"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 29-May-2026","1W AGO 
 22-May-2026","1M AGO 
 29-Apr-2026","1Y AGO 
 29-May-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY50 TR 2X LEVERAGE","17,114.55","-0.35","17,279.15","17,330.05","16,991.45","-","17,174.75","17,114.55","17,383.65","18,136.85","19,939.60","31,895.45","1,056.45",-5.64,-15.06
"NIFTY50 PR 2X LEVERAGE","11,359.50","-0.44","11,468.85","11,502.70","11,277.75","-","11,409.65","11,359.50","11,548.35","12,086.65","13,511.75","31,895.45","1,056.45",-6.02,-16.8
"NIFTY50 TR 1X INVERSE","184.10","0.16","183.25","184.80","182.95","-","183.80","184.10","182.60","178.80","170.30","31,895.45","161.80",2.96,8.68
"NIFTY50 PR 1X INVERSE","225.60","0.22","224.55","226.40","224.20","-","225.10","225.60","223.75","218.80","206.65","31,895.45","197.80",3.11,9.73
"NIFTY50 DIVIDEND POINTS","53.34","24.33","53.34","53.34","53.34","-","42.90","53.34","42.90","5.53","74.18","-","-",864.56,-28.09
"NIFTY ALPHA 50","52,203.05","-0.18","52,467.55","52,634.75","51,919.60","-","52,299.55","52,203.05","52,795.35","51,550.90","52,111.95","-","-",1.27,-1.25
"NIFTY50 EQUAL WEIGHT","32,123.90","-0.16","32,230.35","32,293.45","31,976.30","-","32,174.00","32,123.90","32,390.95","32,396.65","30,727.70","-","-",-0.84,4.1
"NIFTY100 EQUAL WEIGHT","33,711.20","0.09","33,787.50","33,884.85","33,542.95","-","33,682.50","33,711.20","34,058.05","33,849.55","32,096.60","-","-",-0.41,4.62
"NIFTY100 LOW VOLATILITY 30","19,304.30","-0.03","19,347.30","19,367.40","19,234.45","-","19,309.15","19,304.30","19,513.45","19,707.70","19,530.65","-","-",-2.05,-1.53
"NIFTY200 QUALITY 30","19,862.75","-0.45","20,055.90","20,070.30","19,807.50","-","19,952.40","19,862.75","20,112.00","20,369.70","20,490.15","-","-",-2.49,-3.36
