symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
INDUSTOWER,Indus Towers Ltd.,Telecommunication,NIFTY 200,nifty_200,,2026-06-30
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
NAUKRI,Info Edge (India) Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
INFY,Infosys Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
INDIGO,InterGlobe Aviation Ltd.,Services,NIFTY 200,nifty_200,,2026-06-30
JSWENERGY,JSW Energy Ltd.,Power,NIFTY 200,nifty_200,,2026-06-30
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
JIOFIN,Jio Financial Services Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
KEI,KEI Industries Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
KPITTECH,KPIT Technologies Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,NIFTY 200,nifty_200,,2026-06-30
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
LTF,L&T Finance Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,NIFTY 200,nifty_200,,2026-06-30
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
LTM,LTM Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
LT,Larsen & Toubro Ltd.,Construction,NIFTY 200,nifty_200,,2026-06-30
LAURUSLABS,Laurus Labs Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
LENSKART,Lenskart Solutions Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
LODHA,Lodha Developers Ltd.,Realty,NIFTY 200,nifty_200,,2026-06-30
LUPIN,Lupin Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
MRF,MRF Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
MANKIND,Mankind Pharma Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
