TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-05,2026-06-05,CM,BSE,STK,544759,INE1CLW01015,GLPL,M,,,,,GOLDLINE PHARMACEUTICAL LIMITE,42.01,46.89,42.01,45.25,45.25,42.96,,45.25,,,171000,7712880.00,54,F1,3000,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544760,INF740KA1ZA4,FMCGADD,B,,,,,DSP Mutual Fund,48.50,48.50,47.91,47.95,47.95,48.24,,48.26,,,402,19264.00,4,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544761,INF754K01XF3,ENEXT50,B,,,,,Edelweiss Mutual Fund,70.25,70.25,70.25,70.25,70.25,70.44,,70.50,,,12,843.00,1,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544762,INF200KB1AX1,SBIVALETF,B,,,,,SBI Mutual Fund,15.73,15.73,15.36,15.36,15.36,15.41,,15.37,,,1298,20096.00,16,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544763,INF200KB1AY9,SBISMLETF,B,,,,,SBI Mutual Fund,17.11,17.53,16.83,16.97,17.13,17.11,,17.00,,,10299,177232.00,23,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544764,INE0JYY01011,MWL,B,,,,,Mangalam Worldwide Limited,373.90,381.00,373.90,377.30,375.85,380.35,,378.75,,,1693,639484.00,62,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544765,INE1L3801017,VPAL,MT,,,,,Vegorama Punjabi Angithi Limit,132.00,142.65,130.10,142.65,142.65,135.90,,142.65,,,195200,27432720.00,78,F1,1600,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544766,INF579M01BP5,MSCI360,B,,,,,360 ONE Mutual Fund,9.85,9.85,9.58,9.68,9.58,9.82,,9.73,,,285,2784.00,10,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544767,INE18HI01019,AFLTD,MT,,,,,Autofurnish Limited,45.40,45.50,42.60,45.40,45.40,44.80,,45.40,,,18000,801000.00,6,F1,3000,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544768,INE0YD301010,MANIVENI,MT,,,,,M.R.MANIVENI FOODS LIMITED,38.27,40.19,38.27,39.33,40.00,40.24,,39.33,,,118000,4687440.00,26,F1,2000,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544769,INE1UYW01010,HARIKANTA,MT,,,,,HARIKANTA OVERSEAS LIMITED,79.35,79.35,79.35,79.35,79.35,75.58,,79.35,,,9600,761760.00,7,F1,1200,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544770,INE1T6L01010,YAASHVI,MT,,,,,YAASHVI JEWELLERS LIMITED,86.85,86.85,81.70,83.03,83.00,85.57,,83.03,,,329600,27938496.00,110,F1,1600,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544771,INE1GM501015,RFIL,MT,,,,,Rajnandini Fashion India Limit,55.10,56.85,54.68,54.68,54.68,57.55,,54.68,,,58000,3194760.00,27,F1,2000,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544772,INE1KVL01010,AUREATE,MT,,,,,AUREATE TRADDE LIMITED,70.00,70.00,66.50,66.50,66.50,0.00,,66.50,,,340000,23772000.00,68,F1,2000,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,555555,INF346A01034,SENSEXIETF,A,,,,,ICICI Prudential BSE Sensex ET,861.94,861.94,848.22,850.59,849.56,851.26,,850.52,,,1145,975223.00,433,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,570002,IN9623B01058,FELDVR,Z,,,,,Future Enterprises Limited,2.60,2.60,2.47,2.47,2.47,2.60,,2.60,,,222,574.00,5,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,570004,IN9175A01010,JISLDVREQS,B,,,,,JAIN IRRIGATION SYSTEMS LTD.,23.02,23.63,22.17,23.28,23.28,23.02,,23.18,,,1994,45167.00,45,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,570005,INE224E01036,GATECHDVR,B,,,,,GACM Technologies Limited - DV,0.49,0.51,0.47,0.48,0.48,0.49,,0.48,,,274954,132548.00,51,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590003,INE036D01028,KARURVYSYA,B,,,,,KARUR VYSYA BANK LTD.,283.50,286.25,278.50,279.45,279.45,284.00,,279.35,,,123531,34787743.00,4417,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590005,INE484C01030,VEEDOL,B,,,,,VEEDOL CORPORATION LIMITED,1489.50,1515.00,1467.50,1475.00,1481.95,1456.55,,1475.80,,,1802,2675469.00,374,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590006,INE098F01031,AMRUTANJAN,B,,,,,AMRUTANJAN HEALTH CARE LTD.,547.45,555.00,543.70,551.70,551.20,545.45,,552.05,,,390,213972.00,61,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590013,INE445C01015,XPROINDIA,B,,,,,XPRO INDIA LTD.,1192.00,1217.65,1158.50,1171.35,1160.35,1186.60,,1170.70,,,1317,1558767.00,228,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590021,INE838B01021,BHARATRAS,B,,,,,BHARAT RASAYAN LTD.,1438.80,1443.75,1420.00,1421.35,1420.50,1429.95,,1422.70,,,1230,1757717.00,172,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590022,INE962C01035,EASTSILK,T,,,,,EASTERN SILK INDUSTRIES LTD.,54.36,54.36,54.36,54.36,54.36,57.22,,52.11,,,151,8208.00,4,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590024,INE188A01015,FACT,B,,,,,FERTILIZERS & CHEMICALS TRAVAN,867.90,885.10,864.40,865.85,865.85,865.60,,866.80,,,9057,7917314.00,459,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590025,INE424C01010,GINNIFILA,B,,,,,GINNI FILAMENTS LTD.,41.00,42.92,41.00,41.23,41.00,42.27,,41.39,,,10578,442643.00,168,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590030,INE147A01011,SPIC,B,,,,,SOUTHERN PETROCHEMICALS LTD.,69.73,71.00,69.46,69.62,69.95,69.19,,69.64,,,32391,2267724.00,294,F1,1,,,,,
