symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TATASTLBSL,EQ,-,2,Agm/Div-Rs.2.50 Per Share,17-Sep-2009,-,21-Sep-2009,26-Sep-2009,-,Tata Steel Bsl Limited,INE824B01021,-,
KAMDHENU,EQ,-,1,Annual General Meeting,17-Sep-2009,-,19-Sep-2009,29-Sep-2009,-,Kamdhenu Limited,INE390H01012,-,
KRBL,EQ,-,1,Agm/Div-Rs.2/- Per Share,17-Sep-2009,-,22-Sep-2009,29-Sep-2009,-,KRBL Limited,INE001B01026,-,
LEEL,EQ,-,10,Annual General Meeting,17-Sep-2009,-,21-Sep-2009,25-Sep-2009,-,LEEL Electricals Limited,INE245C01019,-,
MUKTAARTS,EQ,-,5,Annual General Meeting,17-Sep-2009,-,19-Sep-2009,26-Sep-2009,-,Mukta Arts Limited,INE374B01019,-,
NATCOPHARM,EQ,-,2,Annual General Meeting,17-Sep-2009,-,22-Sep-2009,29-Sep-2009,-,Natco Pharma Limited,INE987B01018,-,
BHARATRAS,EQ,-,5,Agm/Div-Re.1/- Per Share,17-Sep-2009,-,20-Sep-2009,25-Sep-2009,-,Bharat Rasayan Limited,INE838B01013,-,
BPL,EQ,-,10,Annual General Meeting,17-Sep-2009,-,21-Sep-2009,30-Sep-2009,-,BPL Limited,INE110A01019,-,
COMPUTECH,EQ,-,5,Annual General Meeting,17-Sep-2009,-,19-Sep-2009,24-Sep-2009,-,Computech International Limited,INE751A01028,-,
UNIVAFOODS,EQ,-,10,Annual General Meeting,17-Sep-2009,-,22-Sep-2009,24-Sep-2009,-,Univa Foods Limited,INE275F01019,-,
GUFICBIO,EQ,-,1,Agm/Div-Re.0.05 Per Share,17-Sep-2009,-,19-Sep-2009,30-Sep-2009,-,Gufic Biosciences Limited,INE742B01025,-,
ITI,EQ,-,10,Annual General Meeting,17-Sep-2009,-,22-Sep-2009,30-Sep-2009,-,ITI Limited,INE248A01017,-,
AUTOIND,EQ,-,10,Agm/Div-Re.1/- Per Share,17-Sep-2009,-,19-Sep-2009,25-Sep-2009,-,Autoline Industries Limited,INE718H01014,-,
ABHISHEK,EQ,-,10,Annual General Meeting,17-Sep-2009,-,22-Sep-2009,29-Sep-2009,-,Abhishek Corporation Limited,INE004I01017,-,
BSELINFRA,EQ,-,10,Annual General Meeting,17-Sep-2009,-,19-Sep-2009,23-Sep-2009,-,BSEL Infrastructure Realty Limited,INE395A01016,-,
SUPREMEINF,EQ,-,10,Dividend-Rs.1.25 Pr Share,17-Sep-2009,-,22-Sep-2009,26-Sep-2009,-,Supreme Infrastructure India Limited,INE550H01011,-,
TECILCHEM,EQ,-,10,Annual General Meeting,17-Sep-2009,-,22-Sep-2009,29-Sep-2009,-,TECIL Chemicals and Hydro Power Limited,INE346301018,-,
MADHAV,EQ,-,10,Agm/Div-Rs.1/- Per Share,17-Sep-2009,-,21-Sep-2009,26-Sep-2009,-,Madhav Marbles and Granites Limited,INE925C01016,-,
MANGALAM,EQ,-,10,Annual General Meeting,17-Sep-2009,-,22-Sep-2009,30-Sep-2009,-,Mangalam Drugs And Organics Limited,INE584F01014,-,
VARDMNPOLY,EQ,-,1,Annual General Meeting,17-Sep-2009,-,19-Sep-2009,22-Sep-2009,-,Vardhman Polytex Limited,INE835A01011,-,
DIGISPICE,EQ,-,3,Agm/Div-Re.0.27 Per Share,17-Sep-2009,-,19-Sep-2009,25-Sep-2009,-,DiGiSPICE Technologies Limited,INE927C01020,-,
DSKULKARNI,EQ,-,10,Agm/Div-Re.1/- Per Share,17-Sep-2009,-,22-Sep-2009,29-Sep-2009,-,DS Kulkarni Developers Limited,INE891A01014,-,
SHIRPUR-G,EQ,-,10,Annual General Meeting,17-Sep-2009,-,21-Sep-2009,30-Sep-2009,-,Shirpur Gold Refinery Limited,INE196B01016,-,
