Date,Institutional_Score,Trend_Daily,Trend_Weekly,Trend_BiWeekly,Trend_Monthly,Trend_Quarterly,Trend_HalfYearly,Trend_Yearly,Trend_State,Trend_Strength,Trend_Acceleration
2021-03-09,-108111.0,-3335.949999999997,-4309.310000000012,-5311.169999999998,-12558.904761904763,-29719.056349206367,-40022.56428571428,-79727.25297619047,STRONG_DISTRIBUTION,-21349.233369047623,-1920.1565873015861
2021-03-10,-110235.25,-2124.25,-3085.970000000001,-5972.630000000005,-13309.978571428568,-30927.09603174604,-41754.04404761904,-81818.79007936508,STRONG_DISTRIBUTION,-21895.05746031746,-545.8240912698384
2021-03-12,-116677.15,-6441.899999999994,-8794.420000000013,-10685.710000000006,-18243.54523809525,-36339.289682539675,-47735.79801587299,-88171.5734126984,STRONG_DISTRIBUTION,-27168.726404761903,-5273.668944444442
2021-03-15,-123359.45,-6682.300000000003,-10727.869999999995,-16576.130000000005,-23027.36666666667,-42110.11904761904,-53986.323015873015,-94776.10238095238,STRONG_DISTRIBUTION,-31713.432063492066,-4544.705658730163
2021-03-16,-117017.05,6342.399999999994,-1937.0700000000215,-8275.574999999997,-15215.876190476192,-34930.288888888885,-47202.892857142855,-88324.40138888889,EARLY_ACCUMULATION,-23493.898555555563,8219.533507936503
2021-03-17,-119946.65,-2929.5999999999913,-2499.540000000008,-9322.25,-16438.78571428571,-36986.100000000006,-49723.02738095238,-91074.78769841269,STRONG_DISTRIBUTION,-25803.621436507936,-2309.722880952373
2021-03-18,-113490.95,6455.699999999997,4607.300000000003,-867.1850000000122,-8909.990476190476,-29746.53412698413,-42913.347222222204,-84375.81468253968,NEUTRAL,-18211.806678571433,7591.814757936503
2021-03-19,-100311.05,13179.899999999994,14513.979999999996,11042.830000000002,4676.035714285696,-16021.320634920645,-29506.48214285716,-70855.78353174604,STRONG_ACCUMULATION,-6118.904234126995,12092.902444444437
2021-03-22,-107534.2,-7223.149999999994,4125.780000000013,4611.580000000002,-2020.6285714285623,-22596.857142857145,-36504.51666666666,-77742.95238095238,NEUTRAL,-14731.143619047612,-8612.239384920616
2021-03-23,-107640.65,-106.44999999999709,2144.050000000003,4791.690000000002,-1433.895238095225,-21851.03015873015,-36425.71785714284,-77426.16825396825,NEUTRAL,-13991.600944444439,739.5426746031735
2021-03-24,-114820.75,-7180.100000000006,-6061.2300000000105,-1717.4350000000122,-7513.504761904769,-28031.830158730154,-43321.74126984125,-84121.69603174603,STRONG_DISTRIBUTION,-20712.30419444445,-6720.70325000001
2021-03-25,-98742.6,16078.149999999994,7067.25,13211.449999999997,8770.449999999983,-11415.083333333343,-27061.48650793651,-67597.2876984127,STRONG_ACCUMULATION,-4335.90742063493,16376.39677380952
2021-03-26,-95181.3,3561.300000000003,9602.599999999991,14623.164999999994,12311.461904761905,-7234.837301587308,-23363.959920634923,-63602.53432539683,STRONG_ACCUMULATION,-2714.0147936507983,1621.8926269841313
2021-03-30,-82250.3,12931.0,17476.820000000007,23443.25,24426.335714285713,5959.305555555562,-10386.433730158737,-50259.47420634921,STRONG_ACCUMULATION,8366.99946825397,11081.014261904767
2021-03-31,-112468.6,-30218.300000000003,-11775.890000000014,-7229.895000000004,-5933.490476190462,-23593.14920634922,-40363.13095238096,-79888.8015873016,STRONG_DISTRIBUTION,-22920.236003968257,-31287.235472222226
2021-04-01,-112780.2,-311.59999999999127,-12495.599999999991,-8258.139999999985,-5514.3904761904705,-23250.942857142858,-40294.27222222222,-79590.7849206349,STRONG_DISTRIBUTION,-19998.965761904758,2921.2702420634996
2021-04-05,-126187.5,-13407.300000000003,-20413.92,-20395.785000000003,-17727.876190476192,-35741.365079365074,-53198.79285714285,-92390.83710317459,STRONG_DISTRIBUTION,-31814.32255555555,-11815.356793650793
2021-04-06,-121601.15,4586.350000000006,-10543.599999999991,-13680.424999999988,-11803.24761904763,-30317.284920634935,-48191.77738095238,-87202.52182539682,EARLY_ACCUMULATION,-24212.803313492062,7601.5192420634885
2021-04-07,-116715.8,4885.349999999991,1234.8499999999913,-7876.914999999994,-6741.426190476195,-24522.740476190476,-42863.5865079365,-81715.97222222222,NEUTRAL,-18329.498242063495,5883.305071428567
2021-04-08,-118524.8,-1809.0,637.089999999982,-8597.5,-7649.969047619059,-25432.085714285713,-44136.64047619047,-82866.77420634922,NEUTRAL,-19802.608087301593,-1473.1098452380975
2021-04-09,-123608.65,-5083.849999999991,-2281.0699999999924,-12802.559999999998,-11836.980952380953,-29502.969841269834,-48706.88888888889,-87335.26686507935,STRONG_DISTRIBUTION,-23759.835789682536,-3957.227702380944
2021-04-12,-125901.7,-2293.050000000003,-4631.279999999999,-12379.699999999997,-13282.85476190476,-30773.105555555565,-50467.65277777777,-89005.42222222222,STRONG_DISTRIBUTION,-24664.939023809522,-905.1032341269856
2021-04-13,-113182.25,12719.449999999997,6404.389999999985,2139.845000000001,-423.0714285714348,-17023.001587301595,-37288.61825396826,-75604.63273809524,ACCUMULATION,-11394.96294444445,13269.976079365071
2021-04-15,-116572.9,-3390.649999999994,2985.159999999989,2181.454999999987,-3818.6857142857043,-19411.428571428565,-40138.901587301574,-78367.06865079365,NEUTRAL,-15281.055488095237,-3886.092543650786
2021-04-16,-114640.5,1932.3999999999942,4140.699999999997,4331.044999999998,-2301.4738095238135,-16659.596825396817,-37714.79404761904,-75725.53253968254,ACCUMULATION,-12954.338884920635,2326.716603174602
2021-04-19,-113952.0,688.5,2897.8699999999953,5136.725000000006,-1758.9285714285652,-15318.047619047618,-36597.43174603174,-74365.29722222223,ACCUMULATION,-12559.672932539681,394.66595238095397
2021-04-20,-114813.3,-861.3000000000029,-181.11000000001513,3138.0050000000047,-2864.673809523796,-15512.876984126997,-37051.96547619048,-74504.23492063493,NEUTRAL,-13841.315789682543,-1281.6428571428623
2021-04-22,-110559.4,4253.900000000009,3548.220000000001,6287.729999999981,1249.6285714285768,-10801.086507936503,-32456.489682539686,-69537.69285714286,STRONG_ACCUMULATION,-9606.391587301587,4234.924202380957
2021-04-23,-105304.55,5254.849999999991,6549.399999999994,10401.454999999973,6742.264285714293,-4984.921428571441,-26858.518253968257,-63631.62718253968,STRONG_ACCUMULATION,-5043.073436507943,4563.318150793643
2021-04-26,-102034.35,3270.199999999997,7298.369999999995,12022.609999999986,9750.566666666666,-1238.253968253979,-23316.003571428577,-59714.908928571436,STRONG_ACCUMULATION,-2826.020678571436,2217.0527579365075
2021-04-27,-100026.7,2007.6500000000087,6520.960000000006,11672.065000000017,11395.647619047639,1081.229365079358,-21066.38849206349,-57119.23888888889,STRONG_ACCUMULATION,-1877.7476785714207,948.2730000000151
2021-04-28,-87131.1,12895.599999999991,13880.119999999995,20690.604999999996,22972.692857142843,14208.938888888864,-8060.473412698426,-43648.60853174604,STRONG_ACCUMULATION,9178.774603174592,11056.522281746013
2021-04-29,-81703.95,5427.150000000009,13536.179999999993,22969.925000000003,27588.478571428568,19585.5,-2529.666666666657,-37681.50277777778,STRONG_ACCUMULATION,11832.458448412699,2653.683845238107
2021-04-30,-111751.0,-30047.050000000003,-15221.580000000002,-7559.315000000002,-1669.5380952380801,-9862.397619047624,-32260.574206349207,-67086.67996031746,STRONG_DISTRIBUTION,-18253.308833333333,-30085.767281746033
2021-05-03,-123034.6,-11283.600000000006,-22305.130000000005,-18003.505000000005,-11011.028571428571,-20582.45634920636,-43142.85674603174,-77671.84742063493,STRONG_DISTRIBUTION,-25096.251261904767,-6842.942428571434
