symbol,forward_return_prob,forward_return_score
NIFTY50ADD,0.3846,38.5
NIFTYADD,0.6668,66.7
NIFTYBEES,0.4478,44.8
NIFTYBETA,0.6454,64.5
NIFTYBETF,0.267,26.7
NIFTYCASE,0.505,50.5
NIFTYETF,0.3988,39.9
NIFTYIETF,0.4554,45.5
NIFTYQLITY,0.3044,30.4
NIITLTD,0.4902,49.0
NIITMTS,0.7067,70.7
NILAINFRA,0.5159,51.6
NILASPACES,0.5133,51.3
NILE,0.634,63.4
NILKAMAL,0.4326,43.3
NIMBSPROJ,0.2089,20.9
NINSYS,0.4553,45.5
NIPPOBATRY,0.456,45.6
NIRAJ,0.1763,17.6
NIRAJISPAT,0.4261,42.6
NIRLON,0.561,56.1
NITCO,0.4843,48.4
NITINSPIN,0.5429,54.3
NITIRAJ,0.1457,14.6
NITTAGELA,0.3833,38.3
NIVABUPA,0.3131,31.3
NKIND,0.1988,19.9
NLCINDIA,0.472,47.2
NMDC,0.4398,44.0
NOCIL,0.4283,42.8
NOIDATOLL,0.44,44.0
NORBTEAEXP,0.603,60.3
NORTHARC,0.5054,50.5
NOVAAGRI,0.4814,48.1
NOVARTIND,0.4218,42.2
NPBET,0.3881,38.8
NPST,0.5339,53.4
NRAIL,0.4572,45.7
NRBBEARING,0.5623,56.2
NRL,0.3665,36.7
NSIL,0.5312,53.1
NSLNISP,0.2701,27.0
NTPC,0.3993,39.9
NTPCGREEN,0.3115,31.1
NUCLEUS,0.3113,31.1
NURECA,0.4042,40.4
NUVAMA,0.606,60.6
NUVOCO,0.444,44.4
NV20,0.7263,72.6
NV20BEES,0.3092,30.9
NV20IETF,0.308,30.8
NYKAA,0.5587,55.9
OAL,0.2392,23.9
OBCL,0.2682,26.8
OBEROIRLTY,0.5398,54.0
OCCLLTD,0.3316,33.2
ODIGMA,0.3591,35.9
OFSS,0.5434,54.3
OIL,0.3107,31.1
OILCOUNTUB,0.1487,14.9
OILIETF,0.302,30.2
OLAELEC,0.5987,59.9
OLECTRA,0.5148,51.5
OMAXAUTO,0.4749,47.5
OMAXE,0.1814,18.1
OMFREIGHT,0.3564,35.6
OMINFRAL,0.3825,38.2
OMNI,0.394,39.4
OMPOWER,0.1204,12.0
ONELIFECAP,0.4052,40.5
ONEPOINT,0.2995,30.0
ONESOURCE,0.472,47.2
ONGC,0.2317,23.2
ONMOBILE,0.4528,45.3
ONWARDTEC,0.4642,46.4
OPTIEMUS,0.4199,42.0
ORBTEXP,0.3618,36.2
ORCHASP,0.3636,36.4
ORCHPHARMA,0.4531,45.3
ORICONENT,0.427,42.7
ORIENTALTL,0.4694,46.9
ORIENTBELL,0.4167,41.7
ORIENTCEM,0.515,51.5
ORIENTCER,0.2648,26.5
ORIENTELEC,0.3991,39.9
ORIENTHOT,0.4158,41.6
ORIENTLTD,0.3347,33.5
ORIENTPPR,0.5037,50.4
ORIENTTECH,0.5159,51.6
ORISSAMINE,0.5257,52.6
ORKLAINDIA,0.6569,65.7
ORTINGLOBE,0.3147,31.5
OSIAHYPER,0.3807,38.1
OSWALAGRO,0.4805,48.1
OSWALGREEN,0.3531,35.3
OSWALPUMPS,0.4555,45.5
OSWALSEEDS,0.577,57.7
PACEDIGITK,0.6084,60.8
PAGEIND,0.4997,50.0
PAISALO,0.5949,59.5
PAKKA,0.5637,56.4
PALASHSECU,0.4417,44.2
PALREDTEC,0.3327,33.3
PANACEABIO,0.5588,55.9
PANACHE,0.5434,54.3
PANAMAPET,0.4697,47.0
PANSARI,0.3192,31.9
PAR,0.4623,46.2
PARACABLES,0.5601,56.0
PARADEEP,0.4012,40.1
PARAGMILK,0.4059,40.6
PARAS,0.481,48.1
PARASPETRO,0.4921,49.2
PARKHOSPS,0.554,55.4
PARKHOTELS,0.4035,40.4
PARSVNATH,0.3486,34.9
PASHUPATI,0.3719,37.2
PASUPTAC,0.3473,34.7
PATANJALI,0.39,39.0
PATELENG,0.5017,50.2
PATELRMART,0.4073,40.7
PATINTLOG,0.1637,16.4
PAUSHAKLTD,0.636,63.6
PAVNAIND,0.4279,42.8
PAYTM,0.5008,50.1
PCBL,0.4511,45.1
PCJEWELLER,0.4313,43.1
PDMJEPAPER,0.345,34.5
PDSL,0.4365,43.6
PEARLPOLY,0.2347,23.5
PEL,0.581,58.1
PENIND,0.4494,44.9
PENINLAND,0.61,61.0
PERSISTENT,0.5304,53.0
PETRONET,0.3299,33.0
PFC,0.4394,43.9
PFIZER,0.3819,38.2
PFOCUS,0.3759,37.6
PFS,0.2387,23.9
PGEL,0.4318,43.2
PGHH,0.7205,72.1
PGHL,0.1245,12.5
PGIL,0.4639,46.4
PHARMABEES,0.2799,28.0
PHOENIXLTD,0.5004,50.0
PICCADIL,0.3755,37.5
PIDILITIND,0.3956,39.6
PIGL,0.5298,53.0
PIIND,0.5191,51.9
PILANIINVS,0.4086,40.9
PILITA,0.4155,41.5
PINELABS,0.5398,54.0
PIONEEREMB,0.4249,42.5
PIONRINV,0.3068,30.7
PIRAMALFIN,0.5337,53.4
PITTIENG,0.5123,51.2
PIXTRANS,0.5466,54.7
PKTEA,0.5338,53.4
PLASTIBLEN,0.4616,46.2
PLATIND,0.3895,38.9
PLAZACABLE,0.4947,49.5
PML,0.5124,51.2
PNB,0.3536,35.4
PNBGILTS,0.4894,48.9
PNBHOUSING,0.5481,54.8
PNC,0.3173,31.7
PNCINFRA,0.4385,43.9
PNGJL,0.4728,47.3
PNGSREVA,0.4192,41.9
POCL,0.5429,54.3
PODDARMENT,0.3347,33.5
POKARNA,0.5648,56.5
POLICYBZR,0.4386,43.9
POLYCAB,0.4868,48.7
POLYMED,0.4644,46.4
POLYPLEX,0.5342,53.4
PONNIERODE,0.2684,26.8
POONAWALLA,0.3936,39.4
POWERGRID,0.4234,42.3
POWERICA,0.5507,55.1
POWERINDIA,0.6497,65.0
POWERMECH,0.5203,52.0
PPAP,0.4292,42.9
PPL,0.5442,54.4
PPLPHARMA,0.3762,37.6
PRABHA,0.3398,34.0
PRADPME,0.5541,55.4
PRAENG,0.5243,52.4
PRAJIND,0.4178,41.8
PRAKASH,0.415,41.5
PRAKASHSTL,0.3644,36.4
PRAVEG,0.6326,63.3
PRAXIS,0.3176,31.8
PRECAM,0.3858,38.6
PRECOT,0.5857,58.6
PRECWIRE,0.6929,69.3
PREMCO,0.624,62.4
PREMEXPLN,0.6226,62.3
PREMIERENE,0.5786,57.9
PREMIERPOL,0.2694,26.9
PRESTIGE,0.4533,45.3
PRICOLLTD,0.2917,29.2
PRIMESECU,0.3533,35.3
PRIMO,0.171,17.1
PRINCEPIPE,0.2017,20.2
PRITI,0.5381,53.8
PRITIKAUTO,0.439,43.9
PRIVISCL,0.5424,54.2
PROSTARM,0.2627,26.3
PROTEAN,0.4904,49.0
PROZONER,0.3137,31.4
PRSMJOHNSN,0.1992,19.9
PRUDENT,0.5977,59.8
PRUDMOULI,0.4517,45.2
PSB,0.3171,31.7
PSPPROJECT,0.485,48.5
PSUBANK,0.1422,14.2
PSUBANKADD,0.2444,24.4
PSUBNKBEES,0.3492,34.9
PSUBNKIETF,0.3236,32.4
PTC,0.4032,40.3
PTCIL,0.3997,40.0
PTL,0.3511,35.1
PUNJABCHEM,0.4408,44.1
PURVA,0.3285,32.8
PVP,0.5756,57.6
PVRINOX,0.3989,39.9
PVSL,0.4309,43.1
PVTBANIETF,0.1431,14.3
PVTBANKADD,0.3496,35.0
PVTBKGROWW,0.154,15.4
PWL,0.5212,52.1
PYRAMID,0.3009,30.1
QGOLDHALF,0.3521,35.2
QMSMEDI,0.1449,14.5
QNIFTY,0.7586,75.9
QPOWER,0.4054,40.5
QUADFUTURE,0.5295,53.0
QUAL30IETF,0.2286,22.9
QUALITY30,0.3042,30.4
QUESS,0.5316,53.2
QUICKHEAL,0.4233,42.3
QUINT,0.3129,31.3
RACE,0.3739,37.4
RACLGEAR,0.604,60.4
RADAAN,0.3233,32.3
RADHIKAJWE,0.509,50.9
RADIANTCMS,0.4112,41.1
RADICO,0.5398,54.0
RADIOCITY,0.3007,30.1
RAILTEL,0.4367,43.7
RAIN,0.5695,57.0
RAINBOW,0.4985,49.8
RAJESHEXPO,0.342,34.2
RAJMET,0.3374,33.7
RAJOOENG,0.5824,58.2
RAJPALAYAM,0.5187,51.9
RAJRATAN,0.4719,47.2
RAJSREESUG,0.3309,33.1
RAJTV,0.1557,15.6
RALLIS,0.338,33.8
RAMANEWS,0.3415,34.1
RAMAPHO,0.5676,56.8
RAMASTEEL,0.4901,49.0
RAMCOCEM,0.4868,48.7
RAMCOIND,0.3523,35.2
RAMCOSYS,0.4413,44.1
RAMKY,0.4538,45.4
RAMRAT,0.5884,58.8
RANASUG,0.2888,28.9
RANEHOLDIN,0.5505,55.0
RATEGAIN,0.5352,53.5
RATNAMANI,0.455,45.5
RATNAVEER,0.5497,55.0
RAYMOND,0.5089,50.9
RAYMONDLSL,0.3324,33.2
RAYMONDREL,0.4798,48.0
RBA,0.5535,55.4
RBLBANK,0.5756,57.6
RBZJEWEL,0.2272,22.7
RCF,0.2892,28.9
RECLTD,0.4628,46.3
REDINGTON,0.3947,39.5
REDTAPE,0.2088,20.9
REFEX,0.5252,52.5
REGAAL,0.3878,38.8
REGENCERAM,0.2011,20.1
RELAXO,0.3262,32.6
RELCHEMQ,0.1426,14.3
RELIABLE,0.3765,37.6
RELIANCE,0.4225,42.2
RELIGARE,0.4011,40.1
RELTD,0.4509,45.1
REMSONSIND,0.5429,54.3
RENUKA,0.2873,28.7
REPCOHOME,0.4451,44.5
REPL,0.5469,54.7
REPRO,0.4099,41.0
RESPONIND,0.341,34.1
RETAIL,0.3895,38.9
RGL,0.3181,31.8
RHETAN,0.5403,54.0
RHFL,0.2089,20.9
RHIM,0.2509,25.1
RHL,0.2774,27.7
RICOAUTO,0.5529,55.3
RIIL,0.3124,31.2
RISHABH,0.3661,36.6
RITCO,0.2804,28.0
RITES,0.3228,32.3
RKDL,0.4137,41.4
RKEC,0.7467,74.7
RKFORGE,0.4072,40.7
RKSWAMY,0.265,26.5
RMC,0.1589,15.9
RMDRIP,0.4115,41.1
RML,0.5436,54.4
RNBDENIMS,0.4449,44.5
ROHLTD,0.4357,43.6
ROLEXRINGS,0.531,53.1
ROLLT,0.2593,25.9
ROML,0.6223,62.2
ROSSARI,0.3846,38.5
ROSSELLIND,0.4072,40.7
ROSSTECH,0.5959,59.6
ROTO,0.3571,35.7
ROUTE,0.4936,49.4
RPEL,0.5511,55.1
RPGLIFE,0.4169,41.7
RPOWER,0.6916,69.2
RPPINFRA,0.6081,60.8
RPPL,0.4667,46.7
RPSGVENT,0.4429,44.3
RPTECH,0.4718,47.2
RRIL,0.5093,50.9
RRKABEL,0.5392,53.9
RSDFIN,0.1227,12.3
RSL,0.4766,47.7
RSSOFTWARE,0.2577,25.8
RSWM,0.3489,34.9
RSYSTEMS,0.6565,65.6
RTNINDIA,0.4714,47.1
RTNPOWER,0.2768,27.7
RUBFILA,0.3766,37.7
RUBICON,0.2105,21.0
RUBYMILLS,0.355,35.5
RUCHINFRA,0.3387,33.9
RUCHIRA,0.3876,38.8
RUDRA,0.3121,31.2
RUPA,0.3927,39.3
RUSHIL,0.4095,40.9
RUSTOMJEE,0.3566,35.7
RVHL,0.5906,59.1
RVNL,0.525,52.5
RVTH,0.3836,38.4
S&SPOWER,0.5707,57.1
SAATVIKGL,0.5943,59.4
SABTNL,0.4829,48.3
SADBHAV,0.4569,45.7
SADBHIN,0.3071,30.7
SADHNANIQ,0.3198,32.0
SAFARI,0.5481,54.8
SAGARDEEP,0.1676,16.8
SAGCEM,0.463,46.3
SAGILITY,0.4402,44.0
SAHLIBHFI,0.4991,49.9
SAHYADRI,0.479,47.9
SAIL,0.5219,52.2
SAILIFE,0.537,53.7
SAIPARENT,0.3117,31.2
SAKAR,0.51,51.0
SAKHTISUG,0.3329,33.3
SAKSOFT,0.6025,60.3
SAKUMA,0.2479,24.8
SALASAR,0.2912,29.1
SALONA,0.203,20.3
SALSTEEL,0.3252,32.5
SALZERELEC,0.402,40.2
SAMBHAAV,0.6551,65.5
SAMBHV,0.4149,41.5
SAMHI,0.4287,42.9
SAMMAANCAP,0.3348,33.5
SAMPANN,0.2843,28.4
SANATHAN,0.3821,38.2
SANDESH,0.3081,30.8
SANDHAR,0.5511,55.1
SANDUMA,0.4271,42.7
SANGAMIND,0.3657,36.6
SANGHIIND,0.4938,49.4
SANGHVIMOV,0.4646,46.5
SANGINITA,0.3549,35.5
SANOFI,0.6061,60.6
SANOFICONR,0.4798,48.0
SANSERA,0.5701,57.0
SANSTAR,0.2349,23.5
SAPPHIRE,0.3075,30.8
SAPPL,0.6533,65.3
SARDAEN,0.5713,57.1
SAREGAMA,0.2849,28.5
SARLAPOLY,0.3776,37.8
SARVESHWAR,0.2391,23.9
SASKEN,0.4474,44.7
SASTASUNDR,0.21,21.0
SATIA,0.4506,45.1
SATIN,0.5885,58.8
SAURASHCEM,0.6001,60.0
SAYAJIHOTL,0.1481,14.8
SBC,0.5756,57.6
SBCL,0.5648,56.5
SBFC,0.3498,35.0
SBGLP,0.4194,41.9
SBIBPB,0.2054,20.5
SBICARD,0.7325,73.3
SBIETFCON,0.3507,35.1
SBIETFIT,0.4579,45.8
SBIETFPB,0.3518,35.2
SBIETFQLTY,0.1725,17.3
SBILIFE,0.4449,44.5
SBILIQETF,0.0156,1.6
SBIMIDMOM,0.6086,60.9
SBIN,0.5064,50.6
SBINEQWETF,0.2621,26.2
SBINMID150,0.3953,39.5
SBISILVER,0.4609,46.1
SBISMLETF,0.2195,21.9
SBIVALETF,0.1227,12.3
SCANSTL,0.4802,48.0
SCHAEFFLER,0.4529,45.3
SCHAND,0.315,31.5
SCHNEIDER,0.5403,54.0
SCI,0.5512,55.1
SCILAL,0.3454,34.5
SCODATUBES,0.3991,39.9
SCPL,0.5725,57.2
SDBL,0.5908,59.1
SDL26BEES,0.1027,10.3
SEAMECLTD,0.5328,53.3
SECMARK,0.6155,61.5
SECURKLOUD,0.4892,48.9
SEDEMAC,0.3315,33.2
SEIL,0.6752,67.5
SEJALLTD,0.4655,46.5
SELAN,0.3747,37.5
SELECTIPO,0.2936,29.4
SELMC,0.4546,45.5
SEMAC,0.4487,44.9
SENCO,0.456,45.6
SENORES,0.5078,50.8
SENSEXADD,0.2419,24.2
SENSEXBETA,0.5801,58.0
SENSEXETF,0.395,39.5
SENSEXIETF,0.3916,39.2
SEPC,0.6392,63.9
SEQUENT,0.551,55.1
SERVOTECH,0.5563,55.6
SESHAPAPER,0.3943,39.4
SETCO,0.5035,50.3
SETF10GILT,0.2975,29.8
SETFGOLD,0.3659,36.6
SETFNIF50,0.4138,41.4
SETFNIFBK,0.4174,41.7
SETFNN50,0.3784,37.8
SETL,0.4423,44.2
SFL,0.5119,51.2
SGFIN,0.5452,54.5
SGIL,0.3129,31.3
SGL,0.2958,29.6
SGLTL,0.3238,32.4
SGMART,0.6137,61.4
SHADOWFAX,0.4664,46.6
SHAH,0.2098,21.0
SHAHALLOYS,0.386,38.6
SHAILY,0.5161,51.6
SHAKTIPUMP,0.4062,40.6
SHALBY,0.228,22.8
SHALPAINTS,0.4969,49.7
SHANKARA,0.4467,44.7
SHANTI,0.1216,12.2
SHANTIGEAR,0.3567,35.7
SHANTIGOLD,0.4707,47.1
SHARDACROP,0.3527,35.3
SHARDAMOTR,0.4905,49.1
SHARDUL,0.5316,53.2
SHAREINDIA,0.3217,32.2
SHARIABEES,0.3594,35.9
SHBAJRG,0.576,57.6
SHEKHAWATI,0.3886,38.9
SHEMAROO,0.3584,35.8
SHILCTECH,0.5628,56.3
SHILPAMED,0.5099,51.0
SHINDL,0.6306,63.1
SHIVALIK,0.6689,66.9
SHIVAMAUTO,0.2704,27.0
SHIVAMILLS,0.1405,14.1
SHIVATEX,0.3467,34.7
SHIVAUM,0.3389,33.9
SHK,0.5673,56.7
SHOPERSTOP,0.3274,32.7
SHRADHA,0.2347,23.5
SHREDIGCEM,0.2402,24.0
SHREECEM,0.5009,50.1
SHREEJISPG,0.5839,58.4
SHREEPUSHK,0.4526,45.3
SHREERAMA,0.4211,42.1
SHRENIK,0.3223,32.2
SHREYANIND,0.6468,64.7
SHRIKRISH,0.5704,57.0
SHRINGARMS,0.4113,41.1
SHRIPISTON,0.613,61.3
SHRIRAMFIN,0.5486,54.9
SHRIRAMPPS,0.3333,33.3
SHYAMCENT,0.2992,29.9
SHYAMMETL,0.4692,46.9
SHYAMTEL,0.5274,52.7
SICAGEN,0.5283,52.8
SIEMENS,0.5443,54.4
SIGACHI,0.522,52.2
SIGIND,0.2578,25.8
SIGMA,0.5846,58.5
SIGMAADV,0.3626,36.3
SIGNATURE,0.4662,46.6
SIGNPOST,0.2601,26.0
SIKA,0.5573,55.7
SIKKO,0.51,51.0
SIL,0.3132,31.3
SILGO,0.4261,42.6
SILINV,0.4061,40.6
SILLYMONKS,0.5256,52.6
SILVER,0.452,45.2
SILVER1,0.6743,67.4
SILVER360,0.4499,45.0
SILVERADD,0.4577,45.8
SILVERAG,0.3946,39.5
SILVERBEES,0.4658,46.6
SILVERBETA,0.6391,63.9
SILVERBND,0.6535,65.4
SILVERCASE,0.341,34.1
SILVERETF,0.4965,49.6
SILVERIETF,0.4561,45.6
SILVERTUC,0.6438,64.4
SILVRETF,0.4378,43.8
SIMPLEXINF,0.5422,54.2
SINCLAIR,0.2482,24.8
SINDHUTRAD,0.3096,31.0
SINGERIND,0.6083,60.8
SINTERCOM,0.688,68.8
SIRCA,0.4636,46.4
SIS,0.5371,53.7
SIYSIL,0.3379,33.8
SJS,0.5287,52.9
SJVN,0.3288,32.9
SKFINDIA,0.7773,77.7
SKFINDUS,0.5459,54.6
SKIPPER,0.4785,47.9
SKMEGGPROD,0.1993,19.9
SKYGOLD,0.6203,62.0
SMALL250,0.3477,34.8
SMALLADD,0.4435,44.3
SMALLCAP,0.3086,30.9
SMALLGROWW,0.1677,16.8
SMALLIETF,0.1623,16.2
SMARTLINK,0.3174,31.7
SMARTWORKS,0.4151,41.5
SMCGLOBAL,0.3059,30.6
SML100CASE,0.0639,6.4
SMLISUZU,0.4674,46.7
SMLMAH,0.6264,62.6
SMLT,0.4236,42.4
SMSLIFE,0.3653,36.5
SMSPHARMA,0.3877,38.8
SNOWMAN,0.3791,37.9
SNXT30BEES,0.2964,29.6
SNXT50BETA,0.5634,56.3
SOBHA,0.4623,46.2
SOFTTECH,0.368,36.8
SOLARA,0.4064,40.6
SOLARINDS,0.4637,46.4
SOLARWORLD,0.534,53.4
SOLEX,0.6666,66.7
SOMANYCERA,0.3106,31.1
SOMATEX,0.5771,57.7
SOMICONVEY,0.4194,41.9
SONACOMS,0.5875,58.7
SONAL,0.1493,14.9
SONAMLTD,0.4788,47.9
SONATSOFTW,0.3956,39.6
SOTL,0.4715,47.2
SOUTHBANK,0.5304,53.0
SOUTHWEST,0.5832,58.3
SPAL,0.5506,55.1
SPANDANA,0.501,50.1
SPARC,0.5311,53.1
SPCENET,0.6339,63.4
SPECIALITY,0.5103,51.0
SPECTRUM,0.5508,55.1
SPENCERS,0.3544,35.4
SPIC,0.3853,38.5
SPLIL,0.3119,31.2
SPLPETRO,0.4596,46.0
SPMLINFRA,0.3779,37.8
SPORTKING,0.5625,56.2
SRD,0.5872,58.7
SREEL,0.3111,31.1
SRF,0.4613,46.1
SRGHFL,0.3325,33.3
SRHHYPOLTD,0.3041,30.4
SRM,0.2633,26.3
SRTL,0.6026,60.3
SSDL,0.5572,55.7
SSWL,0.3775,37.7
STALLION,0.5686,56.9
STANLEY,0.7286,72.9
STAR,0.6189,61.9
STARCEMENT,0.3003,30.0
STARHEALTH,0.4849,48.5
STARPAPER,0.3858,38.6
STARTECK,0.3718,37.2
STCINDIA,0.296,29.6
STEELCAS,0.3773,37.7
STEELCITY,0.2588,25.9
STEELXIND,0.3766,37.7
STEL,0.4016,40.2
STERTOOLS,0.2946,29.5
STLNETWORK,0.4066,40.7
STLTECH,0.4116,41.2
STOVEKRAFT,0.3541,35.4
STUDDS,0.424,42.4
STYL,0.5065,50.7
STYLAMIND,0.5951,59.5
STYLEBAAZA,0.29,29.0
STYRENIX,0.5236,52.4
SUBEXLTD,0.3406,34.1
SUBROS,0.4231,42.3
SUDARCOLOR,0.6436,64.4
SUDARSCHEM,0.4384,43.8
SUDEEPPHRM,0.4449,44.5
SUKHJITS,0.3229,32.3
SULA,0.5704,57.0
SUMEETINDS,0.5921,59.2
SUMICHEM,0.4259,42.6
SUMIT,0.3124,31.2
SUMMITSEC,0.4346,43.5
SUNCLAY,0.4544,45.4
SUNDARAM,0.4059,40.6
SUNDARMFIN,0.4208,42.1
SUNDARMHLD,0.2996,30.0
SUNDRMBRAK,0.3546,35.5
SUNDRMFAST,0.5337,53.4
SUNDROP,0.4706,47.1
SUNFLAG,0.4532,45.3
SUNPHARMA,0.4994,49.9
SUNTECK,0.5641,56.4
SUNTV,0.4638,46.4
SUPERHOUSE,0.258,25.8
SUPERSPIN,0.6299,63.0
SUPRAJIT,0.4206,42.1
SUPREME,0.4706,47.1
SUPREMEIND,0.5266,52.7
SUPREMEINF,0.2089,20.9
SUPRIYA,0.3855,38.5
SURAJEST,0.5431,54.3
SURAJLTD,0.3639,36.4
SURAKSHA,0.3437,34.4
SURANASOL,0.3253,32.5
SURANAT&P,0.2592,25.9
SURYALA,0.3227,32.3
SURYALAXMI,0.4537,45.4
SURYAROSNI,0.3896,39.0
SURYODAY,0.472,47.2
SUTLEJTEX,0.4984,49.8
SUVEN,0.5635,56.3
SUVIDHAA,0.5817,58.2
SUYOG,0.6047,60.5
SUZLON,0.3662,36.6
SVLL,0.4007,40.1
SVPGLOB,0.2706,27.1
SWANCORP,0.5819,58.2
SWANENERGY,0.389,38.9
SWARAJENG,0.5172,51.7
SWELECTES,0.2499,25.0
SWIGGY,0.7319,73.2
SWSOLAR,0.5337,53.4
SYMPHONY,0.5269,52.7
SYNCOMF,0.3395,33.9
SYNGENE,0.5808,58.1
SYRMA,0.5591,55.9
SYSTMTXC,0.4008,40.1
TAALTECH,0.6212,62.1
TAINWALCHM,0.3079,30.8
TAJGVK,0.3447,34.5
TAKE,0.2089,20.9
TALBROAUTO,0.4779,47.8
TAMBOLIIN,0.5144,51.4
TANLA,0.4095,40.9
TARACHAND,0.4743,47.4
TARAPUR,0.4973,49.7
TARC,0.4343,43.4
TARIL,0.3121,31.2
TARMAT,0.2273,22.7
TARSONS,0.4209,42.1
TASTYBITE,0.453,45.3
TATACAP,0.4557,45.6
TATACHEM,0.3755,37.6
TATACOMM,0.5816,58.2
TATACONSUM,0.4287,42.9
TATAELXSI,0.4847,48.5
TATAGOLD,0.2596,26.0
TATAINVEST,0.3583,35.8
TATAMOTORS,0.2683,26.8
TATAPOWER,0.3598,36.0
TATASTEEL,0.2832,28.3
TATATECH,0.6556,65.6
TATSILV,0.3418,34.2
TATVA,0.4433,44.3
TBOTEK,0.3754,37.5
TBZ,0.3992,39.9
TCC,0.5803,58.0
TCI,0.4915,49.2
TCIEXP,0.4224,42.2
TCIFINANCE,0.4824,48.2
TCPLPACK,0.4277,42.8
TCS,0.6185,61.9
TDPOWERSYS,0.6847,68.5
TEAMGTY,0.357,35.7
TEAMLEASE,0.3427,34.3
TECH,0.477,47.7
TECHM,0.5044,50.4
TECHNOE,0.4495,45.0
TECHNVISN,0.4837,48.4
TECILCHEM,0.3207,32.1
TEGA,0.3671,36.7
TEJASNET,0.6007,60.1
TEMBO,0.307,30.7
TENNIND,0.6267,62.7
TERASOFT,0.5164,51.6
TEXINFRA,0.4058,40.6
TEXMOPIPES,0.3229,32.3
TEXRAIL,0.3775,37.7
TFCILTD,0.4235,42.4
TFL,0.3328,33.3
TGBHOTELS,0.3211,32.1
THACKER,0.2089,20.9
THAKDEV,0.2089,20.9
THANGAMAYL,0.4891,48.9
THEINVEST,0.5007,50.1
THEJO,0.3979,39.8
THELEELA,0.4857,48.6
THEMISMED,0.4119,41.2
THERMAX,0.4515,45.1
THOMASCOOK,0.2284,22.8
THOMASCOTT,0.4268,42.7
THYROCARE,0.494,49.4
TI,0.483,48.3
TICL,0.5952,59.5
TIGERLOGS,0.395,39.5
TIIL,0.5257,52.6
TIINDIA,0.4791,47.9
TIJARIA,0.6182,61.8
TIL,0.4833,48.3
TIMESGTY,0.4452,44.5
TIMETECHNO,0.4269,42.7
TIMEX,0.5597,56.0
TIMKEN,0.4977,49.8
TINNARUBR,0.4786,47.9
TIPSFILMS,0.4215,42.2
TIPSMUSIC,0.5524,55.2
TIRUMALCHM,0.3583,35.8
TIRUPATIFL,0.5651,56.5
TITAGARH,0.4934,49.3
TITAN,0.5303,53.0
TMB,0.5335,53.3
TMCV,0.5274,52.7
TMPV,0.6754,67.5
TNIDETF,0.3826,38.3
TNPETRO,0.5,50.0
TNPL,0.3077,30.8
TNTELE,0.5909,59.1
TOKYOPLAST,0.323,32.3
TOLINS,0.5773,57.7
TOP100CASE,0.2742,27.4
TOP10ADD,0.3606,36.1
TOP15IETF,0.3076,30.8
TOP20,0.3209,32.1
TORNTPHARM,0.5656,56.6
TORNTPOWER,0.4658,46.6
TOTAL,0.4683,46.8
TOUCHWOOD,0.4518,45.2
TPHQ,0.3327,33.3
TPLPLASTEH,0.3872,38.7
TRACXN,0.5309,53.1
TRANSPEK,0.7091,70.9
TRANSRAILL,0.4797,48.0
TRANSWORLD,0.2182,21.8
TRAVELFOOD,0.4391,43.9
TREEHOUSE,0.5981,59.8
TREJHARA,0.6603,66.0
TREL,0.3312,33.1
TRENT,0.5452,54.5
TRF,0.4173,41.7
TRIDENT,0.3137,31.4
TRIGYN,0.3035,30.4
TRITURBINE,0.5591,55.9
TRIVENI,0.4746,47.5
TRU,0.5522,55.2
TRUALT,0.4695,47.0
TSFINV,0.6204,62.0
TTKHLTCARE,0.4803,48.0
TTKPRESTIG,0.2945,29.4
TTL,0.4973,49.7
TTML,0.3719,37.2
TURTLEMINT,0.1288,12.9
TVSELECT,0.5548,55.5
TVSHLTD,0.4722,47.2
TVSMOTOR,0.462,46.2
TVSSCS,0.5523,55.2
TVSSRICHAK,0.2323,23.2
TVTODAY,0.3988,39.9
TVVISION,0.5774,57.7
TWCGOLDETF,0.4961,49.6
UBL,0.5688,56.9
UCAL,0.4898,49.0
UCOBANK,0.2192,21.9
UDAICEMENT,0.2754,27.5
UDS,0.1564,15.6
UEL,0.5776,57.8
UFBL,0.5817,58.2
UFLEX,0.214,21.4
UFO,0.4281,42.8
UGARSUGAR,0.2755,27.5
UGROCAP,0.6989,69.9
UJJIVANSFB,0.3097,31.0
ULTRACEMCO,0.4942,49.4
ULTRAMAR,0.6144,61.4
UMAEXPORTS,0.4301,43.0
UMESLTD,0.2392,23.9
UMIYA-MRO,0.3141,31.4
UNICHEMLAB,0.3183,31.8
UNIDT,0.2023,20.2
UNIECOM,0.2909,29.1
UNIENTER,0.3315,33.1
UNIINFO,0.3768,37.7
UNIMECH,0.5673,56.7
UNIONBANK,0.4263,42.6
UNIONGOLD,0.1861,18.6
UNIPARTS,0.513,51.3
UNITDSPR,0.4827,48.3
UNITECH,0.5646,56.5
UNITEDPOLY,0.2658,26.6
UNITEDTEA,0.2226,22.3
UNIVASTU,0.2878,28.8
UNIVCABLES,0.6161,61.6
UNIVPHOTO,0.4421,44.2
UNOMINDA,0.4394,43.9
UPL,0.4298,43.0
URAVIDEF,0.4179,41.8
URBANCO,0.371,37.1
URJA,0.328,32.8
USHAMART,0.5582,55.8
USK,0.2434,24.3
UTIAMC,0.5025,50.3
UTIBANKETF,0.3524,35.2
UTINEXT50,0.328,32.8
UTINIFTETF,0.2343,23.4
UTISENSETF,0.433,43.3
UTISXN50,0.3246,32.5
