symbol,sector,bull_run_score,label,accumulation_score,ml_bull_run_score
INDORAMA,TEXTILES,55.07,EMERGING,98.01813,79.88
BALKRISIND,AUTO,55.05,EMERGING,92.25147,78.06
SHAREINDIA,FINANCIAL_SERVICES,55.04,EMERGING,95.96953,79.29
MUNJALSHOW,AUTO,55.04,EMERGING,83.493904,78.23
ALPHAGEO,ENERGY,55.01,EMERGING,94.36117,79.61
NOVARTIND,PHARMA,54.97,EMERGING,94.57916,79.55
COMSYN,AUTO,54.95,EMERGING,95.54265,79.08
TATATECH,FMCG,54.94,EMERGING,89.683495,79.09
SHYAMMETL,METAL,54.94,EMERGING,94.41709,79.44
PVRINOX,MEDIA,54.91,EMERGING,73.11933,76.55
PAUSHAKLTD,CHEMICALS,54.9,EMERGING,93.8887,78.89
GPTHEALTH,HEALTHCARE,54.88,EMERGING,98.18275,79.65
EXIDEIND,AUTO,54.86,EMERGING,95.54308,79.55
GOODYEAR,AUTO,54.86,EMERGING,77.261696,76.45
SMLMAH,AUTO,54.85,EMERGING,96.96456,79.68
KSHINTL,CAPITAL_GOODS,54.82,EMERGING,91.971214,78.64
AKUMS,PHARMA,54.79,EMERGING,99.1629,79.86
UFBL,HOSPITALITY,54.69,EMERGING,76.01739,77.42
SHAILY,CAPITAL_GOODS,54.69,EMERGING,85.69648,73.64
NAUKRI,RETAIL,54.68,EMERGING,67.68209,75.57
ADVAIT,CAPITAL_GOODS,54.68,EMERGING,35.722755,63.99
AUROPHARMA,PHARMA,54.62,EMERGING,40.575047,62.89
GCSL,FINANCIAL_SERVICES,54.61,EMERGING,80.80371,78.06
INDSWFTLAB,PHARMA,54.6,EMERGING,74.696686,76.62
PRECOT,TEXTILES,54.59,EMERGING,93.45623,78.74
3IINFOLTD,IT,54.59,EMERGING,98.57744,79.89
INDUSINDBK,BANKING,54.54,EMERGING,97.10992,79.53
VAIBHAVGBL,FMCG,54.5,EMERGING,97.19977,79.54
MMP,METAL,54.5,EMERGING,76.0084,78.52
SAREGAMA,MEDIA,54.45,EMERGING,95.34831,79.58
3MINDIA,DIVERSIFIED,54.43,EMERGING,27.104712,65.95
SUNPHARMA,PHARMA,54.42,EMERGING,96.446625,79.34
DECNGOLD,METAL,54.41,EMERGING,91.48037,78.83
SBC,TEXTILES,54.37,EMERGING,18.152943,60.84
SFL,REALTY,54.3,EMERGING,86.2818,77.86
JSWSTEEL,METAL,54.29,EMERGING,20.61227,62.61
VOEPL,OTHER,54.29,EMERGING,92.18447,78.39
HESTERBIO,PHARMA,54.27,EMERGING,98.61612,79.74
AARTISURF,CHEMICALS,54.27,EMERGING,73.13264,75.42
HSCL,CHEMICALS,54.25,EMERGING,99.373924,79.87
GNA,AUTO,54.23,EMERGING,99.13721,79.89
