symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
ARTEMISMED,0.43,16.93,49.6,12.56,20260817
ARTNIRMAN,0.26,10.72,89.7,4.5,20260817
ARVEE,0.1,7.54,48.7,1.94,20260817
ARVIND,1.6,5.91,48.3,3.74,20260817
ARVINDFASN,0.71,-2.57,53.1,-4.1,20260817
ARVSMART,0.27,14.64,45.1,10.35,20260817
ASAHIINDIA,1.16,6.48,45.8,5.07,20260817
ASAL,1.89,-2.09,52.5,-1.19,20260817
ASALCBR,2.1,-7.14,61.6,-9.14,20260817
ASHAPURMIN,0.46,-10.21,45.8,-9.99,20260817
ASHIANA,0.09,-0.78,50.0,-3.69,20260817
ASHIMASYN,0.22,23.7,58.2,7.09,20260817
ASHOKA,0.85,-7.87,55.9,-9.39,20260817
ASHOKAMET,0.72,-1.47,75.0,-5.88,20260817
ASHOKLEY,1.86,17.12,41.3,10.6,20260817
ASIANENE,3.35,19.23,42.3,15.12,20260817
ASIANHOTNR,0.16,3.12,49.6,-1.73,20260817
ASIANPAINT,0.31,3.25,59.3,-0.82,20260817
ASIANTILES,0.27,3.59,36.1,-10.2,20260817
ASKAUTOLTD,0.28,36.63,45.4,28.3,20260817
ASPINWALL,0.57,-5.24,70.6,-4.04,20260817
ASTAR,0.1,-4.35,74.4,-4.99,20260817
ASTEC,1.22,-14.31,55.4,-16.1,20260817
ASTERDM,1.53,3.71,51.4,1.75,20260817
ASTRAL,0.33,14.48,37.8,6.16,20260817
ASTRAMICRO,0.4,1.92,50.6,-0.11,20260817
ASTRAZEN,1.24,-2.74,58.6,-6.65,20260817
ATALREAL,0.51,19.77,17.5,15.68,20260817
ATAM,1.05,-8.65,59.5,-10.34,20260817
ATGL,0.44,-5.82,34.1,-7.18,20260817
ATHERENERG,0.54,19.98,32.5,22.77,20260817
ATL,0.67,6.5,62.8,0.21,20260817
ATLANTAA,0.38,7.17,54.1,1.28,20260817
ATLANTAELE,2.98,5.19,48.0,4.31,20260817
ATLASCYCLE,0.64,1.5,82.0,-0.48,20260817
ATUL,0.32,12.7,59.3,2.95,20260817
ATULAUTO,0.3,5.36,43.2,1.6,20260817
AUBANK,0.53,6.35,58.1,3.3,20260817
AURIONPRO,0.47,-11.93,51.0,-10.85,20260817
AUROPHARMA,0.95,7.86,50.0,4.96,20260817
AURUM,0.44,-2.23,47.3,4.85,20260817
AURUS,0.44,2.77,53.0,,20260817
AUSOMENT,0.03,,80.5,10.33,20260817
AUTOAXLES,0.3,0.0,63.6,-0.21,20260817
AVADHSUGAR,2.18,,38.3,45.66,20260817
AVALON,1.93,19.28,41.6,16.96,20260817
AVANTEL,0.74,-6.19,48.3,-7.04,20260817
AVANTIFEED,0.88,-12.69,35.5,-8.34,20260817
AVL,1.57,-1.31,48.3,-1.85,20260817
AVONMORE,1.06,34.45,73.7,23.55,20260817
AVROIND,0.53,-5.54,46.2,-11.83,20260817
AVTNPL,9.27,28.07,57.6,23.58,20260817
AWFIS,0.86,-4.89,54.7,-7.28,20260817
AWHCL,0.51,-11.79,47.2,-13.17,20260817
AWL,0.35,4.61,59.9,2.22,20260817
AXISBANK,0.9,-3.37,68.5,-5.32,20260817
AXISCADES,1.2,2.23,47.4,-6.65,20260817
AXITA,0.29,0.74,49.5,-2.95,20260817
AYE,0.17,4.95,51.3,1.48,20260817
