symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
KALAMANDIR,0.53,-5.77,60.4,-11.76,20260817
KALPATARU,0.1,4.99,34.7,-4.34,20260817
KALYANIFRG,0.5,8.88,53.9,5.88,20260817
KALYANKJIL,0.46,14.37,19.4,25.24,20260817
KAMAHOLD,1.35,-3.32,69.8,-4.23,20260817
KAMATHOTEL,1.2,11.17,57.3,10.57,20260817
KAMOPAINTS,0.91,1.0,80.1,-8.47,20260817
KANANIIND,0.68,1.45,88.1,-1.96,20260817
KANCHI,0.09,,86.0,,20260817
KANPRPLA,1.73,36.28,42.3,28.68,20260817
KANSAINER,0.24,5.21,55.1,-0.52,20260817
KAPSTON,2.99,27.16,62.0,22.74,20260817
KARMAENG,0.17,10.82,70.5,1.25,20260817
KARURVYSYA,0.24,12.58,57.3,6.88,20260817
KAVDEFENCE,1.73,-1.57,57.2,-6.34,20260817
KAYA,2.57,41.34,50.0,29.34,20260817
KAYNES,0.43,8.94,23.4,7.96,20260817
KCP,1.12,-5.41,57.2,-5.58,20260817
KDDL,0.51,28.18,47.5,25.05,20260817
KEC,0.81,-9.64,50.6,-11.37,20260817
KECL,0.53,,49.6,24.66,20260817
KEEPLEARN,2.29,9.44,75.8,0.0,20260817
KEI,0.68,18.48,50.7,11.2,20260817
KELLTONTEC,1.0,-6.48,54.1,-8.7,20260817
KENNAMET,0.87,30.35,50.3,19.34,20260817
KERNEX,3.61,-14.01,44.7,-18.91,20260817
KEYFINSERV,0.82,-0.31,74.8,-0.1,20260817
KFINTECH,1.61,14.46,45.4,8.58,20260817
KHAICHEM,4.33,,65.4,13.85,20260817
KHAITANLTD,0.19,,67.0,27.91,20260817
KHANDSE,1.08,2.77,75.1,-1.99,20260817
KICL,0.63,0.21,56.6,-1.45,20260817
KIMS,0.85,2.45,66.5,-0.23,20260817
KINGFA,6.68,21.98,51.6,16.9,20260817
KIOCL,0.2,6.1,34.4,0.84,20260817
KIRANVYPAR,0.66,12.4,92.4,3.56,20260817
KIRIINDUS,0.56,6.09,40.6,2.17,20260817
KIRLFER,4.74,-5.14,71.0,-5.47,20260817
KIRLOSBROS,0.49,6.61,46.6,2.79,20260817
KIRLOSENG,0.71,-9.52,59.0,-4.41,20260817
KIRLOSIND,0.56,0.39,40.9,1.23,20260817
KIRLPNU,0.5,-9.07,55.8,-8.28,20260817
KISSHT,0.55,-2.38,47.0,0.33,20260817
KITEX,2.68,-12.3,50.7,-14.23,20260817
KKCL,0.43,6.06,61.3,4.74,20260817
KLBRENG-B,4.2,-19.69,64.3,-22.48,20260817
KMEW,5.15,16.15,39.5,17.81,20260817
KMSUGAR,5.21,7.15,66.5,8.21,20260817
KNACK,1.0,9.53,43.8,,20260817
KNAGRI,6.95,11.58,84.8,4.36,20260817
KNRCON,1.53,11.0,46.9,4.12,20260817
KOHINOOR,4.24,17.85,46.5,14.23,20260817
KOKUYOCMLN,1.55,1.79,67.9,-1.42,20260817
KOLTEPATIL,0.11,25.56,27.9,20.72,20260817
KOTAKBANK,0.48,6.89,63.1,0.41,20260817
KOTARISUG,1.88,7.1,63.1,2.9,20260817
KOTHARIPET,1.37,5.51,51.4,1.87,20260817
KOTHARIPRO,0.86,2.83,72.2,-0.78,20260817
KOTIC,1.1,-16.31,67.8,-11.69,20260817
KOVAI,1.22,5.68,63.0,3.47,20260817
KPEL,2.18,-21.53,50.9,-23.92,20260817
KPIGREEN,2.22,-22.73,44.6,-22.08,20260817
KPIL,1.08,9.14,32.8,5.27,20260817
KPITTECH,0.18,13.23,32.6,-4.14,20260817
KPL,1.36,30.5,31.0,34.7,20260817
KPRMILL,0.91,3.11,43.9,2.93,20260817
KRBL,1.75,12.98,44.1,7.74,20260817
KREBSBIO,0.6,5.96,74.0,-6.29,20260817
KRISHANA,0.41,36.3,49.6,22.74,20260817
KRISHIVAL,0.17,5.16,75.1,2.2,20260817
KRISHNADEF,1.01,-15.37,49.6,-14.42,20260817
KRITI,0.17,,73.7,-12.85,20260817
KRITIKA,0.4,1.52,72.6,-3.82,20260817
KRITINUT,0.17,,84.4,18.46,20260817
KRN,1.41,,66.5,37.81,20260817
KRONOX,0.61,3.48,45.5,-0.51,20260817
KROSS,0.48,12.34,41.5,6.49,20260817
KRSNAA,0.98,4.89,60.2,2.11,20260817
KRYSTAL,0.46,6.13,60.2,3.44,20260817
KSB,0.27,-10.14,57.1,-9.29,20260817
KSCL,0.89,-4.66,48.9,-8.9,20260817
KSHINTL,0.62,15.95,36.3,16.98,20260817
KSHITIJPOL,2.76,,69.2,23.17,20260817
KSL,1.64,-6.86,54.8,-4.07,20260817
KSOLVES,0.66,-5.42,61.7,-4.15,20260817
KSR,0.07,1.22,82.0,-1.08,20260817
KTKBANK,0.36,14.82,55.3,9.39,20260817
KUANTUM,0.96,7.96,63.6,3.61,20260817
KUSUMGAR,0.43,3.37,38.5,,20260817
KWIL,5.66,21.61,39.8,14.19,20260817
LAGNAM,0.64,-5.62,79.7,-5.8,20260817
LAHOTIOV,1.74,1.12,80.9,-0.6,20260817
LAL,0.1,1.75,81.4,3.44,20260817
LALPATHLAB,0.27,11.12,59.4,7.89,20260817
LAMBODHARA,0.59,-3.53,73.2,-1.57,20260817
LANCORHOL,1.3,13.76,54.8,14.24,20260817
LANDMARK,0.39,5.03,34.0,6.23,20260817
LANDSMILL,0.71,2.77,48.0,-7.41,20260817
LAOPALA,0.31,3.64,54.0,3.83,20260817
LASA,0.63,0.58,68.6,-2.99,20260817
LASERPOWER,1.85,26.37,34.7,,20260817
LATENTVIEW,0.28,-3.73,51.2,-3.98,20260817
LATTEYS,2.91,,,12.08,20260817
LAURUSLABS,0.73,18.96,50.6,13.77,20260817
LAXMICOT,0.79,-7.95,77.6,-8.09,20260817
LAXMIDENTL,1.12,-7.77,56.5,-8.53,20260817
LAXMIINDIA,1.52,,,37.3,20260817
LCCINFOTEC,0.58,-16.81,66.9,-13.57,20260817
LCL,0.17,,44.8,,20260817
LEMERITE,0.61,13.54,35.3,-1.27,20260817
LEMONTREE,0.95,-1.23,59.4,-2.85,20260817
LENSKART,3.47,16.63,51.6,12.17,20260817
LEXUS,0.76,-6.03,70.7,-8.74,20260817
LFIC,0.55,0.57,66.2,-2.07,20260817
LGBBROSLTD,0.6,4.63,58.8,2.96,20260817
LGEINDIA,2.53,8.23,59.0,6.77,20260817
LGHL,0.54,-12.33,35.1,-16.59,20260817
LIBAS,1.17,-6.48,71.4,-11.93,20260817
LIBERTSHOE,2.0,-0.16,60.1,-3.79,20260817
LICHSGFIN,1.96,-6.1,59.2,-7.44,20260817
LICI,0.28,-3.69,62.8,-2.64,20260817
LIKHITHA,1.73,-12.16,63.3,4.14,20260817
LINC,0.43,-8.97,74.7,-6.98,20260817
LINCOLN,0.46,6.36,43.9,2.43,20260817
LINDEINDIA,1.1,-2.79,52.0,-3.76,20260817
LLOYDSENGG,0.39,5.73,44.7,5.45,20260817
LLOYDSENT,0.63,-1.75,43.9,-1.03,20260817
LLOYDSME,0.39,8.11,52.3,4.28,20260817
LMW,2.74,28.3,48.8,22.73,20260817
LODHA,0.35,9.21,38.7,14.04,20260817
LORDSCHLO,0.42,6.55,68.0,0.81,20260817
LOTUSEYE,0.23,-2.73,70.9,-5.37,20260817
LOVABLE,0.83,-2.06,67.6,-2.75,20260817
LOYALTEX,0.52,12.49,73.0,2.6,20260817
LPDC,1.23,24.79,57.7,20.52,20260817
LT,0.65,11.01,56.9,2.26,20260817
LTF,0.66,4.53,51.5,3.31,20260817
LTFOODS,0.24,11.77,45.7,7.05,20260817
LTM,0.65,18.52,40.9,14.21,20260817
LTTS,0.9,4.16,44.9,4.14,20260817
LUMAXIND,0.27,11.68,43.3,7.65,20260817
LUMAXTECH,0.28,43.22,32.7,27.71,20260817
LUPIN,0.61,-6.89,58.6,-5.07,20260817
LUXIND,2.12,-3.54,51.8,-3.61,20260817
LXCHEM,0.29,7.86,40.4,7.27,20260817
M&M,0.69,11.51,62.2,5.9,20260817
M&MFIN,0.2,23.6,49.0,13.81,20260817
MAANALU,0.58,3.13,56.7,-2.44,20260817
MACPOWER,0.49,36.25,47.0,32.44,20260817
MADHAV,1.82,2.69,91.3,0.25,20260817
MADHAVIPL,0.56,-12.21,76.7,-14.46,20260817
MADRASFERT,1.06,-2.9,51.5,-4.26,20260817
MAFATIND,0.74,-5.03,70.7,-7.04,20260817
MAGADSUGAR,1.57,13.71,43.7,16.1,20260817
MAGNUM,0.37,5.54,83.7,-1.23,20260817
MAHABANK,0.73,4.8,49.9,-2.79,20260817
MAHAPEXLTD,1.39,24.68,60.5,15.82,20260817
MAHEPC,0.65,-7.73,57.4,-4.73,20260817
MAHLIFE,0.34,5.26,60.0,4.88,20260817
MAHLOG,0.4,6.96,57.7,5.0,20260817
MAHSCOOTER,0.29,6.5,54.0,4.04,20260817
MAHSEAMLES,1.0,9.22,55.2,3.71,20260817
MAITHANALL,0.86,-0.54,57.1,-2.48,20260817
MALLCOM,1.57,-9.21,74.9,-6.54,20260817
MALUPAPER,0.09,8.13,80.2,-0.09,20260817
MAMATA,2.26,9.96,54.1,2.98,20260817
MANAKALUCO,0.35,4.78,55.4,1.95,20260817
MANAKCOAT,1.08,0.55,60.2,4.27,20260817
MANAKSIA,0.63,5.64,66.4,1.96,20260817
MANAKSTEEL,0.31,,70.1,32.96,20260817
MANALIPETC,0.68,9.46,44.8,4.43,20260817
MANAPPURAM,0.37,10.0,39.7,3.56,20260817
MANBA,0.3,-1.4,39.3,-1.97,20260817
MANCREDIT,0.22,3.74,38.3,2.68,20260817
MANGALAM,1.11,4.41,68.1,-0.46,20260817
MANGLMCEM,0.8,-8.77,67.7,-5.19,20260817
MANINDS,1.05,18.79,35.9,12.99,20260817
MANINFRA,0.76,5.25,39.9,-0.9,20260817
MANIPALHOS,0.26,,50.8,,20260817
MANKIND,1.84,-3.71,59.6,-3.9,20260817
MANOMAY,0.43,25.44,22.8,10.86,20260817
MANORAMA,8.66,24.58,40.7,21.86,20260817
MANORG,1.25,,85.2,-2.84,20260817
MANYAVAR,0.14,38.57,44.3,26.59,20260817
MAPMYINDIA,0.27,-13.09,42.0,-0.81,20260817
MARALOVER,0.15,,,21.85,20260817
MARATHON,0.77,-6.65,72.1,-9.39,20260817
MARICO,0.53,4.28,63.9,0.87,20260817
MARINE,0.66,47.64,45.4,32.49,20260817
MARKOLINES,0.74,1.94,32.1,-1.11,20260817
MARKSANS,2.3,23.14,22.0,24.47,20260817
MARSONS,0.41,-3.15,42.4,-6.79,20260817
MARUTI,0.45,2.6,53.5,-0.06,20260817
MASFIN,1.69,-0.84,65.0,-2.31,20260817
MASKINVEST,,,83.4,6.98,20260817
MASTEK,0.19,5.24,46.3,6.2,20260817
MASTERTR,0.82,-7.73,34.9,-3.68,20260817
MATRIMONY,0.18,26.97,60.2,25.48,20260817
MAWANASUG,1.78,,59.8,27.24,20260817
MAXESTATES,7.16,16.07,51.7,11.47,20260817
MAXHEALTH,1.25,-5.83,51.1,-7.0,20260817
MAXIND,0.35,-7.01,56.5,-8.47,20260817
MAYURUNIQ,1.05,-8.17,61.1,-8.82,20260817
MAZDOCK,0.67,11.6,31.2,5.25,20260817
MBAPL,0.83,27.94,62.2,21.95,20260817
MBEL,0.97,-11.03,40.0,-6.08,20260817
MBLINFRA,0.2,,73.4,-0.81,20260817
MCCHRLS-B,0.57,-0.5,77.6,-2.4,20260817
MCL,2.21,15.59,40.7,7.89,20260817
MCLEODRUSS,0.47,,61.7,14.21,20260817
MCLOUD,1.87,-5.11,41.1,-5.91,20260817
MCX,0.56,6.95,43.3,4.75,20260817
MEDANTA,0.22,8.99,55.9,5.4,20260817
MEDIASSIST,1.07,-1.12,59.0,-4.17,20260817
MEDICAMEQ,3.62,-5.04,71.1,-7.82,20260817
MEDICO,0.44,16.66,43.6,4.26,20260817
MEDPLUS,0.32,-16.08,67.0,-15.76,20260817
MEESHO,0.47,7.59,52.1,5.17,20260817
MEGASTAR,0.24,-2.05,54.1,-7.74,20260817
MEIL,0.21,,75.1,4.23,20260817
MENNPIS,0.45,2.56,55.8,4.62,20260817
MERCANTILE,0.57,3.39,70.5,-1.21,20260817
MERCURYEV,1.4,,70.9,,20260817
METROBRAND,0.41,-5.78,68.4,-7.55,20260817
METROGLOBL,13.23,21.11,68.3,17.26,20260817
METROPOLIS,0.79,-2.02,54.4,-1.19,20260817
MFML,0.22,2.61,72.6,-8.79,20260817
MFSL,0.81,2.35,49.0,-0.09,20260817
MGL,0.86,4.21,59.5,0.17,20260817
MHLXMIRU,0.48,38.02,66.5,23.62,20260817
MHRIL,0.38,0.55,55.5,-1.8,20260817
MIDHANI,1.42,6.74,29.2,2.11,20260817
MIDWESTLTD,1.72,-11.86,49.7,-11.35,20260817
MINDACORP,0.88,8.95,38.3,5.67,20260817
MINDTECK,0.45,-12.06,47.7,-12.47,20260817
MIRZAINT,1.35,-12.67,60.2,-7.96,20260817
MITTAL,1.97,-0.46,71.5,-5.26,20260817
MKPL,0.75,-6.5,73.0,-9.07,20260817
MMFL,2.37,23.41,54.7,21.32,20260817
MMP,1.04,25.84,55.6,21.37,20260817
MMTC,0.46,2.16,40.8,-3.17,20260817
MMWL,0.17,,81.9,,20260817
MOBIKWIK,0.3,-5.52,37.3,-0.64,20260817
MODIRUBBER,5.49,-6.2,64.5,-7.33,20260817
MODIS,1.34,23.18,57.7,13.6,20260817
MODTHREAD,18.25,26.65,53.1,22.56,20260817
MOHITIND,0.17,2.86,70.2,-1.65,20260817
MOIL,0.21,2.75,43.6,-2.52,20260817
MOKSH,1.46,-2.78,61.6,-5.38,20260817
MOL,0.97,37.21,37.4,22.49,20260817
MOLDTKPAC,0.43,0.51,56.9,-1.26,20260817
MONARCH,0.15,10.11,42.4,7.68,20260817
MONEYBOXX,0.16,-2.54,78.4,-9.48,20260817
MONTECARLO,1.05,0.42,63.2,-2.33,20260817
MOREPENLAB,1.64,50.43,28.0,49.08,20260817
MOSCHIP,0.67,-11.72,38.8,-2.72,20260817
MOTHERSON,0.35,19.76,52.4,12.71,20260817
MOTILALOFS,3.53,2.78,41.7,4.17,20260817
MOTISONS,2.6,20.24,23.4,16.89,20260817
MPHASIS,0.61,9.49,49.2,7.02,20260817
MPSLTD,0.11,39.43,50.6,26.27,20260817
MRF,0.48,3.98,44.0,1.45,20260817
MRPL,0.86,4.97,23.1,8.94,20260817
MSPL,0.82,-4.54,64.5,-10.86,20260817
MSTCLTD,3.29,6.15,45.0,3.44,20260817
MSUMI,0.5,4.36,56.3,1.23,20260817
MTNL,6.1,-3.07,42.6,-6.14,20260817
MUFIN,0.69,9.51,34.8,4.86,20260817
MUFTI,1.59,-7.02,61.0,-9.66,20260817
MUKANDLTD,0.33,-4.71,48.7,-1.51,20260817
MUKKA,2.34,22.1,45.8,16.65,20260817
MUNJALAU,2.37,15.46,23.2,17.75,20260817
MUNJALSHOW,0.67,3.58,52.6,2.47,20260817
MURUDCERA,0.43,0.93,82.1,-2.77,20260817
MUTHOOTCAP,0.41,13.43,61.0,16.86,20260817
MUTHOOTFIN,0.65,-0.82,58.6,-4.15,20260817
MUTHOOTMF,0.34,-11.94,48.5,-5.87,20260817
MVELECTRO,0.12,,25.5,,20260817
MVGJL,1.46,-2.45,54.2,-2.32,20260817
MWL,0.32,14.39,43.2,7.69,20260817
NACLIND,0.78,-17.24,44.2,-10.97,20260817
NAGREEKCAP,0.21,,81.4,-3.29,20260817
NAGREEKEXP,2.85,3.56,49.1,-1.06,20260817
NAHARCAP,0.13,5.56,72.0,1.24,20260817
NAHARINDUS,2.87,3.03,72.5,-0.63,20260817
NAHARPOLY,0.12,-2.91,69.6,-6.78,20260817
NAHARSPING,0.54,,68.5,26.15,20260817
NAM-INDIA,1.05,7.22,53.3,3.32,20260817
NARMADA,0.27,-59.18,32.5,-17.29,20260817
NATCAPSUQ,0.36,7.44,73.5,-1.39,20260817
NATCOPHARM,1.88,-5.14,37.3,-3.08,20260817
NATHBIOGEN,0.32,-0.09,82.7,-5.42,20260817
NATIONALUM,1.13,12.11,38.8,7.26,20260817
NATIONSTD,0.21,-64.82,100.0,-79.22,20260817
NAUKRI,1.3,15.1,53.3,19.02,20260817
NAVA,1.6,-2.49,44.7,-4.94,20260817
NAVINFLUOR,0.35,9.32,47.6,6.69,20260817
NAVKARCORP,0.34,-12.16,57.5,-5.21,20260817
NAVNETEDUL,0.2,-7.21,66.1,-4.74,20260817
NAZARA,0.2,16.42,52.7,12.34,20260817
NBCC,1.11,-4.99,39.0,-9.97,20260817
NBIFIN,0.08,-4.4,59.3,1.4,20260817
NCC,0.84,1.71,59.1,-4.37,20260817
NCLIND,0.63,-5.92,70.7,-6.86,20260817
NDGL,3.18,2.77,78.2,6.4,20260817
NDL,0.84,-0.55,66.1,-3.32,20260817
NDLVENTURE,0.51,-0.76,70.2,-4.25,20260817
NDRAUTO,0.72,-0.32,51.8,-2.91,20260817
NDTV,0.65,-2.48,51.9,-3.82,20260817
NEAGI,10.12,11.19,89.9,4.69,20260817
NECLIFE,0.55,,,-2.09,20260817
NELCAST,0.12,-9.17,60.5,-11.24,20260817
NELCO,1.93,27.67,29.8,20.12,20260817
NEOGEN,1.41,0.56,43.0,10.86,20260817
NEPHROPLUS,0.65,12.03,54.2,1.59,20260817
NESCO,0.64,-0.73,57.5,-3.35,20260817
NESTLEIND,0.66,6.04,58.7,1.22,20260817
NETWEB,1.0,23.87,22.8,13.9,20260817
NETWORK18,0.87,-1.72,49.5,-6.34,20260817
NEULANDLAB,0.87,28.96,44.6,23.78,20260817
NEWGEN,0.24,1.46,38.4,4.3,20260817
NEXTMEDIA,1.32,1.01,86.0,-0.76,20260817
NFL,0.8,0.32,45.1,-2.77,20260817
NGLFINE,5.58,-3.03,49.6,-7.66,20260817
NH,0.52,-7.37,63.9,-6.06,20260817
NHPC,0.26,-0.16,50.4,-1.79,20260817
NIACL,0.72,5.86,25.5,4.29,20260817
NIBE,2.88,-4.27,52.6,-6.84,20260817
NIBL,0.21,-2.06,53.7,0.18,20260817
NIITLTD,0.58,-0.3,45.0,-1.91,20260817
NIITMTS,0.63,2.52,51.0,1.45,20260817
NILAINFRA,1.63,-0.4,71.5,-6.77,20260817
NILASPACES,4.87,7.49,50.7,3.79,20260817
NILE,0.71,-19.65,63.1,-15.6,20260817
NILKAMAL,0.2,37.73,46.7,21.46,20260817
NIMBSPROJ,0.27,,58.7,,20260817
NINSYS,0.41,,67.8,83.3,20260817
NIPPOBATRY,1.05,2.08,69.1,-2.23,20260817
NIRAJ,0.78,,,3.81,20260817
NIRAJISPAT,,,,2.17,20260817
NIRLON,1.12,3.01,59.3,-0.19,20260817
NITCO,2.44,-14.84,57.6,-11.37,20260817
NITINSPIN,0.72,3.52,53.7,0.53,20260817
NITIRAJ,0.5,-1.83,63.6,1.57,20260817
NITTAGELA,0.62,-15.9,64.6,-7.3,20260817
NIVABUPA,0.31,-1.85,58.3,-3.36,20260817
NKIND,0.03,0.33,69.5,-3.01,20260817
NLCINDIA,0.61,-4.9,51.8,-8.94,20260817
NMDC,2.33,4.46,51.5,-0.12,20260817
NOCIL,0.17,1.27,54.0,-3.06,20260817
NORBTEAEXP,1.17,-1.32,73.3,-5.31,20260817
NORTHARC,0.53,-8.56,57.4,-5.77,20260817
NOVARTIND,0.59,2.33,58.7,4.92,20260817
NPST,1.33,2.1,53.5,2.63,20260817
NRAIL,0.33,22.1,66.7,10.55,20260817
NRBBEARING,1.7,17.71,42.6,12.52,20260817
NSIL,0.77,5.5,63.6,0.56,20260817
NSLNISP,4.49,-1.01,47.4,-5.65,20260817
NTPC,0.86,1.18,60.5,-3.76,20260817
NTPCGREEN,0.2,1.79,53.3,-2.19,20260817
NUCLEUS,0.51,-2.8,52.8,-3.67,20260817
NUVAMA,1.1,-3.47,56.3,-2.25,20260817
NUVOCO,0.22,-4.73,50.0,0.26,20260817
NYKAA,0.45,3.45,62.5,4.35,20260817
OAL,0.33,0.56,62.2,0.27,20260817
OBCL,0.29,5.28,93.7,-1.35,20260817
OBEROIRLTY,4.96,6.52,42.2,7.37,20260817
ODIGMA,0.41,,80.4,-5.23,20260817
OFSS,0.31,3.69,46.7,8.05,20260817
OIL,0.79,13.3,43.8,8.17,20260817
OLAELEC,0.79,1.07,24.1,-4.69,20260817
OLECTRA,0.83,-1.63,41.8,-4.53,20260817
OMAXAUTO,0.19,,57.1,56.62,20260817
OMAXE,1.4,7.48,36.2,18.46,20260817
OMINFRAL,0.37,2.93,52.6,-0.89,20260817
OMNI,0.17,1.67,22.7,3.25,20260817
OMPOWER,0.29,0.3,51.6,-3.3,20260817
ONEPOINT,0.41,7.09,49.2,0.56,20260817
ONESOURCE,0.43,-2.75,54.4,-4.37,20260817
ONGC,2.04,-0.58,60.9,-2.19,20260817
ONIDA,0.86,,70.8,,20260817
ONWARDTEC,0.28,2.27,58.0,2.84,20260817
OPTIEMUS,0.28,-2.18,52.8,4.01,20260817
ORCHASP,1.09,-18.13,74.3,-20.0,20260817
ORCHPHARMA,2.55,-4.7,44.2,0.71,20260817
ORICONENT,9.7,-7.76,76.2,-3.96,20260817
ORIENTALTL,0.72,-6.07,68.6,-10.3,20260817
ORIENTBELL,0.64,14.29,57.0,8.27,20260817
ORIENTCEM,0.6,-1.07,53.4,-2.91,20260817
ORIENTCER,2.15,7.37,70.5,8.33,20260817
ORIENTELEC,0.07,10.89,52.0,5.35,20260817
ORIENTHOT,0.18,-1.4,59.6,-5.12,20260817
ORIENTPPR,0.35,3.83,72.7,-1.72,20260817
ORIENTTECH,0.19,-3.67,42.3,-1.7,20260817
ORISSAMINE,0.2,33.88,30.6,20.35,20260817
ORKLAINDIA,1.25,-5.09,67.0,-7.65,20260817
ORTINGLOBE,0.11,,83.8,,20260817
OSWALAGRO,0.52,,80.4,-11.26,20260817
OSWALGREEN,0.22,-0.62,61.9,-5.05,20260817
OSWALPUMPS,1.9,-21.89,50.6,-19.88,20260817
OSWALSEEDS,13.76,31.83,77.6,26.18,20260817
PACEDIGITK,0.64,-11.37,45.0,-10.21,20260817
PAGEIND,1.68,-4.89,40.2,-6.5,20260817
PAISALO,0.9,-5.62,49.7,0.58,20260817
PAKKA,12.99,28.8,54.6,17.64,20260817
PALASHSECU,0.53,0.89,69.9,-2.04,20260817
PANACEABIO,0.81,-23.97,51.7,-16.92,20260817
PANAMAPET,0.89,17.14,25.6,10.5,20260817
PANSARI,0.21,-8.88,68.5,-1.28,20260817
PAR,0.78,8.96,63.0,6.42,20260817
PARACABLES,1.48,-1.88,46.2,-4.36,20260817
PARADEEP,0.12,6.45,43.8,4.89,20260817
PARAGMILK,1.16,-5.61,57.5,-8.24,20260817
PARAS,0.89,18.77,31.6,12.11,20260817
PARASPETRO,0.32,16.07,72.0,6.48,20260817
PARKHOSPS,0.65,-2.03,56.8,-2.21,20260817
PARKHOTELS,1.57,-6.7,61.9,-4.58,20260817
PASHUPATI,0.05,0.15,43.5,-2.21,20260817
PATANJALI,1.42,4.69,33.1,-7.97,20260817
PATELENG,0.54,-3.21,52.7,-5.26,20260817
PATELRMART,1.54,5.23,50.8,4.19,20260817
PAUSHAKLTD,0.21,33.35,46.5,29.86,20260817
PAVNAIND,0.56,,70.9,6.17,20260817
PAYTM,0.44,18.87,38.5,23.37,20260817
PCBL,0.15,-0.32,51.7,0.07,20260817
PCJEWELLER,0.48,-2.37,25.2,3.93,20260817
PDMJEPAPER,0.23,8.18,47.9,0.47,20260817
PDSL,0.36,4.83,54.9,6.52,20260817
PEARLPOLY,0.12,,68.3,-4.68,20260817
PENIND,0.83,-8.63,54.9,-7.47,20260817
PERSISTENT,0.66,12.86,46.8,9.37,20260817
PETRONET,0.58,4.91,47.8,1.08,20260817
PFC,0.94,-3.94,65.2,-9.89,20260817
PFIZER,1.45,5.56,55.6,3.74,20260817
PFOCUS,0.5,-5.63,49.8,-12.81,20260817
PFS,0.79,-3.46,71.2,-6.04,20260817
PGEL,0.47,1.65,35.4,7.15,20260817
PGHH,0.71,-1.98,65.1,-5.32,20260817
PGHL,0.4,-12.08,66.7,-8.8,20260817
PGIL,0.36,18.85,45.6,17.9,20260817
PHOENIXLTD,1.19,-4.73,60.0,-1.21,20260817
PICCADIL,1.47,-3.32,40.7,4.1,20260817
PIDILITIND,0.54,9.78,66.2,4.45,20260817
PIGL,1.15,-4.63,57.9,-4.23,20260817
PIIND,0.43,-3.3,42.8,-8.34,20260817
PILANIINVS,1.37,3.53,56.3,1.82,20260817
PILITA,0.75,,81.3,5.41,20260817
PINELABS,0.33,7.31,36.7,6.45,20260817
PIONEEREMB,0.3,2.95,84.7,-2.98,20260817
PIRAMALFIN,0.7,-2.74,52.1,-1.37,20260817
PITTIENG,1.61,13.03,47.3,8.93,20260817
PIXTRANS,0.29,7.9,37.3,10.26,20260817
PKTEA,14.18,-0.18,96.8,-4.52,20260817
PLASTIBLEN,0.5,-2.43,52.6,3.43,20260817
PLATIND,0.61,-2.68,51.7,-5.49,20260817
PLAZACABLE,1.1,,77.1,36.31,20260817
PML,0.7,8.02,91.0,1.85,20260817
PNB,0.87,14.27,44.8,7.16,20260817
PNBGILTS,1.3,-9.27,55.1,-7.71,20260817
PNBHOUSING,0.25,7.49,46.8,7.63,20260817
PNC,0.63,-7.76,80.6,-11.19,20260817
PNCINFRA,0.56,-9.06,49.3,-6.68,20260817
PNGJL,0.28,5.35,59.6,2.53,20260817
PNGSREVA,0.51,46.34,26.6,33.17,20260817
POCL,0.48,-61.99,48.1,-8.1,20260817
PODDARMENT,0.51,9.3,55.9,0.6,20260817
POKARNA,0.41,-2.96,47.8,-2.77,20260817
POLICYBZR,0.82,13.47,54.2,7.63,20260817
POLYCAB,0.88,4.45,51.8,-0.03,20260817
POLYMED,0.87,3.4,46.7,4.57,20260817
POLYPLEX,1.29,16.59,49.1,15.67,20260817
PONNIERODE,8.96,9.24,69.6,9.41,20260817
POONAWALLA,0.8,8.13,51.0,9.84,20260817
POWERGRID,0.78,-2.43,62.2,-6.07,20260817
POWERICA,0.61,-2.46,51.7,1.04,20260817
POWERINDIA,0.38,8.45,37.0,5.77,20260817
POWERMECH,0.69,-2.35,53.9,-6.95,20260817
PPLPHARMA,0.36,19.9,34.9,13.0,20260817
PRABHA,1.14,13.22,61.2,7.3,20260817
PRAENG,0.5,4.1,81.8,-2.85,20260817
PRAJIND,0.91,-3.41,38.7,-1.15,20260817
PRAKASH,4.5,9.33,47.7,1.28,20260817
PRAKASHSTL,1.47,0.56,74.5,-4.33,20260817
PRAVEG,0.91,-1.73,55.6,0.45,20260817
PRAXIS,1.99,,74.3,-12.26,20260817
PRECAM,0.64,-3.26,51.0,-6.82,20260817
PRECOT,1.48,-13.18,59.4,-9.33,20260817
PRECWIRE,0.51,23.23,29.8,14.98,20260817
PREMCO,0.32,4.66,91.0,1.75,20260817
PREMEXPLN,1.9,3.81,67.3,-3.48,20260817
PREMIERENE,0.46,-4.96,39.4,-3.35,20260817
PREMIERPOL,6.46,9.77,42.0,24.5,20260817
PRESTIGE,1.72,-0.26,49.8,0.28,20260817
PRICOLLTD,0.69,31.86,46.5,26.07,20260817
PRIMESECU,0.4,5.71,78.4,-0.68,20260817
PRIMO,1.47,1.12,61.5,-2.96,20260817
PRINCEPIPE,0.87,8.68,53.8,3.98,20260817
PRIVISCL,1.62,-4.33,66.6,-3.5,20260817
PROSTARM,0.4,7.85,50.8,0.79,20260817
PROTEAN,0.48,-4.1,58.8,-7.82,20260817
PROZONER,1.33,5.83,71.0,-2.99,20260817
PRSMJOHNSN,0.13,-2.36,40.3,-6.95,20260817
PRUDENT,0.42,19.33,58.1,9.71,20260817
PSB,1.31,-1.44,49.1,-2.35,20260817
