symbol,close_now,high_52w,low_52w,prox_52w_high,prox_52w_low,dma_20,dma_50,dma_200,vs_dma_20,vs_dma_50,vs_dma_200,trend_signal,vol_20d_avg,rsi,rsi_signal,macd_line,macd_signal,macd_hist,macd_cross,atr_14,atr_pct,bb_upper,bb_lower,bb_mid,bb_pct,bb_width,bb_signal,bb_squeeze,obv_signal,adx,adx_plus_di,adx_minus_di,adx_strength,adx_direction,as_of_date
MERCANTILE,24.5,31.9,19.0,-23.2,28.95,24.43,24.8,,0.29,-1.21,,INSUFFICIENT_DATA,7180.0,49.63,NEUTRAL,-0.1057,-0.1141,0.0083,BULLISH_CROSS,1.6692,6.81,25.46,23.41,24.43,53.36,8.39,SQUEEZE,True,ACCUMULATING,11.32,13.19,10.95,RANGING,BULLISH,2026-08-17
MERCURYEV,35.59,36.95,33.9,-3.68,4.99,,,,,,,INSUFFICIENT_DATA,150083.0,,,,,,,,,,,,,,,False,,,,,,,2026-08-17
METROBRAND,942.8,1340.4,883.0,-29.66,6.77,1002.75,1019.79,1046.93,-5.98,-7.55,-9.95,DOWNTREND,58769.0,28.92,OVERSOLD,-25.9765,-17.8153,-8.1612,BEARISH,26.3598,2.8,1090.09,915.41,1002.75,15.68,17.42,MID_BAND,False,DISTRIBUTING,30.05,9.05,25.94,STRONG_TREND,BEARISH,2026-08-17
METROGLOBL,154.74,165.0,110.0,-6.22,40.67,133.4,131.96,,16.0,17.26,,INSUFFICIENT_DATA,8670.0,71.93,OVERBOUGHT,3.0247,1.0372,1.9874,BULLISH,8.2231,5.31,146.31,120.49,133.4,132.63,19.36,NEAR_UPPER,False,ACCUMULATING,37.65,33.69,5.7,STRONG_TREND,BULLISH,2026-08-17
METROPOLIS,550.75,609.05,412.25,-9.57,33.6,571.51,557.36,500.35,-3.63,-1.19,10.07,CONSOLIDATING,248150.0,44.09,BEARISH,-1.7466,2.9748,-4.7215,BEARISH,19.4883,3.54,598.94,544.08,571.51,12.15,9.6,MID_BAND,False,DISTRIBUTING,13.89,14.03,22.02,RANGING,BEARISH,2026-08-17
MFML,18.67,36.99,17.3,-49.53,7.92,19.04,20.47,23.54,-1.94,-8.79,-20.69,DOWNTREND,4951.0,42.66,BEARISH,-0.3542,-0.4607,0.1065,BULLISH,1.2625,6.76,19.9,18.18,19.04,28.47,9.01,SQUEEZE,True,ACCUMULATING,20.13,15.8,12.16,MODERATE_TREND,BULLISH,2026-08-17
MFSL,1571.7,1892.5,1433.6,-16.95,9.63,1518.88,1573.09,1644.66,3.48,-0.09,-4.44,DOWNTREND,861608.0,56.87,BULLISH,-11.0027,-19.1099,8.1072,BULLISH,40.6028,2.58,1554.48,1483.27,1518.88,124.19,4.69,NEAR_UPPER,False,DISTRIBUTING,17.37,21.18,16.85,RANGING,BULLISH,2026-08-17
MGL,1129.1,1378.0,900.0,-18.06,25.46,1110.2,1127.2,1108.2,1.7,0.17,1.89,STRONG_UPTREND,341804.0,53.03,NEUTRAL,4.1716,0.9512,3.2204,BULLISH,31.2617,2.77,1154.34,1066.07,1110.2,71.41,7.95,MID_BAND,False,ACCUMULATING,27.3,22.85,10.17,MODERATE_TREND,BULLISH,2026-08-17
MHLXMIRU,186.27,244.65,105.53,-23.86,76.51,153.71,150.68,180.99,21.18,23.62,2.92,STRONG_UPTREND,34026.0,73.57,OVERBOUGHT,9.6862,4.6918,4.9944,BULLISH,8.8018,4.73,188.57,118.86,153.71,96.71,45.35,NEAR_UPPER,False,ACCUMULATING,32.33,48.87,10.37,STRONG_TREND,BULLISH,2026-08-17
MHRIL,224.89,368.9,207.9,-39.04,8.17,223.25,229.01,265.4,0.73,-1.8,-15.26,DOWNTREND,172147.0,48.54,NEUTRAL,-0.3618,-0.8342,0.4724,BULLISH,6.7323,2.99,235.27,211.22,223.25,56.83,10.78,MID_BAND,False,ACCUMULATING,19.04,25.56,15.94,RANGING,BULLISH,2026-08-17
MIDHANI,428.6,456.6,266.65,-6.13,60.74,411.71,419.75,368.26,4.1,2.11,16.39,STRONG_UPTREND,1699092.0,54.16,NEUTRAL,4.2899,1.9262,2.3636,BULLISH,19.0428,4.44,446.18,377.23,411.71,74.5,16.75,MID_BAND,False,ACCUMULATING,17.21,19.53,15.1,RANGING,BULLISH,2026-08-17
MIDWESTLTD,1110.0,1859.9,1048.5,-40.32,5.87,1196.53,1252.11,1325.66,-7.23,-11.35,-16.27,DOWNTREND,14631.0,26.3,OVERSOLD,-38.8743,-30.1169,-8.7574,BEARISH,43.5439,3.92,1289.31,1103.75,1196.53,3.37,15.51,NEAR_LOWER,False,DISTRIBUTING,36.11,10.75,29.0,STRONG_TREND,BEARISH,2026-08-17
MINDACORP,725.15,769.0,468.5,-5.7,54.78,706.26,686.21,590.67,2.67,5.67,22.77,STRONG_UPTREND,664744.0,57.76,BULLISH,13.3336,13.8219,-0.4883,BEARISH,26.0472,3.59,752.08,660.45,706.27,70.61,12.97,MID_BAND,False,ACCUMULATING,28.25,21.41,8.77,MODERATE_TREND,BULLISH,2026-08-17
MINDTECK,175.45,307.68,145.13,-42.98,20.89,190.85,200.44,203.36,-8.07,-12.47,-13.72,DOWNTREND,49848.0,25.88,OVERSOLD,-6.1412,-4.5301,-1.6111,BEARISH,6.7016,3.82,205.01,176.7,190.85,-4.41,14.83,NEAR_LOWER,False,DISTRIBUTING,18.48,8.75,25.77,RANGING,BEARISH,2026-08-17
MIRZAINT,31.44,44.0,24.95,-28.55,26.01,33.94,34.16,34.38,-7.37,-7.96,-8.55,DOWNTREND,200434.0,32.37,BEARISH,-0.89,-0.5356,-0.3544,BEARISH,1.3364,4.25,37.0,30.88,33.94,9.2,18.04,NEAR_LOWER,False,DISTRIBUTING,20.49,13.14,23.85,MODERATE_TREND,BEARISH,2026-08-17
MITTAL,0.9,1.82,0.7,-50.55,28.57,0.91,0.95,1.02,-1.1,-5.26,-11.76,DOWNTREND,370727.0,43.84,BEARISH,-0.0107,-0.0131,0.0024,BULLISH,0.0315,3.5,0.94,0.88,0.91,35.71,6.16,MID_BAND,False,DISTRIBUTING,19.39,12.86,15.26,RANGING,BEARISH,2026-08-17
MKPL,4.11,8.85,3.56,-53.56,15.45,4.19,4.52,5.21,-1.91,-9.07,-21.11,DOWNTREND,99168.0,33.3,BEARISH,-0.1063,-0.1217,0.0154,BULLISH,0.1492,3.63,4.27,4.1,4.19,4.84,4.1,NEAR_LOWER,False,DISTRIBUTING,35.53,9.63,21.06,STRONG_TREND,BEARISH,2026-08-17
MMFL,632.3,664.0,288.1,-4.77,119.47,582.17,521.2,443.18,8.61,21.32,42.67,STRONG_UPTREND,191039.0,64.76,BULLISH,31.017,29.3786,1.6384,BULLISH,29.6182,4.68,662.53,501.81,582.17,81.19,27.61,MID_BAND,False,ACCUMULATING,40.23,27.97,16.86,STRONG_TREND,BULLISH,2026-08-17
MMP,350.0,361.6,185.2,-3.21,88.98,309.52,288.37,260.03,13.08,21.37,34.6,STRONG_UPTREND,92830.0,73.87,OVERBOUGHT,17.3211,13.6373,3.6838,BULLISH,16.1875,4.62,363.5,255.53,309.52,87.49,34.88,MID_BAND,False,ACCUMULATING,56.61,31.05,5.01,STRONG_TREND,BULLISH,2026-08-17
MMTC,63.81,78.35,50.1,-18.56,27.37,62.99,65.9,63.04,1.3,-3.17,1.22,CONSOLIDATING,1374238.0,48.69,NEUTRAL,-0.1866,-0.5017,0.3151,BULLISH,1.6771,2.63,65.78,60.21,62.99,64.69,8.84,MID_BAND,False,ACCUMULATING,10.69,18.69,18.64,RANGING,BULLISH,2026-08-17
MMWL,15.21,16.34,9.02,-6.92,68.63,13.67,,,11.27,,,INSUFFICIENT_DATA,226809.0,60.76,BULLISH,,,,,1.3252,8.71,17.88,9.45,13.67,68.3,61.66,MID_BAND,False,ACCUMULATING,,,,,,2026-08-17
MOBIKWIK,202.83,334.0,151.46,-39.27,33.92,204.71,204.13,208.9,-0.92,-0.64,-2.91,DOWNTREND,1940910.0,47.32,NEUTRAL,-0.4536,-0.0375,-0.4161,BEARISH,7.4258,3.66,212.67,196.76,204.71,38.16,7.77,SQUEEZE,True,ACCUMULATING,22.3,24.76,18.47,MODERATE_TREND,BULLISH,2026-08-17
MODIRUBBER,117.1,167.5,98.41,-30.09,18.99,122.55,126.36,122.96,-4.45,-7.33,-4.77,DOWNTREND,2513.0,36.79,BEARISH,-2.2273,-1.864,-0.3633,BEARISH,5.3845,4.6,128.32,116.79,122.55,2.73,9.41,NEAR_LOWER,False,DISTRIBUTING,18.5,16.08,32.96,RANGING,BEARISH,2026-08-17
MODIS,415.6,429.05,276.0,-3.13,50.58,399.52,365.84,,4.02,13.6,,INSUFFICIENT_DATA,116134.0,64.63,BULLISH,11.8055,12.4597,-0.6541,BEARISH,17.254,4.15,415.53,383.51,399.52,100.23,8.01,NEAR_UPPER,True,ACCUMULATING,40.12,33.21,12.01,STRONG_TREND,BULLISH,2026-08-17
MODTHREAD,57.64,61.5,35.61,-6.28,61.86,48.19,47.03,45.37,19.61,22.56,27.04,STRONG_UPTREND,10525.0,70.17,OVERBOUGHT,0.7853,0.3186,0.4668,BULLISH_CROSS,3.0425,5.28,53.55,42.84,48.19,138.22,22.22,NEAR_UPPER,False,ACCUMULATING,22.51,43.97,13.72,MODERATE_TREND,BULLISH,2026-08-17
MOHITIND,23.22,39.89,18.6,-41.79,24.84,24.12,23.61,25.07,-3.73,-1.65,-7.38,DOWNTREND,76818.0,44.76,BEARISH,0.3612,0.4923,-0.1311,BEARISH_CROSS,1.834,7.9,27.61,20.63,24.12,37.09,28.94,MID_BAND,False,DISTRIBUTING,20.34,21.51,20.76,MODERATE_TREND,BULLISH,2026-08-17
MOIL,272.8,404.9,242.35,-32.63,12.56,276.64,279.85,309.18,-1.39,-2.52,-11.77,DOWNTREND,2322507.0,43.02,BEARISH,-0.3632,-0.2104,-0.1528,BEARISH_CROSS,7.4125,2.72,289.72,263.56,276.64,35.32,9.46,MID_BAND,False,ACCUMULATING,25.03,24.67,19.61,MODERATE_TREND,BULLISH,2026-08-17
MOKSH,10.73,16.65,8.11,-35.56,32.31,10.59,11.34,12.56,1.32,-5.38,-14.57,DOWNTREND,74056.0,47.24,NEUTRAL,-0.1954,-0.2605,0.065,BULLISH,0.5133,4.78,11.34,9.84,10.59,59.44,14.21,MID_BAND,False,DISTRIBUTING,19.34,19.04,17.59,RANGING,BULLISH,2026-08-17
MOL,62.97,87.75,36.5,-28.24,72.52,56.05,51.41,54.45,12.35,22.49,15.65,STRONG_UPTREND,3785348.0,72.88,OVERBOUGHT,2.6137,1.8738,0.7399,BULLISH,2.8664,4.55,61.89,50.2,56.05,109.21,20.86,NEAR_UPPER,False,ACCUMULATING,35.3,39.28,10.71,STRONG_TREND,BULLISH,2026-08-17
MOLDTKPAC,680.15,870.5,464.9,-21.87,46.3,686.41,688.8,610.49,-0.91,-1.26,11.41,CONSOLIDATING,121094.0,47.5,NEUTRAL,-0.377,-0.9476,0.5706,BULLISH,22.9665,3.38,720.19,652.64,686.41,40.72,9.84,MID_BAND,False,DISTRIBUTING,18.52,19.69,13.79,RANGING,BULLISH,2026-08-17
MONARCH,389.05,406.95,235.45,-4.4,65.24,381.95,361.31,311.82,1.86,7.68,24.77,STRONG_UPTREND,442270.0,59.23,BULLISH,7.6896,9.0998,-1.4102,BEARISH,14.6869,3.78,409.15,354.75,381.95,63.05,14.24,MID_BAND,False,ACCUMULATING,26.54,26.56,12.51,MODERATE_TREND,BULLISH,2026-08-17
MONEYBOXX,57.19,91.5,44.02,-37.5,29.92,59.43,63.18,65.23,-3.77,-9.48,-12.33,DOWNTREND,19978.0,38.72,BEARISH,-1.0094,-1.0083,-0.0011,BEARISH_CROSS,3.3864,5.92,63.2,55.65,59.43,20.42,12.72,MID_BAND,False,ACCUMULATING,25.02,13.01,15.89,MODERATE_TREND,BEARISH,2026-08-17
MONTECARLO,524.3,860.95,464.0,-39.1,13.0,521.71,536.8,586.38,0.5,-2.33,-10.59,DOWNTREND,74877.0,50.5,NEUTRAL,-9.0212,-9.4066,0.3854,BULLISH_CROSS,14.6579,2.8,555.36,488.07,521.71,53.84,12.9,MID_BAND,False,DISTRIBUTING,16.92,19.4,17.91,RANGING,BULLISH,2026-08-17
MOREPENLAB,89.82,90.49,33.05,-0.74,171.77,67.37,60.25,45.63,33.32,49.08,96.84,STRONG_UPTREND,27797209.0,77.09,OVERBOUGHT,7.411,5.4382,1.9728,BULLISH,4.8178,5.36,92.64,42.1,67.37,94.42,75.02,NEAR_UPPER,False,ACCUMULATING,44.19,44.0,11.32,STRONG_TREND,BULLISH,2026-08-17
MOSCHIP,211.72,288.45,146.8,-26.6,44.22,214.06,217.64,201.57,-1.09,-2.72,5.04,CONSOLIDATING,2515515.0,47.54,NEUTRAL,-3.9743,-3.8601,-0.1142,BEARISH,7.8504,3.71,240.27,187.84,214.06,45.54,24.49,MID_BAND,False,DISTRIBUTING,16.22,21.68,19.98,RANGING,BULLISH,2026-08-17
MOTHERSON,168.06,172.0,91.1,-2.29,84.48,155.73,149.11,128.02,7.92,12.71,31.28,STRONG_UPTREND,22026160.0,71.83,OVERBOUGHT,6.4856,5.0979,1.3877,BULLISH,4.5101,2.68,175.89,135.57,155.73,80.58,25.89,MID_BAND,False,ACCUMULATING,32.24,30.76,11.11,STRONG_TREND,BULLISH,2026-08-17
MOTILALOFS,955.0,1097.1,614.9,-12.95,55.31,888.49,916.77,838.01,7.49,4.17,13.96,STRONG_UPTREND,1694217.0,64.16,BULLISH,-2.1658,-10.2343,8.0685,BULLISH,27.3763,2.87,961.02,815.95,888.49,95.85,16.33,NEAR_UPPER,False,DISTRIBUTING,28.1,29.12,17.24,MODERATE_TREND,BULLISH,2026-08-17
MOTISONS,16.54,20.45,10.62,-19.12,55.74,14.34,14.15,13.98,15.34,16.89,18.31,STRONG_UPTREND,50960257.0,71.56,OVERBOUGHT,0.3946,0.156,0.2386,BULLISH,0.8456,5.11,16.04,12.65,14.34,114.86,23.61,NEAR_UPPER,False,ACCUMULATING,28.31,36.71,9.72,MODERATE_TREND,BULLISH,2026-08-17
MPHASIS,2510.0,3037.2,2013.0,-17.36,24.69,2415.42,2345.32,2462.6,3.92,7.02,1.92,STRONG_UPTREND,633241.0,59.56,BULLISH,58.2491,47.6792,10.5699,BULLISH,76.0383,3.03,2607.91,2222.93,2415.42,74.57,15.94,MID_BAND,False,ACCUMULATING,13.07,25.48,19.19,RANGING,BULLISH,2026-08-17
MPSLTD,2814.8,2979.0,1336.1,-5.51,110.67,2723.58,2229.11,1901.17,3.35,26.27,48.06,STRONG_UPTREND,172897.0,63.42,BULLISH,180.196,202.4769,-22.2809,BEARISH,118.4662,4.21,3061.89,2385.27,2723.58,63.48,24.84,MID_BAND,False,ACCUMULATING,65.49,28.32,9.53,STRONG_TREND,BULLISH,2026-08-17
MRF,133015.0,163600.0,122000.0,-18.69,9.03,132948.5,131112.1,137909.38,0.05,1.45,-3.55,DOWNTREND,4262.0,51.92,NEUTRAL,251.2019,474.4236,-223.2218,BEARISH,2114.6622,1.59,135509.8,130387.2,132948.5,51.3,3.85,MID_BAND,False,DISTRIBUTING,12.71,25.73,22.92,RANGING,BULLISH,2026-08-17
MRPL,177.15,212.31,120.45,-16.56,47.07,170.51,162.61,166.85,3.89,8.94,6.17,STRONG_UPTREND,12095752.0,57.52,BULLISH,3.3457,3.1212,0.2245,BULLISH,7.5404,4.26,181.83,159.19,170.51,79.33,13.28,MID_BAND,False,ACCUMULATING,23.44,26.84,15.8,MODERATE_TREND,BULLISH,2026-08-17
MSPL,34.47,46.12,26.25,-25.26,31.31,35.43,38.67,35.57,-2.71,-10.86,-3.09,DOWNTREND,831772.0,41.46,BEARISH,-1.1264,-1.1309,0.0045,BULLISH_CROSS,1.4337,4.16,37.54,33.33,35.43,27.15,11.9,MID_BAND,False,DISTRIBUTING,27.08,17.95,28.89,MODERATE_TREND,BEARISH,2026-08-17
MSTCLTD,653.2,743.9,362.15,-12.19,80.37,601.8,631.46,501.46,8.54,3.44,30.26,STRONG_UPTREND,256471.0,60.66,BULLISH,-2.923,-6.8432,3.9202,BULLISH_CROSS,26.4707,4.05,636.96,566.64,601.8,123.1,11.68,NEAR_UPPER,False,ACCUMULATING,14.27,32.48,17.03,RANGING,BULLISH,2026-08-17
MSUMI,40.33,53.59,35.7,-24.74,12.97,40.75,39.84,41.97,-1.03,1.23,-3.91,DOWNTREND,9588236.0,48.15,NEUTRAL,0.1411,0.2562,-0.1151,BEARISH,1.0699,2.65,41.89,39.61,40.75,31.4,5.59,SQUEEZE,True,DISTRIBUTING,16.22,15.69,16.3,RANGING,BEARISH,2026-08-17
MTNL,27.08,46.44,21.26,-41.69,27.38,27.29,28.85,31.09,-0.77,-6.14,-12.9,DOWNTREND,888478.0,43.1,BEARISH,-0.5104,-0.5224,0.012,BULLISH_CROSS,0.9174,3.39,28.28,26.29,27.29,39.68,7.28,MID_BAND,False,DISTRIBUTING,11.73,30.41,17.55,RANGING,BULLISH,2026-08-17
MUFIN,135.87,139.99,82.99,-2.94,63.72,131.66,129.57,116.9,3.2,4.86,16.23,STRONG_UPTREND,1259465.0,60.06,BULLISH,2.2354,1.9192,0.3162,BULLISH,4.0314,2.97,140.94,122.38,131.66,72.7,14.1,MID_BAND,False,ACCUMULATING,19.16,20.94,15.17,RANGING,BULLISH,2026-08-17
MUFTI,77.21,130.7,63.06,-40.93,22.44,82.5,85.47,87.24,-6.41,-9.66,-11.5,DOWNTREND,114662.0,35.77,BEARISH,-1.5339,-0.981,-0.5528,BEARISH,3.5615,4.61,87.9,77.1,82.5,1.02,13.1,NEAR_LOWER,False,DISTRIBUTING,19.13,12.23,27.67,RANGING,BEARISH,2026-08-17
MUKANDLTD,135.27,154.25,114.31,-12.3,18.34,140.13,137.35,133.22,-3.47,-1.51,1.54,CONSOLIDATING,178121.0,40.95,BEARISH,-0.5029,0.5416,-1.0445,BEARISH,4.2512,3.14,146.45,133.81,140.13,11.58,9.03,MID_BAND,False,DISTRIBUTING,21.12,11.61,22.68,MODERATE_TREND,BEARISH,2026-08-17
MUKKA,27.53,31.23,18.27,-11.85,50.68,23.67,23.6,23.37,16.31,16.65,17.8,STRONG_UPTREND,593972.0,77.64,OVERBOUGHT,0.7276,0.2424,0.4852,BULLISH,1.1874,4.31,26.49,20.86,23.67,118.57,23.76,NEAR_UPPER,False,ACCUMULATING,27.07,35.79,6.78,MODERATE_TREND,BULLISH,2026-08-17
MUNJALAU,119.72,130.6,67.2,-8.33,78.15,104.98,101.67,85.54,14.04,17.75,39.96,STRONG_UPTREND,3992341.0,71.72,OVERBOUGHT,3.7116,1.9614,1.7502,BULLISH,5.4818,4.58,118.11,91.85,104.98,106.13,25.02,NEAR_UPPER,False,ACCUMULATING,41.95,45.43,10.15,STRONG_TREND,BULLISH,2026-08-17
MUNJALSHOW,136.62,150.9,110.3,-9.46,23.86,137.04,133.33,127.82,-0.31,2.47,6.88,UPTREND,106942.0,51.23,NEUTRAL,0.7617,1.0098,-0.2481,BEARISH,4.3523,3.19,142.77,131.32,137.04,46.29,8.36,MID_BAND,False,ACCUMULATING,19.71,26.6,19.01,RANGING,BULLISH,2026-08-17
MURUDCERA,30.49,47.5,25.16,-35.81,21.18,30.84,31.36,32.72,-1.13,-2.77,-6.82,DOWNTREND,21731.0,42.16,BEARISH,-0.1172,-0.1261,0.009,BULLISH,1.0775,3.53,31.7,29.99,30.84,29.5,5.54,MID_BAND,False,ACCUMULATING,9.65,12.4,17.11,RANGING,BEARISH,2026-08-17
MUTHOOTCAP,258.69,303.0,175.25,-14.62,47.61,239.24,221.36,229.15,8.13,16.86,12.89,STRONG_UPTREND,24283.0,69.52,BULLISH,11.7468,10.7664,0.9804,BULLISH,9.4597,3.66,279.02,199.47,239.24,74.44,33.25,MID_BAND,False,ACCUMULATING,40.27,24.77,13.77,STRONG_TREND,BULLISH,2026-08-17
MUTHOOTFIN,2888.5,4149.5,2604.2,-30.39,10.92,2951.98,3013.47,3429.14,-2.15,-4.15,-15.77,DOWNTREND,1265276.0,42.58,BEARISH,-50.2063,-46.7701,-3.4362,BEARISH,83.712,2.9,3114.26,2789.71,2951.98,30.44,10.99,MID_BAND,False,DISTRIBUTING,18.23,21.54,30.9,RANGING,BEARISH,2026-08-17
MUTHOOTMF,208.12,262.77,141.2,-20.8,47.39,233.04,221.09,187.73,-10.69,-5.87,10.86,CONSOLIDATING,777489.0,36.65,BEARISH,-4.9188,-0.3526,-4.5662,BEARISH,11.4106,5.48,268.69,197.39,233.04,15.06,30.6,MID_BAND,False,DISTRIBUTING,23.65,13.67,19.25,MODERATE_TREND,BEARISH,2026-08-17
MVELECTRO,570.1,686.5,520.0,-16.96,9.63,,,,,,,INSUFFICIENT_DATA,5495005.0,,,,,,,,,,,,,,,False,,,,,,,2026-08-17
MVGJL,152.64,214.79,129.1,-28.94,18.23,163.74,156.26,166.8,-6.78,-2.32,-8.49,DOWNTREND,74288.0,40.67,BEARISH,-0.1292,2.0094,-2.1386,BEARISH,7.5802,4.97,178.06,149.41,163.74,11.26,17.5,MID_BAND,False,ACCUMULATING,23.8,15.92,23.42,MODERATE_TREND,BEARISH,2026-08-17
MWL,40.91,43.94,20.0,-6.9,104.58,38.99,37.99,30.83,4.92,7.69,32.7,STRONG_UPTREND,1516963.0,60.69,BULLISH,1.2645,1.0986,0.1659,BULLISH,1.6904,4.13,44.99,33.0,38.99,65.99,30.75,MID_BAND,False,ACCUMULATING,31.24,22.44,14.62,STRONG_TREND,BULLISH,2026-08-17
NACLIND,173.45,245.0,112.62,-29.2,54.01,184.54,194.82,,-6.01,-10.97,,INSUFFICIENT_DATA,1326592.0,39.72,BEARISH,-8.1667,-6.5721,-1.5946,BEARISH,9.9907,5.76,207.98,161.09,184.54,26.35,25.41,MID_BAND,False,DISTRIBUTING,17.51,17.42,24.58,RANGING,BEARISH,2026-08-17
NAGREEKCAP,23.5,42.75,19.3,-45.03,21.76,25.37,24.3,,-7.37,-3.29,,INSUFFICIENT_DATA,54996.0,46.9,NEUTRAL,-0.702,-0.5462,-0.1558,BEARISH,2.168,9.23,35.34,15.39,25.37,40.63,78.64,MID_BAND,False,ACCUMULATING,13.45,24.09,18.78,RANGING,BULLISH,2026-08-17
NAGREEKEXP,24.26,40.0,17.5,-39.35,38.63,22.66,24.52,25.29,7.06,-1.06,-4.07,DOWNTREND,89473.0,58.33,BULLISH,-0.2395,-0.5726,0.3331,BULLISH,1.7054,7.03,24.23,21.09,22.66,100.8,13.86,NEAR_UPPER,False,ACCUMULATING,32.31,18.04,8.27,STRONG_TREND,BULLISH,2026-08-17
NAHARCAP,255.62,307.0,191.0,-16.74,33.83,255.97,252.5,247.43,-0.14,1.24,3.31,UPTREND,8271.0,49.59,NEUTRAL,2.2873,2.7476,-0.4604,BEARISH,9.2009,3.6,272.74,239.21,255.97,48.95,13.1,MID_BAND,False,ACCUMULATING,29.21,23.47,14.82,MODERATE_TREND,BULLISH,2026-08-17
NAHARINDUS,117.38,135.45,83.05,-13.34,41.34,119.33,118.12,108.32,-1.63,-0.63,8.36,CONSOLIDATING,29805.0,46.6,NEUTRAL,1.3372,1.4294,-0.0922,BEARISH_CROSS,5.2909,4.51,128.98,109.67,119.33,39.91,16.18,MID_BAND,False,ACCUMULATING,25.5,24.2,21.52,MODERATE_TREND,BULLISH,2026-08-17
NAHARPOLY,237.65,338.8,200.0,-29.86,18.83,261.05,254.94,247.92,-8.96,-6.78,-4.14,DOWNTREND,38952.0,37.42,BEARISH,-4.1154,-0.9158,-3.1996,BEARISH,12.2719,5.16,290.64,231.45,261.05,10.47,22.67,MID_BAND,False,DISTRIBUTING,24.57,14.73,25.87,MODERATE_TREND,BEARISH,2026-08-17
NAHARSPING,296.7,349.0,149.2,-14.99,98.86,280.27,235.19,,5.86,26.15,,INSUFFICIENT_DATA,69585.0,62.18,BULLISH,21.9833,23.2613,-1.278,BEARISH_CROSS,16.4942,5.56,349.86,210.68,280.27,61.81,49.66,MID_BAND,False,ACCUMULATING,45.77,30.73,14.64,STRONG_TREND,BULLISH,2026-08-17
NAM-INDIA,1202.7,1233.5,780.25,-2.5,54.14,1167.35,1164.09,983.02,3.03,3.32,22.35,STRONG_UPTREND,965758.0,56.94,BULLISH,6.4205,5.6817,0.7388,BULLISH_CROSS,31.4095,2.61,1222.3,1112.39,1167.34,82.17,9.42,MID_BAND,False,ACCUMULATING,16.06,20.39,18.88,RANGING,BULLISH,2026-08-17
NARMADA,14.45,28.25,12.65,-48.85,14.23,15.88,17.47,,-9.01,-17.29,,INSUFFICIENT_DATA,3301416.0,39.29,BEARISH,-0.9743,-0.9138,-0.0605,BEARISH,1.2655,8.76,19.13,12.63,15.88,28.0,40.97,MID_BAND,False,DISTRIBUTING,12.68,23.54,28.28,RANGING,BEARISH,2026-08-17
NATCAPSUQ,148.75,296.0,136.36,-49.75,9.09,150.83,150.84,165.39,-1.38,-1.39,-10.06,DOWNTREND,33964.0,47.85,NEUTRAL,1.2934,1.4376,-0.1442,BEARISH_CROSS,9.8766,6.64,166.6,135.07,150.84,43.39,20.9,MID_BAND,False,ACCUMULATING,33.44,31.28,16.41,STRONG_TREND,BULLISH,2026-08-17
NATCOPHARM,889.8,1226.8,789.0,-27.47,12.78,922.07,918.07,951.06,-3.5,-3.08,-6.44,DOWNTREND,448838.0,39.71,BEARISH,-9.4518,-8.1787,-1.2731,BEARISH_CROSS,28.7854,3.24,954.39,889.75,922.07,0.08,7.01,NEAR_LOWER,False,DISTRIBUTING,10.77,19.91,20.46,RANGING,BEARISH,2026-08-17
NATHBIOGEN,154.43,204.0,126.15,-24.3,22.42,159.56,163.28,157.24,-3.22,-5.42,-1.79,DOWNTREND,22095.0,39.81,BEARISH,-2.3927,-1.8921,-0.5007,BEARISH,5.048,3.27,167.21,151.9,159.56,16.51,9.59,MID_BAND,False,DISTRIBUTING,20.29,16.38,24.42,MODERATE_TREND,BEARISH,2026-08-17
NATIONALUM,387.55,445.15,183.86,-12.94,110.79,366.76,361.32,359.63,5.67,7.26,7.76,STRONG_UPTREND,8639799.0,56.54,BULLISH,9.8478,6.6981,3.1497,BULLISH,13.6868,3.53,414.78,318.75,366.76,71.65,26.18,MID_BAND,False,ACCUMULATING,28.98,35.18,19.93,MODERATE_TREND,BULLISH,2026-08-17
NATIONSTD,141.05,1519.95,141.05,-90.72,0.0,239.66,678.75,,-41.15,-79.22,,INSUFFICIENT_DATA,8291.0,6.5,OVERSOLD,-140.9237,-161.1096,20.1859,BULLISH,21.0865,14.95,383.64,95.68,239.66,15.76,120.16,MID_BAND,False,DISTRIBUTING,78.38,4.76,81.66,STRONG_TREND,BEARISH,2026-08-17
NAUKRI,1355.8,1433.6,908.3,-5.43,49.27,1257.71,1139.11,1144.23,7.8,19.02,18.49,STRONG_UPTREND,2361528.0,70.2,OVERBOUGHT,57.656,52.0752,5.5808,BULLISH,40.3008,2.97,1383.67,1131.76,1257.71,88.94,20.03,MID_BAND,False,ACCUMULATING,39.89,37.95,10.73,STRONG_TREND,BULLISH,2026-08-17
NAVA,559.65,739.4,501.65,-24.31,11.56,570.53,588.73,584.09,-1.91,-4.94,-4.18,DOWNTREND,331643.0,42.43,BEARISH,-4.3638,-5.3165,0.9527,BULLISH,18.9489,3.39,596.79,544.28,570.53,29.27,9.2,MID_BAND,False,ACCUMULATING,15.29,20.49,19.09,RANGING,BULLISH,2026-08-17
