Date,Sector,Open,High,Low,Close,Volume,Daily_Change
2023-01-17,NIFTY BANK,42241.19921875,42383.80078125,41861.1015625,42235.05078125,256300,-0.01
2023-01-18,NIFTY BANK,42271.80078125,42555.8984375,42119.6484375,42458.0,170500,0.44
2023-01-19,NIFTY BANK,42416.30078125,42506.25,42234.8984375,42328.8515625,143400,-0.21
2023-01-20,NIFTY BANK,42516.05078125,42709.19921875,42366.1484375,42506.80078125,159100,-0.02
2023-01-23,NIFTY BANK,42891.44921875,43005.8515625,42727.69921875,42821.25,203600,-0.16
2023-01-24,NIFTY BANK,42994.44921875,43078.8984375,42615.6484375,42733.44921875,159500,-0.61
2023-01-25,NIFTY BANK,42703.6015625,42733.05078125,41540.30078125,41647.6484375,244700,-2.47
2023-01-27,NIFTY BANK,41382.3515625,41417.8984375,40148.80078125,40345.30078125,350800,-2.51
2023-01-30,NIFTY BANK,39856.1484375,40789.55078125,39419.80078125,40387.44921875,369900,1.33
2023-01-31,NIFTY BANK,40563.8515625,40811.6484375,40167.69921875,40655.05078125,289900,0.22
2023-02-01,NIFTY BANK,41115.0,42015.6484375,39490.5,40513.0,400100,-1.46
2023-02-02,NIFTY BANK,39943.3515625,40757.6015625,39761.44921875,40669.30078125,348500,1.82
2023-02-03,NIFTY BANK,41019.3515625,41539.94921875,40609.75,41499.69921875,308800,1.17
2023-02-06,NIFTY BANK,41530.1484375,41724.5,41261.19921875,41374.6484375,197800,-0.37
2023-02-07,NIFTY BANK,41513.1015625,41630.75,41095.1015625,41490.94921875,171900,-0.05
2023-02-08,NIFTY BANK,41542.05078125,41791.94921875,41403.05078125,41537.6484375,136500,-0.01
2023-02-09,NIFTY BANK,41634.0,41634.0,41252.94921875,41554.30078125,142900,-0.19
2023-02-10,NIFTY BANK,41452.3984375,41678.8984375,41424.8984375,41559.3984375,155000,0.26
2023-02-13,NIFTY BANK,41563.5,41662.55078125,41157.8984375,41282.19921875,147000,-0.68
2023-02-14,NIFTY BANK,41410.44921875,41718.0,41195.75,41648.3515625,143100,0.57
2023-02-15,NIFTY BANK,41674.6015625,41795.44921875,41455.6015625,41731.05078125,116300,0.14
2023-02-16,NIFTY BANK,41925.69921875,41979.1015625,41521.94921875,41631.3515625,111700,-0.7
2023-02-17,NIFTY BANK,41514.0,41516.30078125,40882.69921875,41131.75,138800,-0.92
2023-02-20,NIFTY BANK,41221.55078125,41292.6015625,40580.1015625,40701.69921875,143700,-1.26
2023-02-21,NIFTY BANK,40784.8984375,40946.19921875,40508.25,40673.6015625,170200,-0.27
2023-02-22,NIFTY BANK,40494.1484375,40529.25,39899.0,39995.8984375,155200,-1.23
2023-02-23,NIFTY BANK,39983.69921875,40147.80078125,39600.25,40001.55078125,200500,0.04
2023-02-24,NIFTY BANK,40259.1015625,40348.1015625,39818.8984375,39909.3984375,144600,-0.87
2023-02-27,NIFTY BANK,39820.3984375,40371.44921875,39745.3984375,40307.1015625,165200,1.22
2023-02-28,NIFTY BANK,40302.69921875,40391.44921875,40073.0,40269.05078125,327800,-0.08
2023-03-01,NIFTY BANK,40473.8515625,40725.3515625,40341.94921875,40698.1484375,169800,0.55
2023-03-02,NIFTY BANK,40604.55078125,40773.25,40312.8984375,40389.80078125,149200,-0.53
2023-03-03,NIFTY BANK,40671.3984375,41390.1484375,40605.3515625,41251.3515625,213800,1.43
2023-03-06,NIFTY BANK,41418.3984375,41671.19921875,41259.1484375,41350.3984375,180200,-0.16
2023-03-08,NIFTY BANK,41178.3515625,41625.3515625,41100.3515625,41577.1015625,157600,0.97
2023-03-09,NIFTY BANK,41532.6484375,41659.0,41208.1015625,41256.75,119200,-0.66
2023-03-10,NIFTY BANK,40805.25,40839.0,40341.69921875,40485.44921875,145300,-0.78
2023-03-13,NIFTY BANK,40356.1015625,40690.05078125,39454.6015625,39564.69921875,174500,-1.96
2023-03-14,NIFTY BANK,39522.3984375,39768.5,39132.6015625,39411.3984375,205700,-0.28
2023-03-15,NIFTY BANK,39777.8984375,39914.1015625,38934.6484375,39051.5,164300,-1.83
2023-03-16,NIFTY BANK,39061.69921875,39381.3984375,38613.1484375,39132.6015625,196300,0.18
2023-03-17,NIFTY BANK,39442.3984375,39705.1484375,38926.80078125,39598.1015625,173400,0.39
2023-03-20,NIFTY BANK,39512.1015625,39512.1015625,38941.8984375,39361.94921875,173800,-0.38
2023-03-21,NIFTY BANK,39599.6484375,39970.8984375,39366.30078125,39894.69921875,187900,0.75
2023-03-22,NIFTY BANK,40036.0,40085.6015625,39837.80078125,39999.05078125,0,-0.09
2023-03-23,NIFTY BANK,39836.1484375,40201.6015625,39552.5,39616.8984375,153200,-0.55
2023-03-24,NIFTY BANK,39555.25,39767.8984375,39294.8984375,39395.3515625,166100,-0.4
2023-03-27,NIFTY BANK,39484.69921875,39695.19921875,39273.75,39431.30078125,194200,-0.14
2023-03-28,NIFTY BANK,39545.05078125,39645.19921875,39326.1015625,39567.8984375,202300,0.06
2023-03-29,NIFTY BANK,39611.55078125,40055.0,39609.55078125,39910.1484375,259600,0.75
2023-03-31,NIFTY BANK,40231.25,40690.3984375,40180.19921875,40608.6484375,188000,0.94
2023-04-03,NIFTY BANK,40695.80078125,40857.6015625,40535.8984375,40813.05078125,167500,0.29
2023-04-05,NIFTY BANK,40972.30078125,41071.1484375,40802.6484375,40999.1484375,177400,0.07
2023-04-06,NIFTY BANK,40940.69921875,41274.69921875,40820.55078125,41041.0,196500,0.24
2023-04-10,NIFTY BANK,41116.1484375,41139.8515625,40727.25,40834.6484375,153900,-0.68
2023-04-11,NIFTY BANK,41232.0,41403.25,40990.19921875,41366.5,219200,0.33
