SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,TRADE_DATE
VESUVIUS,EQ, 21-Jun-2021,1075.75,1060.0,1078.75,1050.35, 1063.00,1063.0,1065.68,22878,243.81,1509, 12220, 53.41,2021-06-21
VETO,EQ, 21-Jun-2021,122.65,123.0,128.9,119.25, 126.00,127.05,124.48,50936,63.4,1335, 23989, 47.10,2021-06-21
VGUARD,EQ, 21-Jun-2021,264.55,261.0,264.95,258.1, 264.10,263.95,261.95,609300,1596.06,11876, 216790, 35.58,2021-06-21
VHL,EQ, 21-Jun-2021,2495.4,2500.0,2543.6,2465.0, 2520.00,2498.4,2498.37,547,13.67,148, 249, 45.52,2021-06-21
VIDHIING,EQ, 21-Jun-2021,205.35,205.1,223.95,205.1, 215.90,215.0,218.33,211143,460.98,7613, 78525, 37.19,2021-06-21
VIKASLIFE,EQ, 21-Jun-2021,3.2,3.1,3.3,3.05, 3.30,3.3,3.23,6563517,212.18,3862, 2545859, 38.79,2021-06-21
VIKASPROP,EQ, 21-Jun-2021,3.0,2.95,3.2,2.9, 3.00,3.0,3.05,6444792,196.39,7050, 2699922, 41.89,2021-06-21
VIKASWSP,EQ, 21-Jun-2021,7.0,6.65,7.15,6.65, 7.10,7.05,7.04,949485,66.87,912, 767608, 80.84,2021-06-21
VIMTALABS,EQ, 21-Jun-2021,244.8,248.0,258.0,240.85, 253.95,252.25,252.05,90040,226.95,4289, 35910, 39.88,2021-06-21
VINATIORGA,EQ, 21-Jun-2021,1748.95,1738.0,1882.25,1716.05, 1798.00,1799.1,1800.42,211166,3801.88,23803, 70730, 33.49,2021-06-21
VINDHYATEL,EQ, 21-Jun-2021,1077.5,1060.0,1124.0,1055.0, 1109.95,1094.25,1102.06,37986,418.63,3856, 15072, 39.68,2021-06-21
VINYLINDIA,EQ, 21-Jun-2021,147.6,146.5,148.7,145.1, 146.85,146.5,146.71,58826,86.3,2167, 29026, 49.34,2021-06-21
VIPCLOTHNG,EQ, 21-Jun-2021,16.5,16.9,17.3,16.3, 17.30,17.3,16.97,127714,21.67,357, 86285, 67.56,2021-06-21
