S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
112.,Kay Cee,93.40,6.07,114.17,0.00,9.61,-20.32,80.98,-29.47,22.30
113.,Lakshya Powertec,111.95,11.13,112.89,0.00,3.28,-61.00,91.23,-2.32,13.48
114.,Srinibas Pradhan,140.00,13.40,110.05,0.00,4.10,32.26,44.63,-17.76,28.57
115.,K&R Rail Engine.,28.67,,109.26,0.00,-0.85,-113.34,11.78,-92.24,8.29
116.,Sadbhav Infra.,2.94,3.27,103.55,0.00,85.94,1275.68,201.68,0.97,17.62
117.,Navkar Urban.,0.92,35.11,103.23,0.54,-0.13,95.09,14.41,314.08,2.72
118.,Telge Projects,103.90,17.12,101.72,0.00,3.51,-19.36,14.39,13.75,23.85
119.,Banka Bioloo,92.50,163.15,101.03,0.00,1.60,215.82,17.67,19.07,4.98
120.,Mahendra Realtor,42.50,5.29,93.94,0.00,15.22,65.61,95.65,20.09,20.93
121.,PVV Infra Ltd,4.17,12.47,89.14,0.00,0.08,-84.91,21.64,223.95,10.97
122.,Valplast Technol,43.90,9.27,86.17,0.00,5.92,75.15,67.51,93.72,23.41
123.,Readymix Cons.,76.15,11.16,83.45,0.00,6.71,-39.77,62.96,13.18,15.99
124.,RKEC Projects,30.65,8.35,79.14,0.00,1.71,-73.07,32.65,-72.56,14.11
125.,IL&FS Transport,2.35,,77.31,0.00,-248.01,-1100.85,806.58,7.66,-18.13
126.,Integrity Infra.,172.00,10.72,73.96,0.00,4.50,240.91,108.89,73.14,35.61
127.,Suntech Infra.,36.95,5.20,71.54,0.00,10.73,10.62,108.64,14.61,16.35
128.,H.M. Electro,51.55,7.24,70.62,0.00,7.38,47.01,98.43,29.05,18.33
129.,Rachana Infra.,37.75,6.93,70.23,0.00,9.46,148.95,90.33,40.22,17.11
130.,Konstelec Engg.,45.35,9.39,68.48,0.00,5.75,452.88,105.57,-3.38,11.01
131.,Samay Project,42.25,10.15,64.85,0.00,4.00,87.79,30.06,59.05,27.70
132.,K2 Infragen,50.80,4.82,64.10,0.00,5.97,-17.66,94.39,-0.99,14.69
133.,Conart Engineers,100.25,16.88,62.96,0.00,1.11,-11.20,15.61,-28.66,14.98
134.,Rudra Gas,75.08,7.26,62.60,0.00,5.75,40.24,70.91,17.28,22.55
135.,Chiraharit,10.60,276.57,58.08,0.00,1.35,-39.83,35.32,31.15,3.86
136.,Jayant Infratech,54.50,6.67,56.33,0.00,3.90,-29.68,57.07,-14.28,16.68
137.,VSF Projects,34.15,,55.83,0.00,-0.18,-700.00,0.00,,-0.14
138.,Teamo Production,0.50,548.10,54.81,0.00,-6.24,-4900.00,15.19,-3.98,0.35
139.,Manav Infra,41.25,13.47,54.29,0.00,3.61,19.93,32.13,77.12,33.22
140.,Sonu Infratech,45.90,4.14,54.00,0.00,4.59,-12.57,90.06,-0.90,19.08
141.,Popular Found.,25.35,51.15,51.66,0.00,0.09,-93.53,27.78,-19.90,4.07
142.,Modern Engineer.,31.67,5.76,48.93,0.00,0.37,-96.05,47.62,12.84,15.09
143.,V.L.Infraproject,30.25,5.64,47.53,0.00,4.40,26.80,86.90,26.47,22.41
144.,Akash InfraProj.,27.73,52.54,46.76,0.00,0.65,-59.41,37.60,85.86,3.81
145.,Kaizen Agro,9.05,125.76,46.53,0.00,-1.63,-808.70,32.54,883.08,0.44
146.,CCL Internationa,22.26,44.97,42.72,0.00,1.47,-51.80,33.82,-6.08,4.30
147.,Madhucon Project,5.42,,40.00,0.00,-96.15,-155.52,125.75,-9.39,-34.01
148.,Rulka,92.55,11.98,39.41,0.00,1.77,34.09,55.05,2.32,12.41
149.,Yuranus Infrast.,112.05,100.56,39.22,0.00,0.80,600.00,6.07,60.58,13.04
150.,Shreeshay Engi.,28.00,160.74,36.97,0.00,0.16,220.00,0.00,-100.00,1.54
151.,Promax Power,14.49,42.13,36.23,0.00,-0.94,-187.85,34.40,-7.23,6.51
152.,Agni Green,18.30,25.72,35.75,0.00,0.61,136.17,21.60,-13.36,8.97
153.,Kridhan Infra,3.05,34.37,34.03,0.00,0.93,16.46,0.44,-82.95,
154.,Salasar Exterior,3.15,,32.43,0.00,-2.53,-8333.33,0.00,-100.00,-6.39
155.,Mapro Industries,37.23,100.74,31.23,0.00,-0.18,-5.88,0.75,316.67,1.56
156.,Nacdac Infra.,28.00,6.65,29.47,0.00,2.36,-29.13,39.40,-4.35,20.53
157.,Teerth Gopicon,23.10,,27.72,0.00,-19.13,-300.95,0.84,-98.76,27.59
158.,Popular Estate,19.39,,27.15,0.00,-0.07,-120.00,0.00,,-0.58
159.,Mewar Hi-Tech,69.13,30.67,26.99,0.00,0.62,-78.17,31.49,-5.89,10.94
160.,Ranjeet Mechatr.,6.30,76.36,25.20,0.00,-0.06,-103.82,14.26,85.44,5.45
161.,Vivanta Indust.,1.82,39.08,23.45,0.00,-0.80,51.52,38.25,-62.45,2.56
162.,Abhishek Integr.,37.90,28.52,22.82,0.00,0.48,-35.14,14.28,-4.03,10.71
163.,SKIL Infrastr,1.00,2.43,21.66,0.00,-4.01,-195.93,0.00,,1.10
164.,KCL Infra,1.26,12.82,21.28,0.00,0.22,2100.00,44.21,384.76,5.11
165.,Shashijit Infra.,2.50,37.08,18.17,0.00,0.36,120.22,6.65,21.35,4.01
166.,Julien Agro,1.48,46.42,17.64,2.53,-6.07,-62.30,112.65,119.38,1.07
167.,Raunaq Intl.,34.10,126.67,11.40,0.00,-1.13,-305.45,8.24,-25.16,5.25
168.,P B A Infra.,8.42,,11.37,0.00,-57.12,-1997.68,5.60,-37.92,-23.43
169.,Ishaan Infrastru,15.02,,9.72,0.00,-0.11,26.67,0.00,,-3.66
170.,Shelter Infra,19.21,,6.86,0.00,-0.04,-200.00,0.55,-8.33,-0.07
171.,Setubandhan Inf.,0.46,,5.78,0.00,-0.47,-161.04,0.00,-100.00,-1.28
172.,Diamant Infra.,0.80,,2.82,0.00,-0.10,-600.00,0.00,,0.15
