S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
184.,Yarn Syndicate,14.35,,5.38,0.00,0.90,221.43,2.73,-91.64,3.77
185.,Sun Retail,0.33,,5.12,0.00,-0.12,40.00,8.62,51.76,-0.77
186.,Mahan Industries,10.56,95.00,4.75,0.00,0.21,290.91,2.36,637.50,1.26
187.,Modella Woollens,51.60,,4.70,0.00,-0.04,20.00,0.00,,
188.,Jainco Projects,4.48,448.00,4.48,0.00,0.00,-100.00,0.30,-44.44,2.49
189.,Thakkers Group,28.15,2.18,4.46,0.00,-0.87,-125.00,9.10,698.25,13.23
190.,Beeyu Overseas,2.70,,3.82,0.00,-0.01,-200.00,0.00,,-66.67
191.,Ramasigns Indus.,0.97,,2.77,0.00,0.63,165.62,0.19,-82.57,-14.30
192.,Hind Commerce,4.00,1.79,1.20,0.00,-0.27,-370.00,0.02,-90.91,4.75
193.,Diksha Greens,1.12,,1.11,0.00,-1.48,-0.68,0.00,,
