S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
108.,Ansal Properties,3.64,,57.30,0.00,13.21,270.03,12.77,-84.66,
109.,Rodium Realty,174.00,6.81,56.51,0.00,1.86,-50.13,12.23,-45.18,10.99
110.,Jamshri Realty,80.44,,56.20,0.00,-0.20,26.83,1.52,-9.52,5.92
111.,Modipon,47.90,,55.45,0.00,-0.16,-45.45,0.00,,
112.,Victoria Mills,5157.05,7.67,51.05,0.97,-0.33,13.16,0.00,,12.35
113.,Ansal Housing,7.00,,48.75,0.00,-28.52,-3235.80,69.98,-37.64,-5.05
114.,Sam Industries,42.99,9.77,47.67,0.00,0.64,190.91,2.96,-45.99,7.91
115.,Golden Tobacco,25.06,8.33,44.13,0.00,-1.55,-187.04,3.80,-18.28,
116.,Simplex Realty,128.30,,38.36,0.00,-2.04,-563.33,8.86,3307.69,-0.32
117.,Tatia Global,2.49,6.63,37.75,0.00,0.03,-87.50,0.20,-47.37,16.62
118.,Country Condo,4.83,63.53,37.48,0.00,0.18,100.00,3.68,40.46,3.42
119.,Kretto Syscon,0.54,18.11,36.58,0.00,-0.39,71.32,1.00,-56.33,4.00
120.,Citadel Realty,38.84,23.15,34.96,1.29,0.38,46.15,0.96,10.34,11.07
121.,Tirupati Sarjan,8.69,6.05,28.68,0.00,1.24,0.74,80.06,2.77,7.76
122.,Ramsons Projects,89.77,3.58,27.02,0.00,2.13,-6.17,0.00,,50.33
123.,MPDL Ltd,36.03,,26.70,0.00,-3.34,-53.92,5.38,472.34,-6.14
124.,Narendra Prop.,36.99,13.35,26.29,2.70,0.01,-97.14,0.00,-100.00,6.93
125.,SSPDL Ltd,20.33,2.02,26.29,0.00,7.30,377.12,14.31,1507.87,31.49
126.,Krishna Vent.,24.23,87.23,26.17,0.00,0.62,247.62,9.24,3453.85,4.18
127.,Parshwanath Corp,77.44,,24.25,0.00,-0.36,-3700.00,0.12,0.00,0.33
128.,Kamanwala Housin,16.90,,23.81,0.00,-1.56,-103.44,1.87,-82.59,-2.26
129.,Prime Urban,8.76,,23.34,0.00,-0.43,-119.37,0.00,-100.00,
130.,Martin Burn,45.00,12.20,23.18,0.00,0.17,-95.78,0.00,-100.00,4.33
131.,IITL Projects,44.88,17.92,22.40,0.00,0.19,-40.62,0.00,100.00,9.25
132.,Neo Infracon,41.96,24.76,22.28,0.00,0.79,-38.76,2.06,-59.53,9.61
133.,RTCL,14.90,10.10,17.88,0.00,0.12,-61.29,0.00,,4.59
134.,Max Heights,11.18,17.81,17.45,0.00,-0.36,-28.57,1.35,21.62,3.96
135.,Steel Strips Inf,19.65,,16.98,0.00,-8.76,-10.33,0.34,3.03,-5.01
136.,Vas Infra.,10.77,49.36,16.29,0.00,0.39,490.00,0.00,,
137.,Adhbhut Infra.,13.96,,15.36,0.00,-0.65,-66.67,0.15,0.00,
138.,Gyan Developers,48.93,,14.68,0.00,-0.04,-102.90,0.00,-100.00,-0.84
139.,SVS Ventures,6.80,14.24,14.52,0.00,1.00,9900.00,16.66,,4.21
140.,Jet Solar,11.83,351.25,14.05,0.00,0.02,112.50,0.20,253.85,0.25
141.,Gallops Enterp.,26.72,267.80,13.39,0.00,-0.04,-233.33,0.03,-40.00,3.72
142.,Ladam Affordab.,7.26,,13.29,0.00,-0.15,-2125.00,0.00,,-0.38
143.,Cemantic Infra,5.30,,13.28,0.00,-0.10,-42.86,0.00,,-6.65
144.,R J Shah & Co,455.00,5.29,12.74,0.55,2.00,-62.76,0.27,-97.42,7.81
145.,Sh. Krish. Infr.,11.50,140.56,12.65,0.00,1.19,11800.00,-0.27,-175.00,0.92
